dropped_country,n,coef,p
FR,71,0.3903230387230693,0.004131901720858194
BG,71,0.3055963652552338,0.0031108256903352722
LU,71,0.3400783815005148,0.002887125067493704
EE,71,0.37827983831285167,0.002144435120554529
BE,71,0.40060622336818136,0.001957264489631536
AT,71,0.38750180712412025,0.0017005611097161046
NL,71,0.415874456227437,0.0014498868464086455
PL,71,0.40777185386429987,0.0014004115265200594
FI,71,0.39523166571609336,0.001051642968140607
PT,71,0.40215644882985524,0.0009861353061412612
LV,72,0.38096922456062327,0.0009693430477994956
DE,71,0.3918635312226368,0.0009166093519216491
ES,71,0.4118061362801753,0.0008085964346879583
SI,72,0.3952351810585368,0.0006832091069431624
CY,71,0.3965918470988788,0.0006094741925156492
IT,71,0.40277587823936056,0.0005799724036211438
SK,71,0.39858857564824546,0.0005687487930000411
LT,73,0.4018648580186188,0.0005395100761622886
SE,71,0.40509904455300516,0.0004860481737845661
DK,71,0.4214652886402442,0.00041996518551732845
RO,71,0.41510296106478123,0.00041616338115961406
HU,71,0.42619931506607617,0.00038307867229116644
HR,71,0.4171546540507936,0.0003336973248631076
EL,71,0.4354993540272221,0.00012625294685948005
IE,71,0.44502882230795193,1.317285203143505e-05
CZ,71,0.46570679188135905,4.6721759019630846e-06
