country_code,year,d_log_emissions,digital_multi,cooks_d
BG,2025,-0.6137269466230038,0.35,0.27985365881763125
BG,2023,-0.4498734911192841,0.24,0.09936261407119198
EE,2023,-0.46890283254300513,0.38,0.07623670302616943
SI,2025,-0.31035090971597334,0.56,0.048752939859583934
HR,2025,0.04033875251804275,0.29,0.03924424220588686
DK,2025,-0.18921003564855354,0.72,0.038842688510697686
CY,2023,0.003450808350796919,0.29,0.03587933002898428
HR,2023,0.01714711415829484,0.32,0.03441563695390129
LV,2023,0.02866729413873159,0.39,0.02768567036303464
PL,2025,-0.2665228593899833,0.42,0.02386391424437345
MT,2023,0.0008219788818948359,0.55,0.01812842596460878
CZ,2024,-0.14025596114318972,0.64,0.017936190407142973
AT,2025,0.06700069705032163,0.6,0.017880492677936937
EL,2024,0.041657164649546274,0.32,0.017717961168366048
SK,2023,-0.024647987975306762,0.35,0.01734037939678152
FI,2024,-0.1464426448146483,0.62,0.016925412463706508
CY,2025,-0.002887814833131941,0.32,0.016416800490650148
SI,2024,0.08876158994410588,0.52,0.01633112809650908
LT,2024,0.04321078749073948,0.34,0.015696678997168916
LU,2025,-0.21887316166980142,0.36,0.012768368780721342
SE,2023,-0.024311200406305744,0.58,0.012321691117976132
EL,2025,-0.028721316047285228,0.31,0.010719161096226983
LV,2025,0.03627793879160457,0.6,0.010579938885813637
NL,2025,0.03268202024550959,0.65,0.010339340870116922
DK,2024,-0.1115581568211308,0.64,0.009899684964343859
PT,2025,0.00650081144782888,0.41,0.009849773760952163
FR,2025,-0.19803136561867163,0.29,0.008808947122905654
HR,2024,-0.17490665517322412,0.33,0.008646042630374884
LT,2023,-0.06403462509548774,0.36,0.00844956778502846
ES,2025,0.020175213144149495,0.66,0.00770022233616693
CZ,2023,-0.20068986966843383,0.59,0.007689109512283568
FI,2023,-0.21376624019067236,0.54,0.00673122594138636
IT,2025,-0.0021669524024652276,0.45,0.006479322956421232
LU,2023,-0.24888361789946778,0.36,0.006044615016472281
EE,2024,-0.15678294037115847,0.4,0.005941626251158618
BE,2025,0.007546497784677086,0.6,0.005475978774498444
SI,2023,-0.05911419593377332,0.54,0.005372077944052849
CY,2024,0.0007583554385099944,0.37,0.005348502831288569
PT,2023,-0.23799576022565105,0.32,0.0043087146080012595
CZ,2025,-0.013303958472832278,0.48,0.004217095057097072
HU,2024,-0.04860748691666217,0.25,0.0038336519682759976
DK,2023,-0.19325586861085498,0.53,0.0034124064341271763
NL,2024,0.016445648532364743,0.57,0.003379296684232137
IT,2024,-0.12405247410096365,0.44,0.00274316871328307
EL,2023,-0.2167673434183648,0.39,0.002643380853826248
RO,2024,-0.03967464373125651,0.32,0.002312861136215405
ES,2023,-0.17140159700627322,0.56,0.002030345673128132
PT,2024,-0.11971489802612112,0.41,0.0020013977929074092
AT,2023,-0.08676812996979422,0.56,0.0019245150357143118
MT,2025,-0.02417004949717949,0.6,0.0017759925652692118
BE,2024,0.012536886527666269,0.71,0.0017334503717327788
BG,2024,-0.1301022066872939,0.26,0.0016823964422195315
DE,2023,-0.20141204586039052,0.41,0.0016381467374664955
FI,2025,-0.11123164272021668,0.58,0.0016050341243036646
IE,2023,-0.18598097355108933,0.48,0.0015296073022791343
HU,2025,-0.14576934411348574,0.37,0.0015081040696592924
PL,2024,-0.028578014866965873,0.41,0.0013451334586567954
DE,2025,-0.034992461189474966,0.56,0.0012699835838265873
SK,2025,-0.04647842368795452,0.49,0.0011800021812206764
HU,2023,-0.1466502615761911,0.28,0.0011728325453948096
IE,2025,-0.05678887541500899,0.45,0.0010253816952019972
MT,2024,-0.07922505959646386,0.54,0.0009719780839048777
SK,2024,-0.10447679923597519,0.41,0.000968747741924302
LU,2024,-0.06134952155888662,0.3,0.0009364791861463651
NL,2023,-0.1515054407855274,0.56,0.0005833897487135019
SE,2024,-0.019173118699516323,0.58,0.0004331214784613782
LT,2025,-0.07302726946604743,0.44,0.000375235638218414
FR,2024,-0.1015814940348001,0.33,0.00032638860740004074
ES,2024,-0.05344551611907633,0.59,0.00028278940898596313
AT,2024,-0.020285477469787594,0.6,0.00028068983875973434
IT,2023,-0.1717672793491687,0.42,0.0002559687576074627
IE,2024,-0.07663970691293187,0.47,0.00024150725266791758
EE,2025,-0.08666123312268326,0.4,0.0002054766233122648
PL,2023,-0.18516663301958047,0.32,0.00018597660538773058
SE,2025,-0.04386572751722895,0.66,0.0001800924919518789
BE,2023,-0.11513232355478209,0.58,0.00011731334053744551
RO,2025,-0.08191148313199292,0.48,2.4110591826803657e-05
DE,2024,-0.05831564213295337,0.5,1.8021443616482682e-05
FR,2023,-0.18412052737665974,0.23,1.5748954305143686e-05
LV,2024,-0.08328066337047524,0.35,8.330577258015694e-06
RO,2023,-0.1669860524503477,0.35,9.0790045653308e-07
