country_code,year,verified_emissions_t,log_emissions,d_log_emissions,pct_change_emissions,digital_multi,digital_single,genai_share,climate_target_share,physical_risk_major,transition_risk_share,already_invested_climate,digital_any
AT,2023,24413340.0,17.010640262177258,-0.08676812996979422,-0.08311032977710686,0.56,0.26,,0.48,0.23,0.31,0.59,0.8200000000000001
AT,2024,23923093.0,16.99035478470747,-0.020285477469787594,-0.020081111392378115,0.6,0.23,,0.47,0.22,0.3,0.7,0.83
AT,2025,25580873.0,17.057355481757792,0.06700069705032163,0.06929622352761822,0.6,0.27,0.45,0.47,0.23,0.32,0.73,0.87
BE,2023,35402662.0,17.382297573016906,-0.11513232355478209,-0.10875179702658655,0.58,0.19,,0.47,0.19,0.3,0.75,0.77
BE,2024,35849295.0,17.394834459544573,0.012536886527666269,0.012615802732574233,0.71,0.2,,0.48,0.17,0.28,0.54,0.9099999999999999
BE,2025,36120855.0,17.40238095732925,0.007546497784677086,0.007575044362797101,0.6,0.18,0.5,0.62,0.14,0.18,0.71,0.78
BG,2023,21639927.0,16.89005063855424,-0.4498734911192841,-0.36229117765177843,0.24,0.33,,0.23,0.2,0.3,0.51,0.5700000000000001
BG,2024,18999979.0,16.759948431866945,-0.1301022066872939,-0.1219943117183343,0.26,0.31,,0.2,0.24,0.35,0.56,0.5700000000000001
BG,2025,10285251.0,16.14622148524394,-0.6137269466230038,-0.4586704016883387,0.35,0.3,0.22,0.25,0.25,0.38,0.55,0.6499999999999999
CY,2023,4343281.0,15.284140611242906,0.003450808350796919,0.0034567692445959253,0.29,0.27,,0.24,0.3,0.2,0.25,0.56
CY,2024,4346576.0,15.284898966681416,0.0007583554385099944,0.0007586430626984608,0.37,0.25,,0.2,0.19,0.29,0.24,0.62
CY,2025,4334042.0,15.282011151848284,-0.002887814833131941,-0.002883649106791175,0.32,0.26,0.24,0.2,0.29,0.25,0.22,0.5800000000000001
CZ,2023,46672102.0,17.65865715655177,-0.20068986966843383,-0.18183386965473824,0.59,0.2,,0.33,0.12,0.41,0.71,0.79
CZ,2024,40564392.0,17.51840119540858,-0.14025596114318972,-0.13086425805291568,0.64,0.26,,0.35,0.08,0.3,0.54,0.9
CZ,2025,40028299.0,17.505097236935747,-0.013303958472832278,-0.013215851971847603,0.48,0.3,0.49,0.34,0.11,0.47,0.52,0.78
