country_name,year,co2_eprtr,country_code,log_co2,d_log_co2,digital_multi,digital_single,genai_share,climate_target_share,physical_risk_major,transition_risk_share,already_invested_climate,digital_any
Bulgaria,2023,2206312110.0,BG,21.514588230090986,0.01543363460170255,0.24,0.33,,0.23,0.2,0.3,0.51,0.5700000000000001
Cyprus,2023,4249000000.0,CY,22.169949498079085,-0.004930166107861567,0.29,0.27,,0.24,0.3,0.2,0.25,0.56
Germany,2023,43942965701.214,DE,24.506158395963286,-0.5518501169642178,0.41,0.33,,0.42,0.17,0.37,0.55,0.74
Germany,2024,31154307430.01,DE,24.162218352877183,-0.3439400430861035,0.5,0.26,,0.51,0.18,0.41,0.66,0.76
Denmark,2023,2483540594.0,DK,21.632951037858263,1.5754596694682377,0.53,0.24,,0.42,0.08,0.24,0.69,0.77
Denmark,2024,6487426840.0,DK,22.59313180830354,0.9601807704452767,0.64,0.23,,0.62,0.17,0.29,0.58,0.87
Estonia,2023,5196450200.0,EE,22.371241575573404,-0.4402265280906583,0.38,0.24,,0.26,0.21,0.44,0.51,0.62
Estonia,2024,4435202000.0,EE,22.212838998457652,-0.15840257711575134,0.4,0.27,,0.41,0.19,0.48,0.47,0.67
Finland,2023,13901551200.0,FI,23.355266267978863,-0.2175710566445197,0.54,0.28,,0.49,0.09,0.23,0.72,0.8200000000000001
Finland,2024,11606958900.0,FI,23.174870660359968,-0.18039560761889462,0.62,0.18,,0.6,0.06,0.15,0.72,0.8
Ireland,2023,609555980.0,IE,20.228241348443262,-0.1681355470689212,0.48,0.3,,0.35,0.15,0.27,0.3,0.78
Ireland,2024,646845475.9,IE,20.287617992255647,0.059376643812385055,0.47,0.28,,0.4,0.21,0.41,0.43,0.75
Romania,2024,34300000.0,RO,17.35065591213617,-0.08652535024859276,0.32,0.39,,0.41,0.26,0.27,0.59,0.71
Sweden,2023,14715204210.66,SE,23.412147096256245,-0.034076207642531386,0.58,0.2,,0.68,0.1,0.25,0.56,0.78
Sweden,2024,14147373530.22,SE,23.37279482756796,-0.03935226868828323,0.58,0.26,,0.64,0.15,0.28,0.57,0.84
Slovenia,2023,3680821355.0,SI,22.026401758516588,1.1268383056636075,0.54,0.25,,0.34,0.19,0.33,0.57,0.79
Slovenia,2024,4001098226.0,SI,22.109834716882563,0.0834329583659752,0.52,0.28,,0.38,0.2,0.33,0.63,0.8
