country_code,nace_r2,year,dii_version,dii_high_share
AT,C,2015,1,0.24630000000000002
BE,C24_C25,2015,1,0.1447
BG,C16-C18,2015,1,0.0667
BG,C24_C25,2015,1,0.062
CY,C,2015,1,0.0443
CY,C16-C18,2015,1,0.046799999999999994
CY,C24_C25,2015,1,0.0174
CZ,C,2015,1,0.1353
CZ,C16-C18,2015,1,0.1067
CZ,C24_C25,2015,1,0.095
DE,C,2015,1,0.18489999999999998
DE,C16-C18,2015,1,0.236
DE,C24_C25,2015,1,0.115
DK,C,2015,1,0.39370000000000005
DK,C16-C18,2015,1,0.38480000000000003
DK,C24_C25,2015,1,0.1839
EE,C,2015,1,0.13649999999999998
EE,C16-C18,2015,1,0.0955
EE,C24_C25,2015,1,0.0901
EL,C,2015,1,0.0712
EL,C16-C18,2015,1,0.060700000000000004
EL,C24_C25,2015,1,0.0924
ES,C,2015,1,0.2061
ES,C24_C25,2015,1,0.1384
FI,C,2015,1,0.3405
FI,C24_C25,2015,1,0.17309999999999998
FR,C,2015,1,0.1507
FR,C16-C18,2015,1,0.126
FR,C24_C25,2015,1,0.10690000000000001
HR,C,2015,1,0.13799999999999998
HR,C16-C18,2015,1,0.148
HR,C24_C25,2015,1,0.1058
HU,C,2015,1,0.0767
HU,C16-C18,2015,1,0.091
HU,C24_C25,2015,1,0.032600000000000004
IE,C,2015,1,0.1493
IE,C16-C18,2015,1,0.14309999999999998
IE,C24_C25,2015,1,0.11180000000000001
IT,C,2015,1,0.0944
IT,C16-C18,2015,1,0.0854
IT,C24_C25,2015,1,0.042300000000000004
LT,C,2015,1,0.24309999999999998
LT,C16-C18,2015,1,0.1818
LT,C24_C25,2015,1,0.25549999999999995
LU,C,2015,1,0.2112
LU,C24_C25,2015,1,0.0934
LV,C24_C25,2015,1,0.0431
MK,C24_C25,2015,1,0.0095
MT,C,2015,1,0.1628
MT,C16-C18,2015,1,0.1547
MT,C24_C25,2015,1,0.16210000000000002
NL,C,2015,1,0.3543
NL,C16-C18,2015,1,0.4265
NL,C24_C25,2015,1,0.2455
NO,C,2015,1,0.3109
NO,C16-C18,2015,1,0.31880000000000003
NO,C24_C25,2015,1,0.2716
PL,C,2015,1,0.1033
PL,C16-C18,2015,1,0.0715
PL,C24_C25,2015,1,0.0774
PT,C,2015,1,0.1051
PT,C16-C18,2015,1,0.07890000000000001
PT,C24_C25,2015,1,0.09029999999999999
RO,C,2015,1,0.0713
RO,C16-C18,2015,1,0.0647
RO,C24_C25,2015,1,0.048799999999999996
SE,C,2015,1,0.2332
SE,C16-C18,2015,1,0.2376
SE,C24_C25,2015,1,0.1257
SI,C16-C18,2015,1,0.032
SI,C24_C25,2015,1,0.0348
SK,C,2015,1,0.1207
SK,C16-C18,2015,1,0.1133
SK,C24_C25,2015,1,0.0504
UK,C,2015,1,0.1745
UK,C16-C18,2015,1,0.172
UK,C24_C25,2015,1,0.0864
AT,C,2016,1,0.14150000000000001
BE,C,2016,1,0.1675
BE,C24_C25,2016,1,0.0795
BG,C16-C18,2016,1,0.038
BG,C24_C25,2016,1,0.0349
CY,C,2016,1,0.0102
CY,C16-C18,2016,1,0.0
CY,C24_C25,2016,1,0.0
CZ,C,2016,1,0.1462
CZ,C16-C18,2016,1,0.1666
CZ,C24_C25,2016,1,0.0977
DE,C,2016,1,0.08530000000000001
DE,C16-C18,2016,1,0.13849999999999998
DE,C24_C25,2016,1,0.0587
DK,C,2016,1,0.3618
DK,C16-C18,2016,1,0.3249
DK,C24_C25,2016,1,0.2184
EE,C,2016,1,0.12050000000000001
EE,C16-C18,2016,1,0.0951
EE,C24_C25,2016,1,0.0642
EL,C,2016,1,0.1233
EL,C16-C18,2016,1,0.09139999999999998
EL,C24_C25,2016,1,0.0974
ES,C,2016,1,0.1642
ES,C24_C25,2016,1,0.109
FI,C,2016,1,0.40659999999999996
FI,C24_C25,2016,1,0.2885
FR,C,2016,1,0.0861
FR,C16-C18,2016,1,0.0635
FR,C24_C25,2016,1,0.0314
HR,C,2016,1,0.1392
HR,C16-C18,2016,1,0.0641
HR,C24_C25,2016,1,0.0964
HU,C,2016,1,0.06520000000000001
HU,C16-C18,2016,1,0.0726
HU,C24_C25,2016,1,0.023399999999999997
IE,C,2016,1,0.1233
IE,C16-C18,2016,1,0.153
IE,C24_C25,2016,1,0.0377
IT,C,2016,1,0.0699
IT,C16-C18,2016,1,0.0779
IT,C24_C25,2016,1,0.0248
LT,C,2016,1,0.1542
LT,C16-C18,2016,1,0.1531
LT,C24_C25,2016,1,0.1644
LU,C,2016,1,0.15109999999999998
LU,C24_C25,2016,1,0.0698
LV,C16-C18,2016,1,0.0223
LV,C24_C25,2016,1,0.0236
MK,C,2016,1,0.04769999999999999
MK,C16-C18,2016,1,0.0634
MK,C24_C25,2016,1,0.0467
MT,C,2016,1,0.1091
MT,C16-C18,2016,1,0.17300000000000001
MT,C24_C25,2016,1,0.1494
NL,C,2016,1,0.1991
NL,C16-C18,2016,1,0.21710000000000002
NL,C24_C25,2016,1,0.0964
NO,C,2016,1,0.3292
NO,C16-C18,2016,1,0.3985
