label,coef,se,G,p_wild,tcrit,ci_lo,ci_hi
v2a: A1 bare,0.06929609495402433,0.06884472079886862,29,0.3581790895447724,2.0484071417952454,-0.07172592280527781,0.21031811271332648
v2a: A2 +controls,0.08093606368021249,0.07224202127232647,28,0.29064532266133064,2.0518305164802846,-0.06729232013856483,0.2291644474989898
v2a: A3 REAL,0.0660465708325282,0.06640162219356088,28,0.3566783391695848,2.0518305164802846,-0.07019830392801456,0.20229144559307094
v2a: A4 PLACEBO,0.04904073224375059,0.06548404427749673,28,0.4612306153076538,2.0518305164802846,-0.08532142814736333,0.18340289263486453
v2b (full): B1 bare,0.08530449337083107,0.11209109800063456,29,0.48874437218609307,2.0484071417952454,-0.14430371230533953,0.3149126990470017
v2b (full): B2 +controls,-0.06901875944264171,0.11352649874918136,28,0.647823911955978,2.0518305164802846,-0.30195589400537287,0.16391837512008944
v2b (full): B3 REAL,-0.027145114783271276,0.07422556722785154,27,0.7058529264632316,2.0555294386428735,-0.1797179533200858,0.12542772375354325
v2b (full): B4 PLACEBO,-0.1017591730404096,0.10208027534800172,27,0.33766883441720863,2.0555294386428735,-0.31158818412299755,0.10806983804217835
v2b (excl-comb): B1 bare,0.08493134982640677,0.14779114938559007,28,0.6228114057028514,2.0518305164802846,-0.21831104054864342,0.38817374020145695
v2b (excl-comb): B2 +controls,-0.09700038142564027,0.15084663530588746,27,0.6408204102051025,2.0555294386428735,-0.4070700810171174,0.21306931816583685
v2b (excl-comb): B3 REAL,-0.00921482698091812,0.06573304338883026,27,0.886943471735868,2.0555294386428735,-0.14433103275824805,0.12590137879641178
v2b (excl-comb): B4 PLACEBO,-0.1248418573451484,0.10704438524375175,27,0.3296648324162081,2.0555294386428735,-0.3448747424551089,0.09519102776481213
