model,target,n,G_clusters,coef,se_cluster,t_stat,p_naive_z,p_t_Gminus1,p_wild_bootstrap
A1 bare (level + year FE),dii_high_share_manufacturing,290,29,0.06929609495402433,0.06884472079886862,1.0065564091177654,0.31414799113422776,0.3227678305420063,0.3581790895447724
"A2 +controls (GDP growth, accession, energy shock)",dii_high_share_manufacturing,284,28,0.08093606368021249,0.07224202127232647,1.1203460569730268,0.2625663225348842,0.27243326855066474,0.29064532266133064
A2d decomposition: bare + GDP growth only,dii_high_share_manufacturing,284,28,0.0894811578476121,0.0697716238386797,1.2824863880838318,0.19967207692416222,0.21057381253844643,0.2481240620310155
A2d decomposition: bare + energy-shock exposure only,dii_high_share_manufacturing,284,28,0.0660151717700158,0.06926205980274834,0.9531216940128641,0.34052841560199054,0.34898399340776454,0.38519259629814906
A2d decomposition: bare + accession_2004plus only,dii_high_share_manufacturing,284,28,0.07572195799004758,0.07182006104982776,1.0543287889648651,0.2917324125617138,0.3010763394298497,0.3296648324162081
A2 robustness: energy-shock exposure winsorized at 1/99pct (Norway outlier),dii_high_share_manufacturing,284,28,0.08093606368021249,0.07224202127232647,1.1203460569730268,0.2625663225348842,0.27243326855066474,0.3046523261630815
A3 REAL: lagged DII (t-1) + controls + year FE [matched lag/lead sample],dii_lag,221,28,0.0660465708325282,0.06640162219356088,0.994652971579554,0.3199050746272747,0.32873615419987745,0.3566783391695848
A4 PLACEBO: lead DII (t+1) + controls + year FE [matched lag/lead sample],dii_lead,221,28,0.04904073224375059,0.06548404427749673,0.7488958995253017,0.45391995198159085,0.46039490357187196,0.4612306153076538
A5 convergence interaction: DII x accession_2004plus (main effect),dii_high_share_manufacturing,284,28,0.07358737865018625,0.06809667485407768,1.0806310118353712,0.27986128193631776,0.28941964502860595,0.3076538269134567
A5 convergence interaction: DII x accession_2004plus (interaction term),dii_high_share_manufacturing:accession_2004plus,284,28,0.04317758857477201,0.1389129161266497,0.31082486624502315,0.7559337648486135,0.7583207411003565,0.7913956978489245
"A6a DII, 2023-2025 overlap sample",dii_high_share_manufacturing,79,27,0.17544508147942517,0.1650392118272144,1.0630508927969498,0.28775887244380827,0.29753321957787016,0.41720860430215106
"A6b EIBIS digital_multi, SAME 2023-2025 overlap sample",eibis_digital_multi,79,27,0.18232997812357787,0.15010445255567162,1.2146873395108266,0.22448536306960243,0.23540230839358034,0.27813906953476736
