model,target,n,G_clusters,coef,se_cluster,t_stat,p_naive_z,p_t_Gminus1,p_wild_bootstrap,cut,model_base
B1 bare (level + year FE + sector FE) [full (incl. combustion)],dii_high_share,782,29,0.08530449337083107,0.11209109800063456,0.7610282608735633,0.44664018748176715,0.4530021596182665,0.48874437218609307,full (incl. combustion),B1 bare (level + year FE + sector FE)
B2 +controls [full (incl. combustion)],dii_high_share,772,28,-0.06901875944264171,0.11352649874918136,-0.6079528586108132,0.543218740242335,0.5482989488285597,0.647823911955978,full (incl. combustion),B2 +controls
B2d decomposition: bare + GDP growth only [full (incl. combustion)],dii_high_share,772,28,0.09608039162100482,0.11337671221624354,0.8474437981386387,0.39674780072064597,0.40419756423741515,0.45372686343171587,full (incl. combustion),B2d decomposition: bare + GDP growth only
B2d decomposition: bare + energy-shock exposure only [full (incl. combustion)],dii_high_share,772,28,0.0787768511307385,0.11523013888863952,0.6836479751783504,0.49419748244419903,0.500023004608841,0.5362681340670336,full (incl. combustion),B2d decomposition: bare + energy-shock exposure only
B2d decomposition: bare + accession_2004plus only [full (incl. combustion)],dii_high_share,772,28,-0.0798176824578465,0.10932274076502987,-0.7301105140548997,0.46532263507801486,0.47161042296499467,0.6013006503251626,full (incl. combustion),B2d decomposition: bare + accession_2004plus only
B3 REAL: lagged DII (t-1) + controls [matched lag/lead sample] [full (incl. combustion)],dii_lag,474,27,-0.027145114783271276,0.07422556722785154,-0.3657111127213543,0.7145806529853083,0.7175393300340047,0.7058529264632316,full (incl. combustion),B3 REAL: lagged DII (t-1) + controls [matched lag/lead sample]
B4 PLACEBO: lead DII (t+1) + controls [matched lag/lead sample] [full (incl. combustion)],dii_lead,474,27,-0.1017591730404096,0.10208027534800172,-0.9968544137787888,0.3188351816437258,0.3280228401628187,0.33766883441720863,full (incl. combustion),B4 PLACEBO: lead DII (t+1) + controls [matched lag/lead sample]
B5 convergence interaction (main effect) [full (incl. combustion)],dii_high_share,772,28,-0.09453994684020064,0.11504652380113957,-0.8217540497235276,0.41121689056185007,0.4184145881398482,0.535767883941971,full (incl. combustion),B5 convergence interaction (main effect)
B5 convergence interaction (interaction term) [full (incl. combustion)],dii_high_share:accession_2004plus,772,28,0.15236331562015196,0.12747499758295358,1.195240780616626,0.23199296958807825,0.24238609547684864,0.2651325662831416,full (incl. combustion),B5 convergence interaction (interaction term)
B1 bare (level + year FE + sector FE) [excl-combustion],dii_high_share,697,28,0.08493134982640677,0.14779114938559007,0.5746714209848871,0.5655135392302308,0.5702713251545619,0.6228114057028514,excl-combustion,B1 bare (level + year FE + sector FE)
B2 +controls [excl-combustion],dii_high_share,687,27,-0.09700038142564027,0.15084663530588746,-0.6430397418473569,0.5201983127389802,0.5258293891436827,0.6408204102051025,excl-combustion,B2 +controls
B2d decomposition: bare + GDP growth only [excl-combustion],dii_high_share,687,27,0.08905880025363766,0.14944849541594385,0.59591633897531,0.5512311174629472,0.5563838417388056,0.5797898949474737,excl-combustion,B2d decomposition: bare + GDP growth only
B2d decomposition: bare + energy-shock exposure only [excl-combustion],dii_high_share,687,27,0.078726164802557,0.15123876552372825,0.5205422335334087,0.6026856997349743,0.6070906017476836,0.6518259129564783,excl-combustion,B2d decomposition: bare + energy-shock exposure only
B2d decomposition: bare + accession_2004plus only [excl-combustion],dii_high_share,687,27,-0.11057053786704293,0.14562749396060415,-0.7592696602810113,0.4476912627936951,0.45452049371000225,0.5927963981990996,excl-combustion,B2d decomposition: bare + accession_2004plus only
B3 REAL: lagged DII (t-1) + controls [matched lag/lead sample] [excl-combustion],dii_lag,433,27,-0.00921482698091812,0.06573304338883026,-0.1401856129862984,0.8885133388277504,0.8895937146700152,0.886943471735868,excl-combustion,B3 REAL: lagged DII (t-1) + controls [matched lag/lead sample]
B4 PLACEBO: lead DII (t+1) + controls [matched lag/lead sample] [excl-combustion],dii_lead,433,27,-0.1248418573451484,0.10704438524375175,-1.1662625467077967,0.2435083110385281,0.2540951620138405,0.3296648324162081,excl-combustion,B4 PLACEBO: lead DII (t+1) + controls [matched lag/lead sample]
B5 convergence interaction (main effect) [excl-combustion],dii_high_share,687,27,-0.1137426197751984,0.15193146869163357,-0.7486442456898456,0.454071656521033,0.46079105310670876,0.5737868934467234,excl-combustion,B5 convergence interaction (main effect)
B5 convergence interaction (interaction term) [excl-combustion],dii_high_share:accession_2004plus,687,27,0.14252056299656055,0.1916933201267521,0.7434821563021737,0.4571898206946381,0.4638558384206888,0.5047523761880941,excl-combustion,B5 convergence interaction (interaction term)
