country_code,year,verified_emissions_t,log_emissions,d_log_emissions,dii_high_share_manufacturing,dii_version,dii_high_share_d35,dii_high_share_c_or_d35,eibis_digital_multi,gdp_per_capita,d_log_gdp_per_capita,energy_import_dependency_pct,eu_accession_cohort,dii_version_break_vs_prior_year,dii_lag,dii_lead,energy_dep_2021_baseline,crisis_period,energy_shock_exposure,accession_2004plus
AT,2005,33373155.0,17.323262392257767,,,,,,,40270.0,0.0162727335929577,71.76,EU-15,True,,,51.952,0.0,0.0,0.0
AT,2006,32384372.0,17.293186518717448,-0.0300758735403192,,,,,,41370.0,0.0269492056099576,72.248,EU-15,True,,,51.952,0.0,0.0,0.0
AT,2007,31751260.0,17.273442967554914,-0.0197435511625343,,,,,,42790.0,0.0337484499554054,68.475,EU-15,True,,,51.952,0.0,0.0,0.0
AT,2008,32078974.0,17.283711357907496,0.0102683903525822,,,,,,43270.0,0.0111551238080682,68.738,EU-15,True,,,51.952,0.0,0.0,0.0
AT,2009,27359833.0,17.124586546898826,-0.1591248110086702,,,,,,41620.0,-0.0388787332713054,65.122,EU-15,True,,,51.952,0.0,0.0,0.0
AT,2010,30919711.0,17.24690443493865,0.1223178880398236,,,,,,42280.0,0.0157333400365491,62.782,EU-15,True,,,51.952,0.0,0.0,0.0
AT,2011,30599418.0,17.23649154713389,-0.0104128878047582,,,,,,43370.0,0.0254537968452375,69.981,EU-15,True,,,51.952,0.0,0.0,0.0
AT,2012,28387060.0,17.161443965495994,-0.0750475816378966,,,,,,43450.0,0.0018428938641257,63.785,EU-15,True,,,51.952,0.0,0.0,0.0
AT,2013,29771753.0,17.209070616041657,0.0476266505456628,,,,,,43080.0,-0.0085519994232132,61.26,EU-15,True,,,51.952,0.0,0.0,0.0
AT,2014,28023947.0,17.14856995262159,-0.0605006634200684,,,,,,43070.0,-0.0002321532221678,65.625,EU-15,True,,0.2463,51.952,0.0,0.0,0.0
AT,2015,29459819.0,17.19853782505592,0.0499678724343297,0.2463,1.0,,0.2463,,43200.0,0.0030137961840459,60.379,EU-15,True,,0.1415,51.952,0.0,0.0,0.0
