country_code,main_activity_code,year,verified_emissions_t,log_emissions,d_log_emissions,dii_high_share,dii_version,ets_activity_code,ets_activity_name,dii_nace_r2,crosswalk_confidence,gdp_per_capita,d_log_gdp_per_capita,energy_import_dependency_pct,eu_accession_cohort,dii_version_break_vs_prior_year,dii_lag,dii_lead,energy_dep_2021_baseline,crisis_period,energy_shock_exposure,accession_2004plus
AT,21,2005,2826917.0,14.854697276499408,,,,21,Refining of mineral oil,C19,high,40270.0,0.0162727335929577,71.76,EU-15,True,,,51.952,0.0,0.0,0.0
AT,21,2006,2829983.0,14.85578126253424,0.0010839860348319,,,21,Refining of mineral oil,C19,high,41370.0,0.0269492056099576,72.248,EU-15,True,,,51.952,0.0,0.0,0.0
AT,21,2007,2867629.0,14.868996113896188,0.0132148513619476,,,21,Refining of mineral oil,C19,high,42790.0,0.0337484499554054,68.475,EU-15,True,,,51.952,0.0,0.0,0.0
AT,21,2008,2806071.0,14.84729584224674,-0.0217002716494487,,,21,Refining of mineral oil,C19,high,43270.0,0.0111551238080682,68.738,EU-15,True,,,51.952,0.0,0.0,0.0
AT,21,2009,2809228.0,14.848420270467791,0.001124428221054,,,21,Refining of mineral oil,C19,high,41620.0,-0.0388787332713054,65.122,EU-15,True,,,51.952,0.0,0.0,0.0
AT,21,2010,2724479.0,14.817787775139283,-0.0306324953285095,,,21,Refining of mineral oil,C19,high,42280.0,0.0157333400365491,62.782,EU-15,True,,,51.952,0.0,0.0,0.0
AT,21,2011,2768078.0,14.833663774513422,0.0158759993741384,,,21,Refining of mineral oil,C19,high,43370.0,0.0254537968452375,69.981,EU-15,True,,,51.952,0.0,0.0,0.0
AT,21,2012,2836130.0,14.857951004793726,0.0242872302803043,,,21,Refining of mineral oil,C19,high,43450.0,0.0018428938641257,63.785,EU-15,True,,,51.952,0.0,0.0,0.0
AT,21,2013,2826640.0,14.854599285093212,-0.0033517197005146,,,21,Refining of mineral oil,C19,high,43080.0,-0.0085519994232132,61.26,EU-15,True,,,51.952,0.0,0.0,0.0
AT,21,2014,2713186.0,14.813634148082029,-0.0409651370111827,,,21,Refining of mineral oil,C19,high,43070.0,-0.0002321532221678,65.625,EU-15,True,,,51.952,0.0,0.0,0.0
AT,21,2015,2804050.0,14.84657535864668,0.0329412105646511,,,21,Refining of mineral oil,C19,high,43200.0,0.0030137961840459,60.379,EU-15,True,,,51.952,0.0,0.0,0.0
AT,21,2016,2784461.0,14.839564875808549,-0.0070104828381314,,,21,Refining of mineral oil,C19,high,43550.0,0.0080692080484467,62.102,EU-15,False,,,51.952,0.0,0.0,0.0
AT,21,2017,2738604.0,14.82295885947951,-0.0166060163290389,,,21,Refining of mineral oil,C19,high,44260.0,0.0161716313243918,63.93,EU-15,False,,,51.952,0.0,0.0,0.0
AT,21,2018,2824369.0,14.853795534781629,0.0308366753021172,,,21,Refining of mineral oil,C19,high,45140.0,0.0196874367664854,64.223,EU-15,False,,,51.952,0.0,0.0,0.0
AT,21,2019,2791040.0,14.841924844196484,-0.0118706905851428,,,21,Refining of mineral oil,C19,high,45730.0,0.0129857662805736,71.601,EU-15,False,,,51.952,0.0,0.0,0.0
AT,21,2020,2731772.0,14.820461040846157,-0.0214638033503273,,,21,Refining of mineral oil,C19,high,42650.0,-0.0697272637322754,58.281,EU-15,True,,,51.952,0.0,0.0,0.0
AT,21,2021,2749644.0,14.826982006717335,0.0065209658711804,,,21,Refining of mineral oil,C19,high,44580.0,0.0442580540200356,51.952,EU-15,True,,,51.952,0.0,0.0,0.0
AT,21,2022,2255065.0,14.62868935533719,-0.1982926513801466,,,21,Refining of mineral oil,C19,high,46430.0,0.040660474074107,73.986,EU-15,True,,,51.952,1.0,51.952,0.0
AT,21,2023,2579589.0,14.763140641882256,0.1344512865450653,,,21,Refining of mineral oil,C19,high,45670.0,-0.0165041748349228,60.317,EU-15,True,,,51.952,1.0,51.952,0.0
AT,21,2024,2620210.0,14.778765025196982,0.0156243833147264,,,21,Refining of mineral oil,C19,high,45140.0,-0.011672855807518,53.325,EU-15,True,,,51.952,0.0,0.0,0.0
AT,21,2025,2648397.0,14.789465109272784,0.0107000840758022,,,21,Refining of mineral oil,C19,high,45390.0,0.0055230450789842,,EU-15,True,,,51.952,0.0,0.0,0.0
BE,21,2005,5576153.0,15.534009670070445,,,,21,Refining of mineral oil,C19,high,38100.0,0.0174746305232638,79.912,EU-15,True,,,70.773,0.0,0.0,0.0
BE,21,2006,5636635.0,15.544797814213345,0.0107881441429,,,21,Refining of mineral oil,C19,high,38810.0,0.0184636632481591,79.486,EU-15,True,,,70.773,0.0,0.0,0.0
BE,21,2007,5679818.0,15.552429747930448,0.0076319337171035,,,21,Refining of mineral oil,C19,high,39950.0,0.0289507268314697,76.882,EU-15,True,,,70.773,0.0,0.0,0.0
BE,21,2008,6305836.0,15.656986111771474,0.1045563638410254,,,21,Refining of mineral oil,C19,high,39810.0,-0.0035105352000588,80.846,EU-15,True,,,70.773,0.0,0.0,0.0
BE,21,2009,6234962.0,15.645683042450596,-0.0113030693208777,,,21,Refining of mineral oil,C19,high,38740.0,-0.0272454790333753,75.921,EU-15,True,,,70.773,0.0,0.0,0.0
BE,21,2010,6361609.0,15.665791890741769,0.0201088482911711,,,21,Refining of mineral oil,C19,high,39420.0,0.0174006437457237,78.656,EU-15,True,,,70.773,0.0,0.0,0.0
BE,21,2011,5785148.0,15.570804501688023,-0.0949873890537436,,,21,Refining of mineral oil,C19,high,39670.0,0.006321932801665,76.588,EU-15,True,,,70.773,0.0,0.0,0.0
BE,21,2012,5935326.0,15.596432512908295,0.0256280112202738,,,21,Refining of mineral oil,C19,high,39510.0,-0.004041430102939,76.673,EU-15,True,,,70.773,0.0,0.0,0.0
BE,21,2013,5959060.0,15.600423308481917,0.0039907955736193,,,21,Refining of mineral oil,C19,high,39440.0,-0.0017732746888654,77.858,EU-15,True,,,70.773,0.0,0.0,0.0
BE,21,2014,6173719.0,15.635811969565,0.0353886610830844,,,21,Refining of mineral oil,C19,high,39960.0,0.0130984240459195,80.19,EU-15,True,,,70.773,0.0,0.0,0.0
BE,21,2015,6267719.0,15.65092305056607,0.0151110810010681,,,21,Refining of mineral oil,C19,high,40310.0,0.0087206233487204,84.227,EU-15,True,,,70.773,0.0,0.0,0.0
BE,21,2016,6083321.0,15.62106132192535,-0.0298617286407196,,,21,Refining of mineral oil,C19,high,40590.0,0.0069221537217316,75.982,EU-15,False,,,70.773,0.0,0.0,0.0
