FacilityInspireId,facilityName,countryName,Longitude,Latitude,NUTS_ID,CNTR_CODE,pollutant_def
IT.CAED/900181001.FACILITY,Power Plant South - Impianto di Termini Imerese - Centrale Ettore Majorana,Italy,13.7483,37.9691,ITG1,IT,incl_biomass
https://registry.gdi-de.org/id/de.bw.lubw.inspire.pf/pf-450-2951606-00000000,Essity Operations Mannheim GmbH ,Germany,8.45708,49.53548,DE12,DE,incl_biomass
https://registry.gdi-de.org/id/de.by.inspire.pf.ied/S00114,"Wacker Chemie AG, Werk Burghausen",Germany,12.84424296167955,48.1851505043508,DE21,DE,incl_biomass
https://registry.gdi-de.org/id/de.bb.inspire.pf.eureg/45039245,Hamburger Rieger GmbH Geschäftsfeld Kraftwerk,Germany,14.36495,51.52854,DE40,DE,incl_biomass
ES.CAED/001998000.FACILITY,ALUMINA ESPAÑOLA S.A.,Spain,-7.454929,43.697515,ES11,ES,incl_biomass
FR.CAED/13783.FACILITY,SA DE LA RAFFINERIE DES ANTILLES,France,-61.02625,14.61665,FRY2,FR,incl_biomass
https://registry.gdi-de.org/id/de.nw.inspire.pf.bube-eureg/arb-2017-114000-100-0006538,Outokumpu Nirosta GmbH,Germany,6.55585,51.30168,DEA1,DE,incl_biomass
SE.CAED/10020849.Facility,"NG Nordic Sweden AB, Norrtorp",Sweden,15.27978,59.11531,SE12,SE,incl_biomass
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000018120.ProductionFacility,"Stora Enso Oyj, Varkauden tehtaat",Finland,27.89859,62.3164,FI1D,FI,incl_biomass
RO.CAED/101TM0001.FACILITY,SC COLTERM SA - CET SUD,Romania,21.197777,45.708051,RO42,RO,incl_biomass
ES.CAED/000214000.FACILITY,"GLOBAL STEEL WIRE, S.A.",Spain,-3.843327,43.440705,ES13,ES,incl_biomass
DK.CAED/000104665.FACILITY,"Ørsted Bioenergy & Thermal Power A/S, Studstrupvær",Denmark,10.34353597045722,56.25139187561966,DK04,DK,incl_biomass
https://registry.gdi-de.org/id/de.th/5bf25e39-19d5-4254-adac-63f1b1cec499/86012942,TWS Thüringer Wärme Service GmbH ,Germany,11.32862,50.6862,DEG0,DE,incl_biomass
ES.CAED/002928000.FACILITY,CENTRAL TÉRMICA DE ABOÑO,Spain,-5.723454,43.552693,ES12,ES,incl_biomass
CZ.MZP.K413/CZ88718507.FACILITY,Elektrárna Tisová,Czechia,12.6102165,50.15217856,CZ04,CZ,incl_biomass
https://registry.gdi-de.org/id/de.be.pf.lisa/172656,BEW HKW Marzahn ,Germany,13.5221,52.5234,DE30,DE,incl_biomass
DK.CAED/000106129.FACILITY,ALK-ABELLO A/S,Denmark,12.486068743145555,55.87444406316153,DK01,DK,incl_biomass
CH.CAED/000000279.Facility,GEVAG Trimmis,Switzerland,9.5569,46.9161,CH05,CH,incl_biomass
https://registry.gdi-de.org/id/de.nw.inspire.pf.bube-eureg/arb-2017-112000-100-0365906,STEAG Power GmbH,Germany,6.71962,51.526,DEA1,DE,incl_biomass
UK.LAED/E375_434.FACILITY,EGGER (UK) LIMITED,United Kingdom,-2.0874,54.9774,UKC2,UK,incl_biomass
CZ.MZP.T806/CZ85250575.FACILITY,Teplárna Přívoz,Czechia,18.2763519,49.86115088,CZ08,CZ,incl_biomass
https://registry.gdi-de.org/id/de.sn.sax4inspire.pf/70015868,DREWAG Gasturbinen-Heizkraftwerk Nossener Brücke ,Germany,13.70819,51.04179,DED2,DE,incl_biomass
FR.CAED/5900.FACILITY,SOLVAY OPERATIONS FRANCE,France,6.35778,48.6196,FRF3,FR,incl_biomass
UK.CAED/EW_EA-1608.FACILITY,Whitwell Works,United Kingdom,-1.1986549,53.270735,UKF1,UK,incl_biomass
IT.EEA/2007001898.FACILITY,STABILIMENTO DI PONTE DELLA PRIULA,Italy,12.259722,45.815833,ITH3,IT,incl_biomass
ES.CAED/001585000.FACILITY,FERTIBERIA,Spain,-4.0586,38.6659,ES42,ES,incl_biomass
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000002416.ProductionFacility,"Tampereen Energia Oy, Lielahden voimalaitos",Finland,23.6752,61.51025,FI19,FI,incl_biomass
CH.CAED/000000286.Facility,ERZ KHKW Hagenholz,Switzerland,8.5653,47.4142,CH04,CH,incl_biomass
FR.CAED/3466.FACILITY,TEREOS FRANCE,France,3.92123,48.7222,FRF2,FR,incl_biomass
SE.CAED/10024885.Facility,LKAB - Kirunagruvan,Sweden,20.19092,67.84939,SE33,SE,incl_biomass
SE.CAED/10014500.Facility,"HPC Simpan och Ena Kraft, kraftvärmeverket",Sweden,17.07766,59.62796,SE12,SE,incl_biomass
FR.CAED/10820.FACILITY,CHAUX ET DOLOMIES DU BOULONNAIS,France,1.78175,50.78067,FRE1,FR,incl_biomass
https://registry.gdi-de.org/id/de.nw.inspire.pf.bube-eureg/arb-2017-915000-900-0079017,RWE Generation SE Kraftwerk Westfalen,Germany,7.96992,51.68261,DEA5,DE,incl_biomass
https://registry.gdi-de.org/id/de.hb/de.hb.pf.bube-eureg.06-04-11/2001178/8/1,swb Erzeugung AG & Co. KG / Heizkraftwerk Hafen ,Germany,8.72734,53.12392,DE50,DE,incl_biomass
ES.EEA/3744.FACILITY,"IBERDROLA GENERACION , S.A. (IBERDROLA GENERACIÓN C. T. PASAJES)",Spain,-1.90921,43.325539,ES21,ES,incl_biomass
IT.CAED/170471001.FACILITY,Centrale Vado Ligure,Italy,8.4308,44.2766,ITC3,IT,incl_biomass
BE.WA/187010000.FACILITY,2VALORISE AMEL,Belgium,6.085657,50.335556,BE33,BE,incl_biomass
ES.CAED/002762000.FACILITY,SAICA PAPER EL BURGO DE EBRO,Spain,-0.678377,41.546601,ES24,ES,incl_biomass
DK.EEA/1513.FACILITY,Vattenfall A/S                   Fynsværket,Denmark,10.4102116826366,55.4294116608398,DK03,DK,incl_biomass
NO.EEA/1201.0113.01.FACILITY,BIR Avfallsenergi,Norway,5.31782,60.2826,NO0A,NO,incl_biomass
FR.CAED/2280.FACILITY,VALOREIZH,France,-1.68726,48.12701,FRH0,FR,incl_biomass
UK.CAED/EW_EA-1028.FACILITY,Ratcliffe-On-Soar Power Station EPR/EP3133RZ,United Kingdom,-1.2542591,52.866039,UKF1,UK,incl_biomass
UK.CAED/EW_EA-156.FACILITY,Blackburn Papermill CHP Facility EPR/BK4723IL,United Kingdom,-2.5385223,53.719657,UKD4,UK,incl_biomass
