model,target,n,G_clusters,coef,se_cluster,t_stat,p_naive_z,p_t_Gminus1,p_wild_bootstrap,item
"D1 v2a bare, INTENSITY outcome",dii_high_share_manufacturing,284,28,0.030430639265725378,0.0741395477459455,0.4104508348230321,0.6814752622273503,0.6847142990913007,0.720360180090045,item2
"D2 v2a +controls, INTENSITY outcome",dii_high_share_manufacturing,284,28,0.014898203692354261,0.07185984311859427,0.20732307566782374,0.835757553856991,0.8373133016692011,0.8389194597298649,item2
"D1r v2a bare, RAW outcome (same sample as D1)",dii_high_share_manufacturing,284,28,0.06860771925596104,0.06915369510626683,0.9921048925951563,0.3211463601174356,0.32995480572360325,0.344672336168084,item2
"D2r v2a +controls, RAW outcome (same sample as D2)",dii_high_share_manufacturing,284,28,0.08093606368021249,0.07224202127232647,1.1203460569730268,0.2625663225348842,0.27243326855066474,0.29514757378689344,item2
"D3 v2b bare, INTENSITY outcome [full (incl. combustion)]",dii_high_share,772,28,0.04999881062156741,0.12991748836172953,0.3848505020537006,0.7003481801692142,0.7033630932378423,0.7558779389694847,item2
"D4 v2b +controls, INTENSITY outcome [full (incl. combustion)]",dii_high_share,772,28,-0.10978874682995918,0.1296108817031783,-0.847064269506215,0.39695929944953634,0.40440535476247974,0.5312656328164082,item2
"D3r v2b bare, RAW outcome (same sample as D3) [full (incl. combustion)]",dii_high_share,772,28,0.08468667684028494,0.11249020454898233,0.752836010742689,0.4515484642938006,0.45806266157160835,0.5102551275637819,item2
"D4r v2b +controls, RAW outcome (same sample as D4) [full (incl. combustion)]",dii_high_share,772,28,-0.06901875944264167,0.11352649874918125,-0.6079528586108134,0.5432187402423345,0.5482989488285595,0.64032016008004,item2
"D3 v2b bare, INTENSITY outcome [excl-combustion]",dii_high_share,687,27,0.055071139905087524,0.16560522523200435,0.33254469976980316,0.7394779927049544,0.7421443643973933,0.7853926963481741,item2
"D4 v2b +controls, INTENSITY outcome [excl-combustion]",dii_high_share,687,27,-0.13777818523142135,0.16678114827827709,-0.8261016706848437,0.40874642004520023,0.4162630067364905,0.5412706353176588,item2
"D3r v2b bare, RAW outcome (same sample as D3) [excl-combustion]",dii_high_share,687,27,0.08412098289270509,0.14844804941407713,0.5666695064349428,0.570938742083219,0.5757984431147172,0.6113056528264132,item2
"D4r v2b +controls, RAW outcome (same sample as D4) [excl-combustion]",dii_high_share,687,27,-0.09700038142564023,0.15084663530588666,-0.6430397418473601,0.520198312738978,0.5258293891436807,0.639319659829915,item2
