dropped_country,n,coef,p_naive_z
FR,42,0.2819577865439905,0.13936647524565604
SE,42,0.25052630579537144,0.08395261785616204
AT,42,0.256683666581529,0.08308449589040445
PL,42,0.26624241879568045,0.07425376920534021
BE,42,0.2595616818740031,0.07080699658964518
BG,42,0.15127055975963916,0.06299986797408308
DE,42,0.26834295864320745,0.0594570523479383
HU,42,0.292987678495363,0.05612816716050473
PT,42,0.27342865251531523,0.05500441308973425
ES,42,0.28296733387294615,0.05499029326817162
RO,42,0.2895019629840554,0.05302097683380702
IT,42,0.2732930446838592,0.050466947979080246
SI,42,0.2950256959277461,0.03625317810380135
EL,42,0.31690217833748535,0.03169477055403691
HR,42,0.33590526684461863,0.018263745906285545
