country_code,onset_year,left_censored_2016,final_cum_expenditure_eur
EE,2018,True,76203973.07
UK,2018,True,12409813.23
SE,2019,True,82629465.5
CZ,2019,False,282327082.82
MT,2019,False,37246140.0
IT,2020,True,1079765169.08
CY,2020,False,32619704.19
LT,2020,True,159743772.81
LV,2020,True,146824201.59
PT,2020,True,96582881.31
ES,2020,False,1622333344.24
FR,2021,True,1519294738.55
PL,2021,True,2830853016.98
HU,2021,True,327655654.6
RO,2022,False,545284855.39
EL,2022,True,228452372.47
SI,2022,True,43667147.980000004
HR,2023,False,92849004.63
SK,2023,True,411387746.03
