country_code,onset_year,onset_group,mean_pre_onset_d_log_emissions,n_pre_years
EE,2018,early,0.04326524927781161,8
UK,2018,early,-0.06692084914712693,8
SE,2019,early,0.014888154833782054,9
CZ,2019,early,-0.010861568679602604,9
MT,2019,early,-0.11109214659205316,9
IT,2020,early,-0.027136715858456385,10
CY,2020,early,-0.018150844126007648,10
LT,2020,early,0.004727387691275453,10
LV,2020,early,0.00013064774835331862,10
PT,2020,early,-0.02686347765275947,10
ES,2020,early,-0.02233800752040622,10
FR,2021,late,-0.02744236996573884,11
PL,2021,late,-0.009751383437496163,11
HU,2021,late,-0.015430233359453573,11
RO,2022,late,-0.034827383603461826,12
EL,2022,late,-0.05412479220358879,12
SI,2022,late,-0.02922567634309144,12
HR,2023,late,-0.03424790716078658,10
SK,2023,late,-0.016534848831337164,13
