dropped_country,n,coef,p_naive_z,p_t_Gminus1
IE,247,0.06733496369626547,0.037888251317911514,0.04791466372405795
DK,247,0.060983543436947375,0.02644790213392989,0.03537920413739348
SE,247,0.07915013737548676,0.020697065767044664,0.028865738598572444
FR,248,0.07021184530859975,0.019760661206631225,0.02778619890177203
EL,250,0.07281801439828048,0.019577459553919763,0.02757426846261124
RO,247,0.06026687887574855,0.0194998523243628,0.02748441750416486
BG,254,0.06915251205843302,0.018997565553040996,0.026901805133934698
PT,247,0.0724803206639493,0.018310268740176605,0.026101455987820765
BE,252,0.07184251426957297,0.018115843184500324,0.02587436675666699
IT,247,0.07320630200081624,0.017060094298169792,0.02463570609644794
ES,247,0.07132825496150749,0.01598404653253116,0.0233629284051724
SI,251,0.06999078768497183,0.01574089041655946,0.023073772551931215
MT,247,0.06807059531303403,0.01541376786827331,0.0226838213190792
HU,247,0.07240233042649552,0.014951259487689716,0.02213057118187134
LV,250,0.07242839708521716,0.014621833623798208,0.02173509892211878
CZ,247,0.07098219574927303,0.014483668723079601,0.021568872216391366
DE,247,0.07245312110385044,0.01420011714369318,0.021227044629958725
PL,247,0.07239090240446179,0.013754058105412748,0.020687388335149715
SK,247,0.07299664247560125,0.013409074939565446,0.02026834311553971
NO,247,0.07426824596918064,0.013348804476919884,0.020194979207697417
HR,247,0.07254468130916336,0.013166475149035684,0.019972754158438022
EE,247,0.07260903716395907,0.013141538484606308,0.019942327366567536
NL,247,0.07861534965358066,0.011873683926041823,0.01838403221641549
CY,247,0.07536414133447307,0.011146406744610982,0.017479307020452195
LT,247,0.07656408965962008,0.010642462432359112,0.016847267691846746
AT,247,0.0742033931520862,0.01054075878856331,0.0167191721098352
LU,247,0.07512357950109881,0.006525784335624785,0.011477577423925966
FI,247,0.10098958078603898,0.00013316249640626943,0.0007452561683887193
