model,target,n,G_clusters,coef,se_cluster,t_stat,p_naive_z,p_t_Gminus1,p_wild_bootstrap,item
"G1 bare, ENERGY-INTENSITY outcome",dii_high_share_manufacturing,257,28,-0.04546314930339324,0.03388818052625754,-1.341563595253132,0.1797375366806544,0.19091302072546346,0.21360680340170085,item2
"G2 +controls, ENERGY-INTENSITY outcome",dii_high_share_manufacturing,257,28,-0.07358072256311146,0.03234490364056643,-2.2748783975608378,0.022913225578671925,0.031071341302223443,0.02001000500250125,item2
"G3 bare, RAW ENERGY CONSUMPTION change outcome",dii_high_share_manufacturing,262,29,-0.00826517776719778,0.018475299529003786,-0.44736366813553086,0.6546125038441344,0.6580542801797837,0.6633316658329165,item2
"G4 +controls, RAW ENERGY CONSUMPTION change outcome",dii_high_share_manufacturing,257,28,-0.0008139927939643946,0.019843663246166425,-0.04102028863655752,0.9672797214806657,0.9675815566820207,0.9599799899949975,item2
"G1r bare, RAW EMISSIONS outcome (same sample as G1)",dii_high_share_manufacturing,257,28,0.025228391368485797,0.04653796910294066,0.5421034019056851,0.5877472753178128,0.5921936741810732,0.5617808904452226,item2
"G2r +controls, RAW EMISSIONS outcome (same sample as G2)",dii_high_share_manufacturing,257,28,0.04547059333562822,0.04912070465281178,0.925690982183933,0.3546065956426012,0.362807184051821,0.35917958979489745,item2
"G5 +controls, VALUE-ADDED growth outcome",dii_high_share_manufacturing,257,28,0.07276672976914714,0.029208300190002947,2.4913031328694992,0.012727547902135816,0.01917031780828582,0.015507753876938469,item2
"G6 +controls, ENERGY (level, not intensity) outcome",dii_high_share_manufacturing,257,28,-0.0008139927939643946,0.019843663246166425,-0.04102028863655752,0.9672797214806657,0.9675815566820207,0.9739869934967483,item2
"G5-LOO-worst-case: drop IE, wild-bootstrap re-estimate",dii_high_share_manufacturing,247,27,0.06733496369626547,0.03243399074261805,2.076061630238667,0.037888251317911514,0.04791466372405795,0.04952476238119059,item2
"H1 CONTEMPORANEOUS DII, matched placebo sample",dii_high_share_manufacturing,221,28,0.08719938333988761,0.04245116940090294,2.054110277066546,0.039965019604542684,0.04976347553953908,0.08504252126063032,item2
"H2 REAL: lagged DII (t-1), matched placebo sample",dii_lag,221,28,0.05672920051155327,0.03362217075668356,1.6872557373552803,0.09155418806867699,0.10307560789345493,0.08904452226113056,item2
"H3 PLACEBO: lead DII (t+1), matched placebo sample",dii_lead,221,28,0.07522709467661345,0.034618294096885424,2.1730445314860725,0.029776965837503555,0.038721527476345274,0.031015507753876938,item2
H4 EU-15 only,dii_high_share_manufacturing,141,15,0.05011353024745734,0.026077442052796,1.921719551557175,0.0546410557433763,0.07523477118032629,0.060530265132566284,item2
H5 Accession 2004+ only,dii_high_share_manufacturing,116,13,0.11798587251723493,0.051649438922670765,2.284359229804658,0.022350427575175358,0.04135116727555088,0.05252626313156578,item2
H6 interaction term (DII x accession),dii_high_share_manufacturing:accession_2004plus,257,28,0.09409090160075068,0.06822435055787389,1.3791395715952548,0.16785172510076052,0.17916980844884933,0.23011505752876438,item2
