series,n_cells,n_countries,first_year,last_year,dataset
GBPS_GT1,212,31,2019,2025,isoc_cbs (speed)
GBPS_GT1_UD,97,24,2021,2025,isoc_cbs (speed)
MBPS_GT100,403,31,2013,2025,isoc_cbs (speed)
MBPS_GT2,248,31,2013,2020,isoc_cbs (speed)
MBPS_GT30,403,31,2013,2025,isoc_cbs (speed)
5G,322,31,2020,2025,isoc_cbt (technology)
5G_GHZ3P4-3P8,221,29,2022,2025,isoc_cbt (technology)
BB,372,31,2013,2018,isoc_cbt (technology)
BB_FX,806,31,2013,2025,isoc_cbt (technology)
CBL_MM,314,28,2013,2018,isoc_cbt (technology)
DOCSIS3_0,688,30,2013,2025,isoc_cbt (technology)
DOCSIS3_1,264,24,2019,2025,isoc_cbt (technology)
DSL,800,31,2013,2025,isoc_cbt (technology)
FTTP,764,31,2013,2025,isoc_cbt (technology)
FTTP_DOCSIS3_0,120,31,2017,2018,isoc_cbt (technology)
FWA,348,28,2019,2025,isoc_cbt (technology)
HSPA,366,31,2013,2018,isoc_cbt (technology)
LTE,600,31,2013,2022,isoc_cbt (technology)
LTE_AVG,186,31,2016,2021,isoc_cbt (technology)
NGA,803,31,2013,2025,isoc_cbt (technology)
SATL,782,31,2013,2025,isoc_cbt (technology)
VDSL,730,30,2013,2025,isoc_cbt (technology)
VDSL2V,272,21,2019,2025,isoc_cbt (technology)
VHCN_BEREC,107,22,2023,2025,isoc_cbt (technology)
VHCN_FX,429,31,2019,2025,isoc_cbt (technology)
WIMAX,233,24,2013,2018,isoc_cbt (technology)
