label,outcome,sample,spec,instrument,n,G,FS_F,FS_pR2,k,CR1_reliable,OLS,OLS_se,OLS_p_t,OLS_p_wild,RF,RF_se,RF_p_t,RF_p_wild,IV,IV_se,IV_p_t,AR95_kind,AR95_lo,AR95_hi
DIAGNOSTIC-ONLY (gate failed),d_log_va,all,S1 Phase-D controls,Z_NGAxFTTP,284,28,19.53488095097965,0.19810410856096727,15,True,0.06603785998785873,0.024095131008848487,0.010737514438377893,0.0085,0.05055741355784855,0.02142210099932584,0.025754168914764897,0.027,0.12667358304383952,0.0640716960807031,0.05832880417569086,bounded,0.02,0.32
DIAGNOSTIC-ONLY (gate failed),d_log_emissions,all,S1 Phase-D controls,Z_NGAxFTTP,284,28,19.53488095097965,0.19810410856096727,15,True,0.08093606368021342,0.07224202127232551,0.2724332685506532,0.315,-0.021914536009076394,0.0391243684835693,0.5800123600673843,0.572,-0.05490772968115872,0.10238771812218778,0.596161276979501,bounded,-0.34,0.13
DIAGNOSTIC-ONLY (gate failed),d_log_va,all,S2 +GDPpc2013 x EU-FTTP shock,Z_NGAxFTTP,284,28,7.656312153002441,0.07933965014591726,16,True,0.023387872613921088,0.021036557498331814,0.2760378051523058,0.3085,0.010743276436896647,0.02198175761039963,0.6289749965865568,0.631,0.042803251926322665,0.087678580577655,0.6293610300212613,bounded,-0.19,0.34
DIAGNOSTIC-ONLY (gate failed),d_log_emissions,all,S2 +GDPpc2013 x EU-FTTP shock,Z_NGAxFTTP,284,28,7.656312153002441,0.07933965014591726,16,True,0.05833488879532738,0.07727146957765084,0.4568234525557251,0.5515,-0.06902629701604812,0.05704969400017781,0.23679169394781496,0.2425,-0.27501386546822415,0.27104401459868666,0.31928104203714724,bounded,-1.8,0.17
DIAGNOSTIC-ONLY (gate failed),d_log_va,all,S3 +GDPpc2013 x year FE,Z_NGAxFTTP,284,28,4.851339323951167,0.049481276128723994,26,True,0.010916324308713445,0.020210943696542104,0.5935422155962766,0.597,-0.005677130803375074,0.02138388798043644,0.7926514119401933,0.777,-0.028380251107723808,0.10764336015751974,0.7940508825962653,bounded,-0.84,0.42
DIAGNOSTIC-ONLY (gate failed),d_log_emissions,all,S3 +GDPpc2013 x year FE,Z_NGAxFTTP,284,28,4.851339323951167,0.049481276128723994,26,True,0.07624370358912302,0.08210411170031694,0.36131296944209135,0.4645,-0.058653379426339365,0.0614674570628662,0.3484387598772445,0.367,-0.2932110768801223,0.3838924960446631,0.45161897199216594,unbounded/disjoint,-3.0,0.27
DIAGNOSTIC-ONLY (gate failed),d_log_va,all,S4 country FE + year FE,Z_NGAxFTTP,284,28,4.358193549701289,0.05793464854549546,41,False,0.028208951578841814,0.03923900037601852,0.47837811862475954,0.4675,0.11361039735727335,0.06558371829443148,0.0946318098634169,0.1205,0.34053878421682493,0.2697511702366027,0.2175937745567662,unbounded/disjoint,-0.06,3.0
DIAGNOSTIC-ONLY (gate failed),d_log_emissions,all,S4 country FE + year FE,Z_NGAxFTTP,284,28,4.358193549701289,0.05793464854549546,41,False,0.29035482071687635,0.1121609884407414,0.015328490062034295,0.006,0.22711187782193745,0.26076819775813126,0.3914684186498185,0.535,0.6807510980836273,0.7328408525999958,0.3611610122979565,unbounded/disjoint,-3.0,3.0
DIAGNOSTIC-ONLY (gate failed),d_log_va,all,S5 country FE + year FE + GDPpc2013 x year FE,Z_NGAxFTTP,284,28,1.0507514460211882,0.016644840128497318,52,False,0.02965087949042633,0.05075098694678026,0.5639073240131673,0.547,0.11120838555999443,0.08606892853159562,0.20727788918934364,0.2845,0.6102584008373937,0.8098305633433792,0.45763306832650774,unbounded/disjoint,-3.0,3.0
DIAGNOSTIC-ONLY (gate failed),d_log_emissions,all,S5 country FE + year FE + GDPpc2013 x year FE,Z_NGAxFTTP,284,28,1.0507514460211882,0.016644840128497318,52,False,0.2881521574604021,0.10748504887273416,0.012365764314922423,0.006,0.232707541853987,0.3337766191824323,0.4916405875865584,0.688,1.2769876267799734,1.4607421665723062,0.3897166317389136,unbounded/disjoint,-3.0,3.0
