instrument,sample,spec,n,G,F_cluster,p_F,partial_R2,fs_coef,fs_se,k,cr1_reliable
Z_NGAxFTTP,all,S1 Phase-D controls,284,28,19.53488095097965,0.00014465455525114468,0.19810410856096727,0.3991156825519873,0.09030117647928437,15,True
Z_NGAxFTTP,all,S2 +GDPpc2013 x EU-FTTP shock,284,28,7.656312153002441,0.010087897708384364,0.07933965014591726,0.25099206143094727,0.09070895624340752,16,True
Z_NGAxFTTP,all,S3 +GDPpc2013 x year FE,284,28,4.851339323951167,0.03634501423520198,0.049481276128723994,0.2000380751315748,0.09082007178136078,26,True
Z_NGAxFTTP,all,S4 country FE + year FE,284,28,4.358193549701289,0.04639862318602883,0.05793464854549546,0.33361955413840655,0.15980789861961647,41,False
Z_NGAxFTTP,all,S5 country FE + year FE + GDPpc2013 x year FE,284,28,1.0507514460211882,0.31443078960211823,0.016644840128497318,0.18223163402291773,0.17777626237823146,52,False
Z_NGAxFTTP,EU15,S1 Phase-D controls,155,15,20.40892517854924,0.0004826427688142676,0.29217124875991485,0.5228481774405046,0.11573521738798079,14,True
Z_NGAxFTTP,EU15,S2 +GDPpc2013 x EU-FTTP shock,155,15,14.859144246035484,0.0017510522045364185,0.16228667645105066,0.41075056225581663,0.10655682392373601,15,True
Z_NGAxFTTP,EU15,S3 +GDPpc2013 x year FE,155,15,12.062829796274967,0.0037289378004705664,0.12939949858834787,0.36752133341624055,0.10581761126180418,25,False
Z_NGAxFTTP,ACC2004+,S1 Phase-D controls,129,13,0.3930122812130457,0.5424637499262778,0.021114474327212474,0.10088287569961786,0.1609216187279273,14,False
Z_NGAxFTTP,ACC2004+,S2 +GDPpc2013 x EU-FTTP shock,129,13,0.29362994016313154,0.5978217795352776,0.010831454333023127,-0.06527709254449278,0.12046493047147355,15,False
Z_NGAxFTTP,ACC2004+,S3 +GDPpc2013 x year FE,129,13,0.655995164810864,0.4337452272885045,0.027723868413599972,-0.10520431905967252,0.12989225323853762,25,False
Z_NGAxG100,all,S1 Phase-D controls,284,28,17.826627603720542,0.0002453143306491157,0.19778864630945803,0.29165310785018833,0.06907676850009001,15,True
Z_NGAxG100,all,S2 +GDPpc2013 x EU-FTTP shock,284,28,7.4426720570242475,0.011062266769934714,0.085557975270112,0.18786588959112857,0.06886261199301372,16,True
Z_NGAxG100,all,S3 +GDPpc2013 x year FE,284,28,4.434053745978216,0.0446678753087717,0.05003181451804939,0.1478363507792211,0.07020705522631664,26,True
Z_NGAxG100,all,S4 country FE + year FE,284,28,4.4390043959348064,0.04455745755784213,0.051233520793417586,0.37134672980287503,0.17625312107488192,41,False
Z_NGAxG100,all,S5 country FE + year FE + GDPpc2013 x year FE,284,28,0.798929826150724,0.3793120653273583,0.011723901758640243,0.18145085362787758,0.20300404809793274,52,False
Z_NGAxG100,EU15,S1 Phase-D controls,155,15,19.694180432322586,0.0005624052576390648,0.30497994584169874,0.3913352453383894,0.08818201285173644,14,True
