sample,spec,n,G,k,F_CR1,p_CR1,p_wild_first_stage,cr1_reliable
all,S1 Phase-D controls,284,28,15,19.53488095097965,0.00014465455525114468,0.009,True
all,S2 +GDPpc2013 x EU-FTTP shock,284,28,16,7.656312153002441,0.010087897708384364,0.034,True
all,S3 +GDPpc2013 x year FE,284,28,26,4.851339323951167,0.03634501423520198,0.0635,True
all,S4 country FE + year FE,284,28,41,4.358193549701289,0.04639862318602883,0.056,False
all,S5 country FE + year FE + GDPpc2013 x year FE,284,28,52,1.0507514460211882,0.31443078960211823,0.332,False
EU15,S1 Phase-D controls,155,15,14,20.40892517854924,0.0004826427688142676,0.018,True
EU15,S2 +GDPpc2013 x EU-FTTP shock,155,15,15,14.859144246035484,0.0017510522045364185,0.018,True
EU15,S3 +GDPpc2013 x year FE,155,15,25,12.062829796274967,0.0037289378004705664,0.027,False
ACC2004+,S1 Phase-D controls,129,13,14,0.3930122812130457,0.5424637499262778,0.8025,False
ACC2004+,S2 +GDPpc2013 x EU-FTTP shock,129,13,15,0.29362994016313154,0.5978217795352776,0.603,False
ACC2004+,S3 +GDPpc2013 x year FE,129,13,25,0.655995164810864,0.4337452272885045,0.4035,False
