dropped,spec,F,IV_va,IV_se
AT,S1 Phase-D controls,20.846181913091048,0.11950134489006001,0.0698767651151128
AT,S3 +GDPpc2013 x year FE,10.987872959651295,0.04287401954376052,0.09231451725741004
BE,S1 Phase-D controls,15.021590420292672,0.14332078798202283,0.07734389840789475
BE,S3 +GDPpc2013 x year FE,7.328079515309701,0.08583540979952468,0.09394022033412043
DE,S1 Phase-D controls,18.94199430132133,0.11490862834254634,0.06807866606419297
DE,S3 +GDPpc2013 x year FE,12.11664172564309,0.03611608929887887,0.08247826791104589
DK,S1 Phase-D controls,20.518540985678232,0.1015130109287245,0.07624651936322745
DK,S3 +GDPpc2013 x year FE,10.661162807814511,0.014016620355098706,0.07890102022617243
EL,S1 Phase-D controls,16.18275919313487,0.13254524088276268,0.08626295161680245
EL,S3 +GDPpc2013 x year FE,11.007644093370406,0.0638616600835881,0.09706936138758818
ES,S1 Phase-D controls,18.90953559909201,0.12207337011724878,0.07184707780363034
ES,S3 +GDPpc2013 x year FE,9.262506069982523,0.04003203953133177,0.088085459658602
FI,S1 Phase-D controls,21.3744775312874,0.12128960359137045,0.07230015601020748
FI,S3 +GDPpc2013 x year FE,11.71377561711916,0.03672761457583371,0.09577984697415362
FR,S1 Phase-D controls,17.760891971096406,0.1207903685627188,0.08157624384428927
FR,S3 +GDPpc2013 x year FE,10.797451158177902,0.018612892348163473,0.11921951961603386
IE,S1 Phase-D controls,22.633909847810898,0.07463617867191574,0.051357829646262454
IE,S3 +GDPpc2013 x year FE,12.462572826722342,-0.005621362762728632,0.0698727470670415
IT,S1 Phase-D controls,15.598403003025064,0.12381430750798715,0.08799869087531938
IT,S3 +GDPpc2013 x year FE,8.12262318863692,0.02245929414139605,0.1343055637291977
LU,S1 Phase-D controls,27.17754834334564,0.06669362775062422,0.03642758646148827
LU,S3 +GDPpc2013 x year FE,12.153866140031436,0.03541488718696019,0.08933245452664085
NL,S1 Phase-D controls,12.753584008022646,0.13457574806548517,0.08414668378938775
NL,S3 +GDPpc2013 x year FE,6.644071617040963,0.05811787497937016,0.1093679720159872
NO,S1 Phase-D controls,23.963919305690673,0.11620834461967733,0.07375841808379315
NO,S3 +GDPpc2013 x year FE,10.57383065182712,0.027716166361584228,0.08515358196626417
PT,S1 Phase-D controls,17.596668224413,0.11976621222884175,0.0719656394350038
PT,S3 +GDPpc2013 x year FE,12.381496592853201,0.014885856317841117,0.0729673621896346
SE,S1 Phase-D controls,21.119950655597453,0.12126632522203867,0.0712161272007089
SE,S3 +GDPpc2013 x year FE,12.201194388012228,0.03469427456244583,0.09239552567234632
