,dig_core,nondig,total,pop,ln_gdppc,x_dig,x_nondig,acc,g_ind_nat,ind_share04,dlnE_2019,dlnE_2023
AT,598.0772993782584,6573.077223019573,7171.154522397831,8169.46,10.587089320252542,4.986511020600671,7.38348213223717,0.0,1.9121237529318158,0.23961269906465285,-12.199139142848175,-31.262213008050644
BE,771.368270359972,6862.236275852685,7633.604546212657,10421.1,10.530494930591528,4.997526122132521,7.183103815466678,0.0,0.3386249274801578,0.20775478826515392,-21.559010135971686,-44.712867605553726
BG,7.380820431206547,75.92110488488545,83.301925316092,7781.16,8.59044365315583,0.8445211709987727,2.973752230461879,1.0,2.138771476374554,0.22017748560215952,,
CY,5.59940037578125,27.92288396204568,33.52228433782693,727.98,10.030560635099604,2.7374875375458294,4.340245332707622,1.0,0.27611199109573675,0.10698025446879024,-12.733002255920809,-15.646012088160816
CZ,22.845662010907773,415.8056614094551,438.65132342036287,10206.92,9.632334782035558,1.5453763293687688,4.400449858822099,1.0,3.4662511107936136,0.3048803992686607,-27.6773862092205,-56.91016768543564
DE,12517.702091994975,113192.20622661701,125709.90831861198,81456.0,10.474749545105949,5.727993858185806,7.92992690565795,0.0,1.8082504442358704,0.24689453977420195,-26.80886394563356,-49.58180296702948
DK,590.7757099930462,4848.483165392819,5439.2588753858645,5403.04,10.794870648704098,5.387642768653632,7.4926069185017425,0.0,0.40382813147853575,0.20395576005608063,-78.79476419857163,-105.22425008627864
EE,4.7875795684375,34.91530037779374,39.70287994623124,1366.3,9.5453830157878,1.966831704792221,3.93434856918328,1.0,2.7220721934394603,0.21717358194489317,-39.695389506657584,-87.52108047362567
EL,49.30462927870431,322.38576005404605,371.6903893327503,10955.16,9.874058741845316,2.209474615172854,4.075374004599652,0.0,-2.4161269679240784,0.14015099810310988,-56.573409076975636,-102.90943694021053
ES,354.762392363671,4587.1114486334955,4941.873840997167,42859.17,10.110095135210239,2.8103048131753594,5.366255171026337,0.0,-0.1125451238999986,0.18443763919821826,-51.67758231343845,-81.68110538342603
FI,3202.099338641997,4174.930892332074,7377.030230974072,5228.2,10.58961011815911,7.110642713454146,7.375933606449466,0.0,0.11919123047936202,0.2755294354606664,-35.35352995785763,-76.77605774650416
FR,7004.486695094136,37741.19872275508,44745.68541784922,62501.0,10.413312675968536,5.412290707466021,7.096472890640671,0.0,0.2830741570448555,0.1669082928688293,-33.06197817158385,-61.94367868785048
HR,6.82793032219065,139.85343059304012,146.68136091523075,4308.29,9.265775078864284,1.2409185938279157,4.173438220969324,1.0,-0.06839215898620006,0.22027170669520046,,
HU,92.20624096649475,599.9644300795101,692.1706710460048,10107.15,9.265775078864284,2.9069222991510055,4.776845398110748,1.0,1.237411114314911,0.2605874794139655,-29.24720487872171,-66.63060114332204
IE,253.78086338283237,978.5982105873945,1232.379073970227,4067.35,10.729634734557317,4.826690860999646,6.176280967812042,0.0,5.311107535271566,0.26308515748401684,-46.03094168473995,-60.99647600274225
IT,1683.3419656753917,21966.467818219186,23649.809783894576,57828.2,10.366907053904848,4.064501901574894,6.632944746685528,0.0,-0.280111303743131,0.19912815565012332,-47.21398664675981,-67.74360110294194
LT,0.29587117176835936,34.81834568348707,35.11421685525543,3377.08,9.11382947159534,0.0874998419191084,3.028623751664195,1.0,3.0559732353522433,0.2552822663741166,-8.48123735730961,-32.9078954201586
LU,24.15529453415905,417.1524890556429,441.30778358980183,458.51,11.486478814955245,4.6575140139049696,7.506372496003291,0.0,0.2154673558656712,0.1119293665904292,-55.3916918918553,-108.05132857009345
LV,1.5451204030708936,32.02790875499175,33.57302915806264,2263.0,9.131297164635729,0.6384984212089041,3.3443092623836796,1.0,0.30685326918259903,0.18179903762121866,-13.538302218535742,-49.55152306626803
MT,0.7338998620836806,23.039636144046533,23.773536006130215,401.39,9.782449224159071,1.3641484881578845,4.743260850052252,1.0,1.9963885413200584,0.17511585124467316,-98.06395444471346,-90.53404243015058
NL,5074.447857555382,14107.233811115297,19181.68166867068,16282.0,10.631519134949576,6.4350625526671426,7.457530291486584,0.0,0.8159509037988423,0.17095182992237717,4.114872418492947,-31.075608023172798
PL,29.345939006317845,376.9567239488256,406.30266295514355,38180.25,8.964439833539357,0.7079732405528445,2.9855140821360293,1.0,4.923373049312817,0.25451501146382566,-10.069007952231413,-28.33810725233278
PT,15.03459238511464,231.10537904137317,246.13997142648782,10483.86,9.846387960495555,1.1576267291279254,3.7866981178172563,0.0,0.7326675807173088,0.18328765620338508,-52.2399011725182,-104.88040240648431
RO,8.152016924971996,60.62191052049318,68.77392744546518,21451.85,8.751474487140904,0.37141607099219626,1.7619219997277267,1.0,2.5573519957637076,0.28377575530049826,,
SE,2391.163543972755,10132.313040823858,12523.476584796614,8993.5,10.605594474467546,6.2761839878386265,7.720130190231168,0.0,0.5553904554745566,0.22984044074133367,-2.542608155206603,-11.74411410731365
SI,20.312612025919726,327.3082766188691,347.6208886447888,1997.27,9.795345393916424,3.0150162212582665,5.792277710006321,1.0,2.416651197981918,0.2850093202849345,-33.2525810942142,-64.35152984645526
SK,8.42125877453125,92.6517685835512,101.07302735808246,5382.36,9.250522161609014,1.2300726641714113,3.539710897183915,1.0,4.734381876605985,0.29748726446940404,-23.719119719830715,-39.52334133881731
UK,5716.723219047316,27690.873184677122,33407.59640372444,,,,,0.0,,0.1646269532651881,-71.66173858096097,
