dropped,n_dropped_units,n,G,coef,se,p_t_Gm1,p_wild,sample,regression
AT,9,174,18,-0.03206975166125769,0.11767108382641728,0.7884916940360855,0.7983596719343868,NUTS2,A3
BE,9,174,18,-0.06265567902086265,0.12078358687905665,0.610626581453785,0.6189237847569514,NUTS2,A3
BG,3,180,18,-0.049932098461509075,0.11719710758736715,0.675415261922558,0.6883376675335067,NUTS2,A3
CZ,8,175,18,-0.05212995157486667,0.12061033221170595,0.6710155784432876,0.6857371474294859,NUTS2,A3
DE,34,149,18,-0.10367662579542332,0.11851814044619928,0.3938879672549682,0.3890778155631126,NUTS2,A3
DK,5,178,18,-0.052457392099807806,0.12250164280906622,0.6738685759776346,0.6799359871974395,NUTS2,A3
EL,6,177,18,-0.0423874798120454,0.11589219987703715,0.7190636556518708,0.7223444688937788,NUTS2,A3
ES,16,167,18,-0.06780858610403839,0.12595966375502715,0.5973241050712337,0.6051210242048409,NUTS2,A3
FI,2,181,18,-0.003991146862044993,0.09991535669952423,0.9686021261805082,0.9697939587917583,NUTS2,A3
FR,24,159,18,-0.11530592912163895,0.11922697135031672,0.34704588040282514,0.3650730146029206,NUTS2,A3
HU,8,175,18,-0.01990935793301975,0.10241820286491352,0.8481724243180915,0.8467693538707741,NUTS2,A3
IT,20,163,18,0.019192511305019148,0.11878367825336089,0.8735450402270308,0.8815763152630526,NUTS2,A3
LT,2,181,18,-0.048561877774657924,0.11684125325764351,0.6828851485640302,0.6895379075815163,NUTS2,A3
NL,6,177,18,-0.04083576617897654,0.11425143648465383,0.7251759701543055,0.7371474294858972,NUTS2,A3
PL,10,173,18,-0.06252295264390663,0.13527902535612,0.6498139145508406,0.6625325065013002,NUTS2,A3
PT,3,180,18,-0.06043436411169521,0.12168686090572535,0.6258048732325436,0.6335267053410683,NUTS2,A3
RO,6,177,18,-0.04219428378148851,0.11889089516435933,0.7270297780133819,0.7349469893978796,NUTS2,A3
SE,8,175,18,-0.07639731871298813,0.12396422017406017,0.5458709440283718,0.5505101020204041,NUTS2,A3
SK,4,179,18,-0.0510479317720578,0.11532786726770305,0.6636114622054814,0.6687337467493498,NUTS2,A3
AT,35,960,24,-0.027380399442415618,0.07350658244327703,0.7129391240865817,0.8411682336467293,NUTS3,A3
BE,36,959,24,-0.023687219448375225,0.06952187871930457,0.7364099633817323,0.8549709941988398,NUTS3,A3
BG,23,972,24,-0.02720743785339253,0.07045234791817526,0.7029111161394028,0.8357671534306861,NUTS3,A3
CZ,14,981,24,-0.024711510187585682,0.06970689040377258,0.7261894511123881,0.8489697939587918,NUTS3,A3
DE,381,614,24,-0.02332388575129466,0.08148800927343133,0.7772682702054423,0.8533706741348269,NUTS3,A3
DK,11,984,24,-0.026206687928435224,0.06874298967936977,0.7065336815581444,0.8347669533906782,NUTS3,A3
EE,3,992,24,-0.02513809612427166,0.06894412518898729,0.718729484894197,0.8441688337667533,NUTS3,A3
EL,35,960,24,-0.03600082839286584,0.07214185773969521,0.6224990612534953,0.795759151830366,NUTS3,A3
ES,54,941,24,-0.0212804932541048,0.07263404761978742,0.7721627259156401,0.8895779155831166,NUTS3,A3
FI,8,987,24,-0.0153780671255401,0.06720240562524722,0.8210218959091788,0.9267853570714143,NUTS3,A3
FR,98,897,24,-0.056835123439342376,0.06470602826358562,0.38883295513285865,0.6403280656131226,NUTS3,A3
HR,4,991,24,-0.019268654100179545,0.06901355696433806,0.7825858086190411,0.8805761152230446,NUTS3,A3
HU,20,975,24,-0.030219780462337528,0.0689784047055912,0.6653973292845707,0.7949589917983597,NUTS3,A3
IE,4,991,24,-0.02600549181984397,0.06845303989433882,0.7075031355958217,0.8269653930786157,NUTS3,A3
IT,102,893,24,0.04438971133407415,0.03745732553835762,0.24808889842236992,0.34546909381876373,NUTS3,A3
LT,10,985,24,-0.02013773589904525,0.07088217694834295,0.778874551131171,0.8855771154230846,NUTS3,A3
