geo,eu_total_pat_1977_2004,eu_dig_pat_1977_2004,retained_share_total_nuts2_strict,retained_share_dig_nuts2_strict,retained_share_total_nuts3,retained_share_dig_nuts3
AT,19431.42,1168.9,1.0,1.0,1.0,1.0
BE,19889.12,1611.3799999999999,0.9031535834667397,0.9396542094353908,0.922560173602452,0.9506323772170439
BG,277.12,14.98,0.8215935334872979,0.9038718291054739,0.9959945150115473,1.0
CY,66.29,8.59,1.0,1.0,1.0,1.0
CZ,727.35,32.29,1.0,1.0,1.0,1.0
DE,352577.57,29608.52,0.9648033197347182,0.9755276521757926,0.9917220485693403,0.9956995486434309
DK,12863.01,1079.82,0.9999999999999999,1.0,1.0,1.0
EE,70.03,6.1,0.0,0.0,0.9857204055404827,1.0
EL,830.9,85.56,0.29888073173667107,0.18934081346423562,0.3250932723552774,0.20102851799906496
ES,10336.01,657.71,0.991596370359549,0.9961381155828556,0.9983214025528225,0.9981754876769396
FI,16641.94,5957.67,0.45468797507982844,0.5282702801598611,0.6112123947087901,0.6306055890977512
FR,132972.23,16636.27,0.999665042843908,0.9995636041011595,0.999665042843908,0.9995636041011595
HR,252.99,9.66,0.0,0.0,0.1546306178109807,0.10351966873706003
HU,2371.16,183.41,1.0,1.0,1.0,1.0
IE,2658.95,467.49,0.0,0.0,0.6779668666202826,0.749042760272947
IT,62151.58,3805.52,0.9968115050333395,0.99810538375833,0.9968115050333395,0.99810538375833
LT,49.83,0.73,1.0,1.0000000000000002,1.0,1.0000000000000002
LU,1138.73,40.57,1.0000000000000004,1.0,1.0000000000000004,1.0
LV,53.12,2.2800000000000002,0.0,0.0,0.003765060240963856,0.0
MT,46.7,1.25,1.0,1.0,1.0,1.0
NL,49654.62,10914.06,0.2106760659934564,0.051182602991004265,0.6617873623844065,0.8930507986945282
PL,854.97,45.42,0.46391101442155863,0.6265962131219727,0.8962770623530649,0.9416556583003081
PT,475.47,25.400000000000002,0.03449218667844448,0.04251968503937008,0.09985908679832585,0.08858267716535433
RO,138.84,11.8,0.9188994526073178,0.976271186440678,1.0,1.0
SE,34952.28,4930.0,1.0,1.0,0.9604932782639645,0.9917971602434078
SI,564.45,35.04,0.0,0.0,0.3795553193374081,0.44663242009132414
SK,165.88,11.35,1.0,1.0,1.0,1.0
