n2,same_children,anyflag,pop_ratio,pop_bad,pop_unvalidated,n_pat_children,n_gva_children,stable_strict,stable_lenient,stable
AL01,False,False,,False,True,0,5,False,False,False
AL02,False,False,,False,True,0,2,False,False,False
AL03,False,False,,False,True,0,5,False,False,False
AT11,True,False,1.00014859290465,False,False,3,3,True,True,True
AT12,True,False,0.997266753572935,False,False,7,7,True,True,True
AT13,True,False,0.9926250078551282,False,False,1,1,True,True,True
AT21,True,False,1.0006633389046595,False,False,3,3,True,True,True
AT22,True,False,1.0000142745962453,False,False,6,6,True,True,True
AT31,True,False,0.9976101955102689,False,False,5,5,True,True,True
AT32,True,False,1.0000948641582823,False,False,3,3,True,True,True
AT33,True,False,0.9925103886368997,False,False,5,5,True,True,True
AT34,True,False,0.9970991739055769,False,False,2,2,True,True,True
ATZZ,False,False,,False,True,0,1,False,False,False
BE10,True,False,0.9930783558496674,False,False,1,1,True,True,True
BE21,True,False,0.9974367039459476,False,False,3,3,True,True,True
BE22,False,False,0.9974832092781094,False,False,3,3,False,True,False
BE23,True,False,0.9987232214401487,False,False,6,6,True,True,True
BE24,True,False,0.997482495390729,False,False,2,2,True,True,True
BE25,True,False,0.9990930708829837,False,False,8,8,True,True,True
BE31,True,False,0.9960933316778011,False,False,1,1,True,True,True
BE32,False,False,0.9994850949060903,False,False,7,7,False,True,False
BE33,True,False,0.9991472120442634,False,False,5,5,True,True,True
BE34,True,False,0.9960436916249189,False,False,5,5,True,True,True
BE35,True,False,0.9970529572289912,False,False,3,3,True,True,True
BEZZ,False,False,,False,True,0,1,False,False,False
BG31,True,False,0.9935048515052459,False,False,5,5,True,True,True
BG32,False,False,0.9937387646778892,False,False,4,5,False,True,False
BG33,False,False,0.9969374446111533,False,False,3,4,False,True,False
BG34,True,False,1.0200304272976413,False,False,4,4,True,True,True
BG41,True,False,1.0022222101576386,False,False,5,5,True,True,True
BG42,False,False,0.9983740480253858,False,False,4,5,False,True,False
CH01,True,False,,False,True,3,3,True,False,True
CH02,True,False,,False,True,5,5,True,False,True
CH03,True,False,,False,True,3,3,True,False,True
CH04,True,False,,False,True,1,1,True,False,True
CH05,True,False,,False,True,7,7,True,False,True
CH06,True,False,,False,True,6,6,True,False,True
CH07,True,False,,False,True,1,1,True,False,True
CY00,True,False,0.9942736047392989,False,False,1,1,True,True,True
CZ01,True,False,0.9949151698569765,False,False,1,1,True,True,True
CZ02,True,False,0.998326317250356,False,False,1,1,True,True,True
CZ03,True,False,0.9995682002302158,False,False,2,2,True,True,True
CZ04,True,False,0.9979686372264103,False,False,2,2,True,True,True
CZ05,True,False,1.0003741062811637,False,False,3,3,True,True,True
CZ06,True,False,1.0015069532052459,False,False,2,2,True,True,True
CZ07,True,False,1.0044863447717993,False,False,2,2,True,True,True
CZ08,True,False,0.9970587737819913,False,False,1,1,True,True,True
