geo10,code,flag,in_gva,pop_imp,pop_new,pop_ratio,pop_bad,o2,n2
BE100,BE100,False,True,978.3807961830923,985.2,0.9930783558496674,False,BE10,BE10
BE211,BE211,False,True,935.3830007785181,938.0,0.9972100221519382,False,BE21,BE21
BE212,BE212,False,True,307.4329141955995,308.0,0.998158812323375,False,BE21,BE21
BE213,BE213,False,True,409.6364173810228,410.7,0.9974103174604889,False,BE21,BE21
BE221,BE221,False,False,386.2826179951519,,,False,BE22,BE22
BE222,BE222,False,False,221.57970591616046,,,False,BE22,BE22
BE223,BE223,False,True,190.71755881524714,191.0,0.9985212503416081,False,BE22,BE22
BE231,BE231,False,True,262.3370250946306,262.4,0.9997600041716105,False,BE23,BE23
BE232,BE232,False,True,186.98764707210768,187.0,0.9999339415620732,False,BE23,BE23
BE233,BE233,False,True,79.42778724996882,79.4,1.0003499653648464,False,BE23,BE23
BE234,BE234,False,True,498.63019177315175,499.7,0.9978590990057069,False,BE23,BE23
BE235,BE235,False,True,114.43337024732374,114.5,0.9994180807626527,False,BE23,BE23
BE236,BE236,False,True,225.0504835795515,225.4,0.9984493503973003,False,BE23,BE23
BE241,BE241,False,True,563.3708765525531,564.6,0.9978230190445503,False,BE24,BE24
BE242,BE242,False,True,459.4513302682412,460.8,0.9970731993668428,False,BE24,BE24
BE251,BE251,False,True,272.0116035861808,272.2,0.9993078750410758,False,BE25,BE25
BE252,BE252,False,True,48.03708125570616,48.1,0.9986919179980491,False,BE25,BE25
BE253,BE253,False,True,104.16834636781424,104.2,0.9996962223398679,False,BE25,BE25
BE254,BE254,False,True,277.78563148519885,277.7,1.0003083596874285,False,BE25,BE25
BE255,BE255,False,True,143.8981078929643,144.4,0.9965242928875644,False,BE25,BE25
BE256,BE256,False,True,140.94927769100272,141.1,0.9989318050389988,False,BE25,BE25
BE257,BE257,False,True,88.0845803981807,88.1,0.9998249761428003,False,BE25,BE25
BE258,BE258,False,True,57.23417697996804,57.5,0.9953769909559659,False,BE25,BE25
BE310,BE310,False,True,355.2068820763039,356.6,0.9960933316778011,False,BE31,BE31
BE321,BE321,False,False,79.8406874043479,,,False,BE32,BE32
BE322,BE322,False,False,420.5895971600556,,,False,BE32,BE32
BE323,BE323,False,True,249.05366288131822,249.0,1.0002155135795912,False,BE32,BE32
BE324,BE324,False,False,69.73650330443738,,,False,BE32,BE32
BE325,BE325,False,False,174.80195436649115,,,False,BE32,BE32
BE326,BE326,False,False,146.210407239819,,,False,BE32,BE32
BE327,BE327,False,False,140.82932826645805,,,False,BE32,BE32
