geo,g,country,grp,kept3,kept2
AT111,2.260435978584458,AT,EU15,True,True
AT112,3.7492586261638015,AT,EU15,True,True
AT113,1.4044056927198614,AT,EU15,True,True
AT121,3.682278423178203,AT,EU15,True,True
AT122,2.2555208614861617,AT,EU15,True,True
AT123,1.6024728377140705,AT,EU15,True,True
AT124,2.2308817408652852,AT,EU15,True,True
AT125,5.5166086448009155,AT,EU15,True,True
AT126,1.3695769907889042,AT,EU15,True,True
AT127,2.2537871784712036,AT,EU15,True,True
AT130,0.599495218131033,AT,EU15,True,True
AT211,3.607604497442615,AT,EU15,True,True
AT212,1.2836063993055877,AT,EU15,True,True
AT213,3.2750803665937793,AT,EU15,True,True
AT221,3.4809377187576502,AT,EU15,True,True
AT222,2.0548719460841487,AT,EU15,True,True
AT223,2.4795262400418028,AT,EU15,True,True
AT224,3.206427996443801,AT,EU15,True,True
AT225,3.125403289663036,AT,EU15,True,True
AT226,2.4947286539257645,AT,EU15,True,True
AT311,5.224303898588627,AT,EU15,True,True
AT312,2.595088106329183,AT,EU15,True,True
AT313,5.397625268151992,AT,EU15,True,True
AT314,1.9727788646698599,AT,EU15,True,True
AT315,2.371633446795959,AT,EU15,True,True
AT321,5.073154385137471,AT,EU15,True,True
AT322,2.0875624248513778,AT,EU15,True,True
AT323,3.100715213545532,AT,EU15,True,True
AT331,1.6590445236443723,AT,EU15,True,True
AT332,1.6759709231201165,AT,EU15,True,True
AT333,2.8565187356669943,AT,EU15,True,True
AT334,4.029272074106587,AT,EU15,True,True
AT335,3.4170987146299785,AT,EU15,True,True
AT341,3.276843113446683,AT,EU15,True,True
AT342,3.4817845236810006,AT,EU15,True,True
BE100,-1.6504150442864558,BE,EU15,True,True
BE211,0.5619816031195768,BE,EU15,True,True
BE212,1.0194412158904407,BE,EU15,True,True
BE213,3.8037295658341335,BE,EU15,True,True
BE223,0.1940186921808846,BE,EU15,True,False
BE224,0.5167618911477386,BE,EU15,False,False
BE225,1.1716718093367082,BE,EU15,False,False
BE231,1.7460078884578234,BE,EU15,True,True
BE232,2.552466338303397,BE,EU15,True,True
BE233,3.7304335334346925,BE,EU15,True,True
BE234,1.9797342228269343,BE,EU15,True,True
BE235,-2.496815973206123,BE,EU15,True,True
BE236,1.6595713355470452,BE,EU15,True,True
BE241,-0.48966950772686424,BE,EU15,True,True
BE242,2.051137843938625,BE,EU15,True,True
BE251,0.5459397951112229,BE,EU15,True,True
BE252,1.51860637301638,BE,EU15,True,True
BE253,2.3100171349588448,BE,EU15,True,True
BE254,1.8914011934125594,BE,EU15,True,True
BE255,5.863428528373602,BE,EU15,True,True
BE256,1.3263478139612341,BE,EU15,True,True
BE257,1.2393874351911638,BE,EU15,True,True
BE258,2.5660440090697523,BE,EU15,True,True
BE310,6.167377857212213,BE,EU15,True,True
BE323,0.2657235203048027,BE,EU15,True,False
BE328,4.096847032384497,BE,EU15,False,False
BE329,-6.933553243437997,BE,EU15,False,False
BE32A,6.289919948717923,BE,EU15,False,False
BE32B,-1.175453748811758,BE,EU15,False,False
BE32C,-0.7875573408628623,BE,EU15,False,False
BE32D,2.1361676281566235,BE,EU15,False,False
BE331,2.5134395642489618,BE,EU15,True,True
BE332,1.65111805245588,BE,EU15,True,True
BE334,0.7967088752786987,BE,EU15,True,True
BE335,2.5631509320120105,BE,EU15,True,True
BE336,2.481415292487218,BE,EU15,True,True
BE341,0.48343614428307496,BE,EU15,True,True
BE342,5.282986106702043,BE,EU15,True,True
BE343,-0.5966113361044721,BE,EU15,True,True
BE344,2.902582622537153,BE,EU15,True,True
BE345,-1.078620198929611,BE,EU15,True,True
BE351,3.2183397919186914,BE,EU15,True,True
BE352,0.21688756797611905,BE,EU15,True,True
BE353,2.5160755967337147,BE,EU15,True,True
BG311,4.36731250266749,BG,ACC,False,True
BG312,8.005629521482357,BG,ACC,True,True
BG313,5.203744682007378,BG,ACC,False,True
BG314,4.4567975613243584,BG,ACC,True,True
BG315,4.921775530012487,BG,ACC,True,True
BG321,5.02334240335077,BG,ACC,True,False
BG322,5.8867498714927615,BG,ACC,True,False
BG323,7.5678868355967746,BG,ACC,True,False
BG324,6.143179865486699,BG,ACC,True,False
BG325,5.078277519400513,BG,ACC,False,False
BG331,5.642706951597815,BG,ACC,True,False
BG332,8.354090578037786,BG,ACC,True,False
BG333,7.82613524965405,BG,ACC,True,False
BG334,10.314575089727054,BG,ACC,False,False
BG341,2.5073542251253005,BG,ACC,True,True
BG342,4.431975634118971,BG,ACC,True,True
BG343,10.261550661707863,BG,ACC,True,True
BG344,6.344285813688672,BG,ACC,True,True
BG411,6.2244333923763815,BG,ACC,True,True
BG412,7.4384615793560505,BG,ACC,True,True
BG413,3.4254649222576816,BG,ACC,True,True
BG414,1.9818123200156126,BG,ACC,True,True
BG415,2.360689207012261,BG,ACC,True,True
BG421,7.988192963046378,BG,ACC,True,False
BG422,5.6952374742875795,BG,ACC,True,False
BG423,6.329678594832337,BG,ACC,True,False
BG424,10.07937333955765,BG,ACC,False,False
BG425,11.499383433576298,BG,ACC,True,False
CY000,1.8032080523313112,CY,ACC,True,True
CZ010,2.9241257433516767,CZ,ACC,True,True
CZ020,5.9413770901848295,CZ,ACC,True,True
CZ031,2.932371365909387,CZ,ACC,True,True
CZ032,3.9469713632140087,CZ,ACC,True,True
CZ041,1.4141833517403692,CZ,ACC,True,True
CZ042,2.5571636679462655,CZ,ACC,True,True
CZ051,2.639474736516537,CZ,ACC,True,True
CZ052,5.1476731968616205,CZ,ACC,True,True
CZ053,4.137858490017227,CZ,ACC,True,True
CZ063,2.845550632603633,CZ,ACC,True,True
CZ064,4.267971163086935,CZ,ACC,True,True
CZ071,4.2470638040216,CZ,ACC,True,True
CZ072,4.857865604216207,CZ,ACC,True,True
CZ080,1.9589284471882478,CZ,ACC,True,True
DE111,3.084882250927658,DE,EU15,True,True
DE112,6.1185570359749955,DE,EU15,True,True
DE113,2.1731539230881607,DE,EU15,True,True
DE114,2.0412598247474483,DE,EU15,True,True
DE115,4.364336843441054,DE,EU15,True,True
DE116,2.2474212023587903,DE,EU15,True,True
DE117,-0.2524956469301731,DE,EU15,True,True
DE118,5.757265568024307,DE,EU15,True,True
DE119,4.4042962472017715,DE,EU15,True,True
DE11A,4.084861308619248,DE,EU15,True,True
DE11B,2.9419845952488237,DE,EU15,True,True
DE11C,1.5338306777747501,DE,EU15,True,True
DE11D,3.51606123662889,DE,EU15,True,True
DE121,3.5238485603762006,DE,EU15,True,True
DE122,1.538233729395934,DE,EU15,True,True
DE123,2.5784309375859977,DE,EU15,True,True
DE124,2.2396308205317794,DE,EU15,True,True
DE125,2.479079352965747,DE,EU15,True,True
DE126,1.075260219698837,DE,EU15,True,True
DE127,2.8273724459471077,DE,EU15,True,True
DE128,1.656821996927744,DE,EU15,True,True
DE129,2.6218247160779597,DE,EU15,True,True
DE12A,2.6945455416969084,DE,EU15,True,True
DE12B,1.7481601064281918,DE,EU15,True,True
DE12C,3.734635819357595,DE,EU15,True,True
DE131,1.5883976139096692,DE,EU15,True,True
DE132,4.089116360627162,DE,EU15,True,True
DE133,5.189785289447388,DE,EU15,True,True
DE134,2.65861162859981,DE,EU15,True,True
DE135,3.6938555256044454,DE,EU15,True,True
DE136,3.5927467972668277,DE,EU15,True,True
DE137,4.711843577727613,DE,EU15,True,True
DE138,2.097223582498962,DE,EU15,True,True
DE139,1.1222517845503115,DE,EU15,True,True
DE13A,2.093063305075584,DE,EU15,True,True
DE141,3.637823570931203,DE,EU15,True,True
DE142,3.7042706477419634,DE,EU15,True,True
DE143,2.6616863722776287,DE,EU15,True,True
DE144,1.401660451495904,DE,EU15,True,True
DE145,4.559767496238797,DE,EU15,True,True
DE146,4.513993881499623,DE,EU15,True,True
DE147,3.5402637202688454,DE,EU15,True,True
DE148,4.131944585240831,DE,EU15,True,True
DE149,3.5811002957376448,DE,EU15,True,True
DE211,7.319993883119099,DE,EU15,True,True
DE212,4.102078529713436,DE,EU15,True,True
DE213,-0.34631180620216134,DE,EU15,True,True
DE214,0.9830013492645039,DE,EU15,True,True
DE215,5.177672062751145,DE,EU15,True,True
DE216,2.3570127540938697,DE,EU15,True,True
DE217,1.623826549874138,DE,EU15,True,True
DE218,2.995081809301218,DE,EU15,True,True
DE219,4.206898131512408,DE,EU15,True,True
DE21A,3.7109998463015055,DE,EU15,True,True
DE21B,0.7332456101303857,DE,EU15,True,True
DE21C,5.390535415178383,DE,EU15,True,True
DE21D,3.604126948768765,DE,EU15,True,True
DE21E,6.3401705509772,DE,EU15,True,True
DE21F,7.693098964685431,DE,EU15,True,True
DE21G,3.347736343536502,DE,EU15,True,True
DE21H,3.6442431190473634,DE,EU15,True,True
DE21I,2.639668169080491,DE,EU15,True,True
DE21J,2.8531520666656354,DE,EU15,True,True
DE21K,4.662863013619445,DE,EU15,True,True
DE21L,5.074411137049622,DE,EU15,True,True
DE21M,6.18190140367714,DE,EU15,True,True
DE21N,4.517113568052286,DE,EU15,True,True
DE221,2.155523899923833,DE,EU15,True,True
DE222,1.8458268224678522,DE,EU15,True,True
DE223,4.388215057303085,DE,EU15,True,True
DE224,3.049629969745985,DE,EU15,True,True
DE225,4.3824287317710375,DE,EU15,True,True
DE226,3.4305760283321,DE,EU15,True,True
DE227,3.1467955321470447,DE,EU15,True,True
DE228,3.3539207594935734,DE,EU15,True,True
DE229,5.685413907426527,DE,EU15,True,True
DE22A,2.8068811940778753,DE,EU15,True,True
DE22B,6.275853497770071,DE,EU15,True,True
DE22C,3.097733242929593,DE,EU15,True,True
DE231,5.493873208451352,DE,EU15,True,True
DE232,2.6514263183752655,DE,EU15,True,True
DE233,1.885026939262348,DE,EU15,True,True
DE234,3.6931612500489868,DE,EU15,True,True
DE235,4.768363418515831,DE,EU15,True,True
DE236,6.929063799631572,DE,EU15,True,True
DE237,4.743107419508429,DE,EU15,True,True
DE238,2.732899256598266,DE,EU15,True,True
DE239,3.536185963490628,DE,EU15,True,True
DE23A,6.379945303054305,DE,EU15,True,True
DE241,2.156036327579087,DE,EU15,True,True
DE242,2.4398326763736335,DE,EU15,True,True
DE243,3.5981990074603103,DE,EU15,True,True
DE244,1.0249830557481727,DE,EU15,True,True
DE245,3.725846779781009,DE,EU15,True,True
DE246,3.9064414632307876,DE,EU15,True,True
DE247,2.7693102931100406,DE,EU15,True,True
DE248,8.798988111518723,DE,EU15,True,True
DE249,3.2930365654926814,DE,EU15,True,True
DE24A,1.6982043935239817,DE,EU15,True,True
DE24B,3.463964606560285,DE,EU15,True,True
DE24C,2.840566128715016,DE,EU15,True,True
DE24D,3.2820019503820346,DE,EU15,True,True
DE251,3.2814801001242793,DE,EU15,True,True
DE252,5.789981467508624,DE,EU15,True,True
DE253,3.063676312868959,DE,EU15,True,True
DE254,3.0831211107234857,DE,EU15,True,True
DE255,-0.4523605111899785,DE,EU15,True,True
DE256,4.031713171346693,DE,EU15,True,True
DE257,2.1413536301566234,DE,EU15,True,True
DE258,2.902242032189666,DE,EU15,True,True
DE259,3.0099416391088787,DE,EU15,True,True
DE25A,4.437293388452338,DE,EU15,True,True
DE25B,5.617810202699453,DE,EU15,True,True
DE25C,3.253298390056455,DE,EU15,True,True
DE261,4.654053761313832,DE,EU15,True,True
DE262,2.135640195876049,DE,EU15,True,True
DE263,2.3245842539728705,DE,EU15,True,True
DE264,2.684793121180646,DE,EU15,True,True
DE265,3.745525617604585,DE,EU15,True,True
DE266,4.487836992406713,DE,EU15,True,True
DE267,3.166722571246794,DE,EU15,True,True
DE268,4.536175983184419,DE,EU15,True,True
DE269,2.4113953318651786,DE,EU15,True,True
DE26A,3.372235625456797,DE,EU15,True,True
DE26B,-1.223882949795493,DE,EU15,True,True
DE26C,2.3240463394031514,DE,EU15,True,True
DE271,1.4257233225298624,DE,EU15,True,True
DE272,3.328825133015112,DE,EU15,True,True
DE273,3.385060908665619,DE,EU15,True,True
DE274,2.820202529250298,DE,EU15,True,True
DE275,2.958802860427096,DE,EU15,True,True
DE276,1.6925307447725326,DE,EU15,True,True
DE277,5.327578072029723,DE,EU15,True,True
DE278,2.151190015550965,DE,EU15,True,True
DE279,2.8904144362278967,DE,EU15,True,True
DE27A,4.486571395543733,DE,EU15,True,True
DE27B,5.053788120875576,DE,EU15,True,True
DE27C,6.363064553961349,DE,EU15,True,True
DE27D,4.76573788297605,DE,EU15,True,True
DE27E,6.030549587987061,DE,EU15,True,True
DE300,1.6752374945631563,DE,EU15,True,True
DE401,4.250123917792222,DE,EU15,True,True
DE402,0.09780422741153062,DE,EU15,True,True
DE403,3.13707213879482,DE,EU15,True,True
DE404,2.28874665269093,DE,EU15,False,True
DE405,4.731443802729724,DE,EU15,True,True
DE406,3.105688281404514,DE,EU15,True,True
DE407,3.9710879062803097,DE,EU15,True,True
DE408,2.76648909714223,DE,EU15,True,True
DE409,4.584380732716684,DE,EU15,True,True
DE40A,4.758521137766415,DE,EU15,True,True
DE40B,3.2720593643236393,DE,EU15,True,True
DE40C,0.5813915044595243,DE,EU15,True,True
DE40D,5.584320767467852,DE,EU15,True,True
DE40E,3.7815786928202186,DE,EU15,False,True
DE40F,3.7548173332908226,DE,EU15,True,True
DE40G,4.3281460521647706,DE,EU15,False,True
DE40H,4.543126065623072,DE,EU15,True,True
DE40I,-0.8370051764218075,DE,EU15,True,True
DE501,1.2596565233345736,DE,EU15,True,True
DE502,-0.5737035003836726,DE,EU15,True,True
DE600,2.8222592230542225,DE,EU15,True,True
DE711,3.433811146790378,DE,EU15,True,True
DE712,-0.17584152205192588,DE,EU15,True,True
DE713,-4.354793850094601,DE,EU15,True,True
DE714,2.0664954976074488,DE,EU15,True,True
DE715,-1.34533978994505,DE,EU15,True,True
DE716,3.7903430830846125,DE,EU15,True,True
DE717,3.508906284120902,DE,EU15,True,True
DE718,1.2394036706672764,DE,EU15,True,True
DE719,2.0579611246387155,DE,EU15,True,True
DE71A,0.7751839054481798,DE,EU15,True,True
DE71B,0.7742197144441195,DE,EU15,True,True
DE71C,0.7556617785605203,DE,EU15,True,True
DE71D,1.8314906947167309,DE,EU15,True,True
DE71E,2.2656992135213803,DE,EU15,True,True
DE721,2.7977559017259006,DE,EU15,True,True
DE722,1.2735355425426713,DE,EU15,True,True
DE723,3.4776414070265864,DE,EU15,True,True
DE724,3.5325031636866733,DE,EU15,True,True
DE725,2.7294519026078743,DE,EU15,True,True
DE731,1.2777543626345786,DE,EU15,True,True
DE732,2.5436722922590698,DE,EU15,True,True
DE733,2.251677530361875,DE,EU15,True,True
DE734,4.103492455387472,DE,EU15,True,True
DE735,2.779070728871767,DE,EU15,True,True
DE736,2.319758032013684,DE,EU15,True,True
DE737,1.105811243884666,DE,EU15,True,True
DE803,6.076707668337081,DE,EU15,True,False
DE804,0.48752181029554364,DE,EU15,True,False
DE80J,2.1499683339835003,DE,EU15,False,False
DE80K,3.9077744079295065,DE,EU15,False,False
DE80L,4.151418487586816,DE,EU15,False,False
DE80M,3.5590112053918914,DE,EU15,False,False
DE80N,3.1713576589972092,DE,EU15,False,False
DE80O,5.521894201755107,DE,EU15,False,False
DE911,4.464335757532124,DE,EU15,True,False
DE912,3.7954425937793843,DE,EU15,True,False
DE913,6.211053983156185,DE,EU15,True,False
DE914,0.5296243971900427,DE,EU15,True,False
DE916,0.3528184548158603,DE,EU15,True,False
DE917,-1.6493153221111698,DE,EU15,True,False
DE918,2.0055164281070175,DE,EU15,True,False
DE91A,1.347010718958622,DE,EU15,True,False
DE91B,4.329853763760015,DE,EU15,True,False
DE91C,1.6157377528172414,DE,EU15,False,False
DE922,2.9479412395681286,DE,EU15,True,True
DE923,3.607989407000512,DE,EU15,True,True
DE925,0.5530362428821053,DE,EU15,True,True
DE926,2.7695314783134313,DE,EU15,True,True
DE927,2.8971784874086026,DE,EU15,True,True
DE928,2.088938445090089,DE,EU15,True,True
DE929,1.7746342948405238,DE,EU15,True,True
DE931,4.088226319656897,DE,EU15,True,True
DE932,4.7676336513814075,DE,EU15,True,True
DE933,4.219196161754749,DE,EU15,True,True
DE934,3.141260680953747,DE,EU15,True,True
DE935,1.6641718400227086,DE,EU15,True,True
DE936,2.778037376584308,DE,EU15,True,True
DE937,4.412129679818864,DE,EU15,True,True
DE938,1.8862628313636989,DE,EU15,True,True
DE939,2.358400379127382,DE,EU15,True,True
DE93A,3.882227168111171,DE,EU15,True,True
DE93B,3.938796441912919,DE,EU15,True,True
DE941,0.07163427678897248,DE,EU15,True,True
DE942,5.455449591488153,DE,EU15,True,True
DE943,1.1613828212130655,DE,EU15,True,True
DE944,0.8938368299126103,DE,EU15,True,True
DE945,0.07014366140058062,DE,EU15,True,True
DE946,4.559100400034355,DE,EU15,True,True
DE947,4.254484086304292,DE,EU15,True,True
DE948,3.9848554781514673,DE,EU15,True,True
DE949,3.811131590245718,DE,EU15,True,True
DE94A,2.916993488178665,DE,EU15,True,True
DE94B,3.9634576585892694,DE,EU15,True,True
DE94C,3.947506854146367,DE,EU15,True,True
DE94D,3.9164991688430013,DE,EU15,True,True
DE94E,2.3876801427058436,DE,EU15,True,True
DE94F,3.837196113415071,DE,EU15,True,True
DE94G,0.5572299337851939,DE,EU15,True,True
DE94H,5.112771585781856,DE,EU15,True,True
DEA11,1.5856709827101285,DE,EU15,True,True
DEA12,-1.1985234139113692,DE,EU15,True,True
DEA13,1.9548608989196303,DE,EU15,True,True
DEA14,-0.40290866813528226,DE,EU15,True,True
DEA15,0.6102453819514115,DE,EU15,True,True
DEA16,1.1337620392873036,DE,EU15,True,True
DEA17,-0.9269288243525052,DE,EU15,True,True
DEA18,1.4469934700526694,DE,EU15,True,True
DEA19,-0.4018392420700615,DE,EU15,True,True
DEA1A,0.19707310767737493,DE,EU15,True,True
DEA1B,3.846781372244561,DE,EU15,True,True
DEA1C,0.5513554546102536,DE,EU15,True,True
DEA1D,1.426258651852473,DE,EU15,True,True
DEA1E,0.08685688958000196,DE,EU15,True,True
DEA1F,1.9324854378056486,DE,EU15,True,True
DEA22,1.7991487014572094,DE,EU15,True,True
DEA23,1.538348730670044,DE,EU15,True,True
DEA24,-0.47790694220929886,DE,EU15,True,True
DEA26,1.2177086403514827,DE,EU15,True,True
DEA27,1.6205080065079258,DE,EU15,True,True
DEA28,0.5599991805152297,DE,EU15,True,True
DEA29,2.9023886367493517,DE,EU15,True,True
DEA2A,2.362558014564994,DE,EU15,True,True
DEA2B,3.3885827538484383,DE,EU15,True,True
DEA2C,1.9399198744830695,DE,EU15,True,True
DEA2D,2.540557784583594,DE,EU15,True,True
DEA31,4.660449332125787,DE,EU15,True,True
DEA32,-0.383956144844731,DE,EU15,True,True
DEA33,0.7750431956010662,DE,EU15,True,True
DEA34,3.4340221103091015,DE,EU15,True,True
DEA35,2.8442067288459962,DE,EU15,True,True
DEA36,1.0950456223912346,DE,EU15,True,True
DEA37,3.0825751618230046,DE,EU15,True,True
DEA38,2.2655560745877095,DE,EU15,True,True
DEA41,1.8876228414234244,DE,EU15,True,True
DEA42,3.9705144997935093,DE,EU15,True,True
DEA43,1.2709136357724495,DE,EU15,True,True
DEA44,1.7033814624682897,DE,EU15,True,True
DEA45,2.2807244530690034,DE,EU15,True,True
DEA46,2.1004757097775415,DE,EU15,True,True
DEA47,2.333880836519324,DE,EU15,True,True
DEA51,-1.0591002501716786,DE,EU15,True,True
DEA52,0.5106567414153051,DE,EU15,True,True
DEA53,-0.36922247845945855,DE,EU15,True,True
DEA54,1.903001893006806,DE,EU15,True,True
DEA55,3.7764087147579,DE,EU15,True,True
DEA56,1.303618211554942,DE,EU15,True,True
DEA57,2.5809645046586307,DE,EU15,True,True
DEA58,1.9573694869075833,DE,EU15,True,True
DEA59,2.5972170979278237,DE,EU15,True,True
DEA5A,1.7722869209236223,DE,EU15,True,True
DEA5B,2.799419806775795,DE,EU15,True,True
DEA5C,0.8359979368112137,DE,EU15,True,True
DEB11,-0.3906258982581726,DE,EU15,True,False
DEB12,3.6270964193905058,DE,EU15,True,False
DEB13,2.881547507956255,DE,EU15,True,False
DEB14,1.1402358637435153,DE,EU15,True,False
DEB15,1.422042735301478,DE,EU15,True,False
DEB17,2.4382099523129925,DE,EU15,True,False
DEB18,2.7567897899367644,DE,EU15,True,False
DEB1A,1.4138773628499848,DE,EU15,True,False
DEB1B,2.0952618039397235,DE,EU15,True,False
DEB1C,0.1124775931310662,DE,EU15,False,False
DEB1D,3.7126986442881815,DE,EU15,False,False
DEB21,-0.004396369120307497,DE,EU15,True,True
DEB22,2.788538637574441,DE,EU15,True,True
DEB23,4.385813706045421,DE,EU15,True,True
DEB24,1.7430224329807928,DE,EU15,True,True
DEB25,3.1522326853540377,DE,EU15,True,True
DEB31,-0.06556529458839096,DE,EU15,True,True
DEB32,2.2850655537810423,DE,EU15,True,True
DEB33,2.2851346300660134,DE,EU15,True,True
DEB34,1.646309226681643,DE,EU15,True,True
DEB35,2.508822453348124,DE,EU15,True,True
DEB36,1.20729729256769,DE,EU15,True,True
DEB37,-0.8604799510824839,DE,EU15,True,True
DEB38,4.204818807097256,DE,EU15,True,True
DEB39,3.257405755977987,DE,EU15,True,True
DEB3A,4.837868965485243,DE,EU15,True,True
DEB3B,4.563748078267059,DE,EU15,True,True
DEB3C,-1.1686279051173492,DE,EU15,True,True
DEB3D,2.534477083280739,DE,EU15,True,True
DEB3E,2.729800085545994,DE,EU15,True,True
DEB3F,1.1749162896298617,DE,EU15,True,True
DEB3G,-0.08117801543162503,DE,EU15,True,True
DEB3H,4.543919800035117,DE,EU15,True,True
DEB3I,2.8101071359750356,DE,EU15,True,True
DEB3J,1.975966663086805,DE,EU15,True,True
DEB3K,0.3953063209067028,DE,EU15,True,True
DEC01,0.4203620134459994,DE,EU15,True,True
DEC02,0.548597681697086,DE,EU15,True,True
DEC03,0.36055928510537577,DE,EU15,True,True
DEC04,0.32211744369486134,DE,EU15,True,True
DEC05,0.44999318264071775,DE,EU15,True,True
DEC06,2.916442640498491,DE,EU15,True,True
DED21,-0.15150500855689586,DE,EU15,True,True
DED2C,3.6509266584100692,DE,EU15,True,True
DED2D,4.757503477002161,DE,EU15,True,True
DED2E,2.9703616614044046,DE,EU15,True,True
DED2F,5.10455961940671,DE,EU15,True,True
DED41,3.210492663305464,DE,EU15,True,True
DED42,2.9467419664886116,DE,EU15,True,True
DED43,2.322973952476819,DE,EU15,True,True
DED44,2.0560243147804944,DE,EU15,True,True
DED45,4.537376528081933,DE,EU15,True,True
DED51,7.116334655598194,DE,EU15,True,True
DED52,3.065246187276007,DE,EU15,True,True
DED53,3.0137153144646596,DE,EU15,True,True
DEE01,3.441668362004759,DE,EU15,True,True
DEE02,1.6745382711418408,DE,EU15,True,True
DEE03,2.721183399917835,DE,EU15,True,True
DEE04,1.1078590771870203,DE,EU15,True,True
DEE05,4.197102614055526,DE,EU15,True,True
DEE06,3.616539171001446,DE,EU15,True,True
DEE07,3.3607055890548767,DE,EU15,True,True
DEE08,3.862341517924899,DE,EU15,True,True
DEE09,1.2078020948176782,DE,EU15,True,True
DEE0A,4.412890493257,DE,EU15,True,True
DEE0B,1.2524355816867188,DE,EU15,True,True
DEE0C,3.5243486277924,DE,EU15,True,True
DEE0D,5.627541455242196,DE,EU15,True,True
DEE0E,2.0362721386967233,DE,EU15,True,True
DEF01,0.6397891127909386,DE,EU15,True,True
DEF02,2.7039027917856666,DE,EU15,True,True
DEF03,3.5424205421712047,DE,EU15,True,True
DEF04,2.1473474069854275,DE,EU15,True,True
DEF05,5.530650649239652,DE,EU15,True,True
DEF06,-0.524706844265805,DE,EU15,True,True
DEF07,4.156708310425396,DE,EU15,True,True
DEF08,2.339464702116218,DE,EU15,True,True
DEF09,1.527675096553465,DE,EU15,True,True
DEF0A,3.7903968547358273,DE,EU15,True,True
DEF0B,2.765435127916221,DE,EU15,True,True
DEF0C,6.263452334295236,DE,EU15,True,True
DEF0D,2.991231231172569,DE,EU15,True,True
DEF0E,2.8373846958039457,DE,EU15,True,True
DEF0F,1.2843548476028563,DE,EU15,True,True
DEG01,2.120352941518882,DE,EU15,True,False
DEG02,4.9604392875729895,DE,EU15,True,False
DEG03,3.456542013118564,DE,EU15,True,False
DEG05,3.5109586141867384,DE,EU15,True,False
DEG06,3.5258637037467646,DE,EU15,True,False
DEG07,5.118431394321269,DE,EU15,True,False
DEG09,4.306242759766832,DE,EU15,False,False
DEG0A,5.344695164469668,DE,EU15,True,False
DEG0C,2.6415361975578926,DE,EU15,True,False
DEG0D,0.7663066866433889,DE,EU15,True,False
DEG0E,2.840506598513188,DE,EU15,True,False
DEG0G,1.91956800278797,DE,EU15,True,False
DEG0J,3.1889135362772665,DE,EU15,True,False
DEG0K,3.028831662685905,DE,EU15,True,False
DEG0L,3.3156182387522892,DE,EU15,True,False
DEG0M,3.871162400973408,DE,EU15,True,False
DEG0Q,2.462530082643864,DE,EU15,False,False
DEG0R,1.8118422788881665,DE,EU15,False,False
DEG0S,2.0827329551487646,DE,EU15,False,False
DEG0T,5.2679080167142684,DE,EU15,False,False
DEG0U,3.4191653484191065,DE,EU15,False,False
DEG0V,2.763191758097726,DE,EU15,False,False
DK011,0.7140314135794539,DK,EU15,True,True
DK012,6.241612979380166,DK,EU15,True,True
DK013,2.9794093860937947,DK,EU15,True,True
DK014,2.2135672086049434,DK,EU15,True,True
DK021,1.7158193643181465,DK,EU15,True,True
DK022,3.846236350464251,DK,EU15,True,True
DK031,1.2286753301985063,DK,EU15,True,True
DK032,2.807550620064297,DK,EU15,True,True
DK041,2.737052618660561,DK,EU15,True,True
DK042,1.779130008099664,DK,EU15,True,True
DK050,2.154140725234629,DK,EU15,True,True
DKZZZ,-7.571587678492455,DK,EU15,False,False
