unit,S_dig_core_d10,S99_dig_core_d10,S_dig_core_d15,S99_dig_core_d15,S_dig_core_d20,S99_dig_core_d20,S_dig_core_cum,S99_dig_core_cum,SP_dig_core_d15,S_dig_broad_d10,S99_dig_broad_d10,S_dig_broad_d15,S99_dig_broad_d15,S_dig_broad_d20,S99_dig_broad_d20,S_dig_broad_cum,S99_dig_broad_cum,SP_dig_broad_d15,S_nondig_d10,S99_nondig_d10,S_nondig_d15,S99_nondig_d15,S_nondig_d20,S99_nondig_d20,S_nondig_cum,S99_nondig_cum,SP_nondig_d15,S_nondig_broad_d10,S99_nondig_broad_d10,S_nondig_broad_d15,S99_nondig_broad_d15,S_nondig_broad_d20,S99_nondig_broad_d20,S_nondig_broad_cum,S99_nondig_broad_cum,SP_nondig_broad_d15,S_total_d10,S99_total_d10,S_total_d15,S99_total_d15,S_total_d20,S99_total_d20,S_total_cum,S99_total_cum,SP_total_d15,S_mech_chem_d10,S99_mech_chem_d10,S_mech_chem_d15,S99_mech_chem_d15,S_mech_chem_d20,S99_mech_chem_d20,S_mech_chem_cum,S99_mech_chem_cum,SP_mech_chem_d15,country,group,pop04,emp04,gva_tot04_eur,gva_ind04_eur,ln_gvapc04,ind_share04,ln_pop04,ln_gvapc00,ind_share00,g_ind,defl,g_ind_real,g_ind_smooth,g_man,g_tot,g_ind_0512,g_ind_1219,g_ind_0004,g_ind_0004_real,g_tot_0004
AT11,4.2248899596517,3.7590220996997403,3.34639206948542,3.422379593405073,2.70342745766569,3.1659773488332803,7.29,4.88,2.9721978275781247,11.109985509480028,5.2749267717997395,9.434937128186704,4.890754498655463,8.114839677479578,4.59245507043328,16.220000000000002,6.51,12.978702863117189,114.73732190719124,69.93308761738766,91.84967449745893,55.659282443139446,76.67815238087245,46.32624627951794,221.41000000000003,133.25000000000003,103.00318332217967,107.85222635736294,68.41718294528766,85.76112943875766,54.19090753788905,71.26674016105856,44.89976855791794,212.48,131.62,92.9966782866406,118.96221186684294,73.6921097170874,95.19606656694437,59.08166203654453,79.38157983853813,49.49222362835121,228.7,138.13,105.9753811497578,68.62309329130234,42.07227267405432,54.279573320307115,32.57989869753276,44.9360620705633,26.349212861826487,136.70999999999998,83.54,59.661014094960926,AT,EU15,277.4,104.1,4928.0,1068.0,9.784983276314762,0.21672077922077923,5.625460507880731,9.669510448135664,0.2391304347826087,2.7465479367453836,0.7370966630735738,2.00945127367181,2.560154602660764,2.6574070738821183,3.4954708783554063,3.0146715174032606,2.478424356087507,0.5442713780307251,0.08425154915161281,3.004255428093039
AT12,101.83609619357713,53.02300495110351,82.37680988658019,44.375483754389776,68.0941639157048,38.00137913728267,171.98,83.15,76.07454798435937,187.30263032032283,118.73857528547956,148.79610945562567,99.10466086232779,121.42586440753773,84.55505495464394,333.83,187.73000000000002,121.88646954949999,1291.2552614350052,976.141698309887,990.77196297647,761.1685145227334,800.2640916881561,619.1257680912963,2742.64,1883.48,1055.0866557675936,1205.7887273082595,910.4261279755109,924.3526634074246,706.4393374147955,746.9323911963231,572.5720922739351,2580.7900000000004,1778.9,1009.2747342024531,1393.0913576285827,1029.1647032609906,1073.1487728630505,805.5439982771234,868.3582556038609,657.1271472285791,2914.62,1966.63,1131.161203751953,663.6314468720321,529.893540740795,502.81329814057756,408.4287150395064,403.28461769550086,329.5123831039452,1474.13,1055.48,535.0056058374219,AT,EU15,1562.8,632.9,33669.0,9140.0,9.977853727485588,0.2714663340164543,7.3542343631809155,9.87895674704684,0.29694323144104806,2.435914665407665,0.7370966630735738,1.698818002334091,2.2621050645806524,2.580969642073023,3.42172979409568,2.2015024056071604,2.6703269252081694,0.6427659017734122,0.1827460728942999,2.8853371232243408
AT13,351.7480326783395,140.97543002987254,300.0567565469795,115.98492154515172,262.45151530707096,98.27654817831707,549.1500000000001,235.68,225.4840698721562,456.1281931792427,208.22946396931815,383.26047543716476,167.24814259388614,332.65182207302763,139.7059023224719,765.69,377.89,310.3402688363124,1511.677267679279,1150.1103857462094,1142.4774021102216,857.7039135298194,919.442480974388,675.8036650829707,3507.3399999999992,2511.14,1087.7011674329453,1407.2971071783763,1082.8563518067638,1059.273683220036,806.4406924810851,849.2421742084314,634.3743109388159,3290.7999999999997,2368.93,1002.8449684687891,1863.4253003576187,1291.085815776082,1442.5341586572008,973.688835074971,1181.8939962814588,774.0802132612879,4056.49,2746.82,1313.1852373051015,659.7416292818402,522.2973450555306,493.5952584690225,387.7310962307274,394.4571344729652,304.68314963673447,1580.33,1160.02,430.84743540914053,AT,EU15,1620.29,865.5,56047.0,7033.0,10.451340757859084,0.12548396881189003,7.390360424551311,10.387731519843154,0.1329493545183714,0.599495218131033,0.7370966630735738,-0.13760144494254078,1.0986240770614257,1.0148750972412428,2.879853919798516,0.7255658439925229,0.473424592269543,1.235043863418639,0.7750240345395266,2.6798001320387232
AT21,68.77389989423776,52.90753932198301,52.737213482147155,44.035702005815295,41.76686571557455,38.03501500114305,136.34000000000003,88.68,20.583260766625,134.60043859210987,96.9973184848344,105.06999373825818,81.47118728324486,84.5203904568797,70.64220720483304,253.45999999999998,156.47,48.72207166370312,371.8604352370527,280.1630107826595,286.5353807340816,223.08687462826273,231.0711216833035,184.8782277932845,765.6000000000001,515.3600000000001,301.2903599608593,306.03389653918055,236.07323161980815,234.2026004779706,185.6513893508332,188.3175969419983,152.27103558959448,648.48,447.57000000000005,273.15154906378126,440.63433513129036,333.0705501046425,339.27259421622875,267.12257663407803,272.83798739887806,222.91324279442756,901.9399999999999,604.04,321.8736207274843,160.528589089717,127.96431453490665,120.54378183718461,96.6322324565014,96.05960438647926,76.4618786208473,364.79999999999995,263.13,163.72103093652345,AT,EU15,558.4,243.5,12562.0,3319.0,10.0211113905483,0.26420952077694637,6.325075551448163,9.90017969560192,0.25226112653353633,3.150029049804662,0.7370966630735738,2.4129323867310886,2.951582383694119,3.490961899655711,2.877023655437938,2.352463176123974,3.9475949234853505,4.099776096090024,3.639756267210912,2.942834589213339
AT22,75.14640842001909,26.926178970040247,63.08935811028378,22.66281756043609,53.9111653897731,19.811710784219652,118.22,44.57,67.930781635375,195.04876150539238,88.73150350622768,161.25219779872032,70.82591539563848,137.6273016603535,59.06080828965299,337.6900000000001,165.14000000000004,246.19535209516405,1299.8013567621776,963.5170396825989,987.4903748576592,723.5562240031986,796.463426508854,574.0700271876646,2962.7599999999998,2081.95,1172.3226725945624,1179.8990036768043,901.7117151464113,889.3275351692226,675.3931261679963,712.7472902382735,534.8209296822312,2743.29,1961.3799999999999,994.0581021347734,1374.9477651821971,990.4432186526393,1050.579732967943,746.219041563635,850.3745918986272,593.8817379718843,3080.9800000000005,2126.52,1240.2534542299375,721.9642019833288,553.908670736725,541.1003259737436,411.3345829305202,432.05164872718615,323.8677756566958,1717.1299999999999,1237.47,572.8060834051172,AT,EU15,1194.4,545.5,27940.0,8308.0,10.060170665568108,0.29735146743020757,7.085399246224981,9.937073419172659,0.2981115107913669,3.046313612388258,0.7370966630735738,2.309216949314684,2.749061345200601,3.1989569017641655,3.2541978725870027,3.1446411203635702,2.9479861044129456,3.2575980502942414,2.797578221415129,3.321417616052713
AT31,33.56237735811183,16.443589828975647,27.815712760088026,13.625579500105776,23.75170821290547,11.827381020829682,57.72,29.08,46.25223849307031,90.17190132046892,45.40268306062576,73.81885949311241,36.258295150821354,62.602995737709435,30.40386882845898,162.26,85.85000000000001,152.28350947625782,1866.7689398071311,1358.125146585261,1437.9292043196583,1058.8357288254426,1164.190465159345,863.4527379130399,3970.169999999999,2679.1099999999997,1750.892651782617,1810.159415844774,1329.166053353611,1391.926057586634,1036.203013174727,1125.339177634541,844.8762501054105,3865.63,2622.34,1644.8613807994295,1900.331317165243,1374.568736414237,1465.7449170797458,1072.4613083255483,1187.9421733722506,875.2801189338695,4027.89,2708.19,1797.1448902756874,1231.8121036850346,911.2948495064009,944.6843115268542,709.9483435908926,761.8037106332049,578.7101520788724,2649.5099999999993,1805.9199999999998,1134.6149722623827,AT,EU15,1391.2,655.0,35878.0,11847.0,10.1577128892011,0.3302023524165227,7.2379219630400735,10.032227482959366,0.33646357488542034,3.1129055525792686,0.7370966630735738,2.375808889505695,3.129502640011499,3.302353995445146,3.410569677296874,3.2630114027683583,2.9627997023901793,3.0222477035628525,2.56222787468374,3.4918537173260766
AT32,36.90457459047723,10.56502835014518,32.049443029082724,9.130903670626495,28.23700208751822,8.204181175287516,53.93,17.189999999999998,32.78017995405469,48.40651156363272,15.380401977396264,41.83253640992975,12.926096720849507,36.85564040484603,11.339088149554534,73.41999999999999,26.73,49.239473736593744,480.22304626488665,340.6963560176915,370.39934030779006,263.5595753550733,300.7801858767766,214.34358482903005,1033.1399999999999,693.9399999999999,431.0696567357422,468.7211092917312,335.8809823904405,360.61624692694306,259.7643823048503,292.16154755944876,211.20867785476304,1013.6500000000002,684.4000000000001,414.6103629532031,517.127620855364,351.26138436783674,402.44878333687285,272.6904790256998,329.0171879642948,222.54776600431762,1087.0700000000002,711.1300000000001,463.8498366897968,229.47368110855533,175.45634491448678,174.36516185161466,135.95907836153003,139.8682233669789,110.97704884942277,514.11,360.22,200.99968977379686,AT,EU15,520.7,273.20000000000005,15372.0,3436.0,10.292884170498018,0.2235232890970596,6.255174060168853,10.164098968176205,0.2315939421202579,2.89687084439439,0.7370966630735738,2.1597741813208158,2.533892536534857,3.255441566212314,3.39530750625909,2.957716339251856,2.836025349536924,2.661514754639116,2.2014949257600036,3.548264212312091
AT33,24.03022237169165,15.084191724993904,19.3250877040759,12.286235200476447,16.076099241946693,10.254795049886143,43.05,25.13,36.893068482968744,61.725449947839394,33.968946041151206,49.87253604258382,26.531226691327532,41.93016993641676,21.46160258916247,112.76,62.74,75.35592071792186,680.5696026201407,469.8068106490214,528.0637901295202,364.25682629621446,430.2857818016394,295.75206848644825,1424.3300000000002,935.61,638.9303671708906,642.8743750439929,450.922056332864,497.5163417910121,350.01183480536343,404.43171110716935,284.545260947172,1354.6200000000001,898.0,600.4675149359374,704.5998249918322,484.8910023740151,547.388877833596,376.543061496691,446.3618810435861,306.00686353633444,1467.3799999999999,960.74,675.8234356538592,357.67397675512245,270.4111699692161,272.5602874082331,207.25721442817547,219.348354083687,166.227643077658,786.3300000000002,547.9300000000001,316.94543227450777,AT,EU15,685.5,341.0,18086.0,4029.0,10.180500217280194,0.22276899259095434,6.530148499002369,10.073850913928421,0.22680607167600933,2.6893689745061597,0.7370966630735738,1.952272311432586,2.779554930039747,2.85924262330581,3.4613391969439484,2.7553854313303057,2.6233525176820143,2.8076655385617766,2.347645709682664,3.2566659305728773
AT34,17.02209692116694,13.698118378240007,13.527897157145926,11.665898680548088,11.159075220711351,10.15464850070602,31.220000000000006,20.910000000000004,22.767276055156245,70.7855767505504,37.852798100815235,58.29092603013707,32.20559513841086,49.2670014732456,28.136454691301264,117.67999999999999,58.760000000000005,107.63006780544532,882.5740006051446,567.8069562653807,702.0926563959733,462.8239338659564,579.1836955599913,389.4421373290747,1635.1300000000003,968.6200000000001,1038.5481712735077,828.8105207757612,543.6522765428052,657.3296275229824,442.2842374080937,541.075769307457,371.4603311384795,1548.67,930.7700000000001,953.6853795232187,899.5960975263115,581.5050746436204,715.6205535531194,474.4898325465045,590.3427707807026,399.59678582978074,1666.35,989.5300000000001,1061.315447328664,412.8419765246708,286.75824742954296,324.91713001275787,235.48419470469577,265.1764519670134,199.253137106364,777.11,478.89,466.01277466928116,AT,EU15,358.6,165.4,9669.0,3155.0,10.202227888294653,0.3263005481435516,5.8822075611710325,10.106095313495645,0.33793103448275863,3.4317895140602874,0.7370966630735738,2.694692850986714,3.422479639145647,3.7326149293803477,3.5513265316638027,3.8746902738976883,2.9888887542228866,2.184650823974188,1.7246309950950756,3.060224603931383
BE10,114.95119193150737,70.92206122289517,93.93067684525153,60.31503391172838,79.06173190709512,52.39156465788301,193.57999999999998,106.59,93.23774264252341,142.6472156332308,85.51371171947163,116.5831803825316,71.92355457211612,98.34886219946262,62.15990661457097,246.53000000000003,136.77,120.43399373852341,765.9631711284242,610.7869957635592,577.4404762019777,475.85374882564133,458.8963038150174,388.8062006073527,1722.0600000000002,1224.72,504.55130261914843,738.2671474267007,596.1953452669827,554.7879726646976,464.2452281652537,439.60917352264994,379.0378586506647,1669.11,1194.54,477.3550515231484,880.9143630599314,681.7090569864544,671.3711530472292,536.1687827373697,537.9580357221125,441.19776526523566,1915.6399999999999,1331.31,597.7890452616718,470.3355756597443,392.18177726929207,350.2429124429616,303.73384940700174,275.48193852840467,246.6346756848286,1088.15,794.55,314.04598552771876,BE,EU15,1003.3,653.1,51412.4,5043.0,10.844340100535085,0.09808917693007912,6.911049845931567,,,-1.6504150442864558,1.2119919663583012,-2.862407010644757,-2.322221378153358,-2.576043492428244,2.760564127899201,-3.3554347672317113,0.054604678658799956,,,
