country_code,cum_d_log_emissions,mean_digital_multi
AT,-0.04005291038926018,0.5866666666666667
BE,-0.09504893924243873,0.63
BG,-1.1937026444295817,0.2833333333333333
CY,0.0013213489561749725,0.32666666666666666
CZ,-0.35424978928445583,0.57
DE,-0.29472014918281886,0.49
DK,-0.4940240610805393,0.63
EE,-0.7123470060368469,0.39333333333333337
EL,-0.20383149481610374,0.34
ES,-0.20467189998120006,0.6033333333333334
FI,-0.47144052772553735,0.58
FR,-0.48373338703013147,0.2833333333333333
HR,-0.11742078849688653,0.3133333333333333
HU,-0.341027092606339,0.3
IE,-0.3194095558790302,0.4666666666666666
IT,-0.29798670585259757,0.4366666666666667
LT,-0.09385110707079569,0.38000000000000006
LU,-0.5291063011281558,0.34
LV,-0.018335430440139078,0.4466666666666666
MT,-0.10257313021174852,0.5633333333333334
NL,-0.10237777200765308,0.5933333333333334
PL,-0.48026750727652967,0.3833333333333333
PT,-0.3512098468039433,0.37999999999999995
RO,-0.28857217931359713,0.3833333333333333
SE,-0.08735004662305101,0.6066666666666666
SI,-0.2807035157056408,0.54
SK,-0.17560321089923647,0.4166666666666667
