model,target,n,G_clusters,coef,se_cluster,t_stat,ci_lo,ci_hi,p_naive_z,p_t_Gminus1,p_wild_bootstrap,dropped_state_fips
C1 drop 01,tech_emp_share,14642,52,-0.07589463545004053,0.1320215504287693,-0.5748655064537255,-0.3409389574227715,0.18914968652269043,0.5653822598302911,0.5679097129947666,,01
C1 drop 02,tech_emp_share,14949,52,-0.058375825521399485,0.13341000019761567,-0.43756708968540114,-0.3262075767159652,0.20945592567316623,0.66170013243749,0.6635476436715819,,02
C1 drop 04,tech_emp_share,14922,52,-0.06041293792181715,0.13353905844324734,-0.45239901064220844,-0.32850378435573846,0.20767790851210413,0.6509815595739394,0.6529000859693208,,04
C1 drop 05,tech_emp_share,14754,52,-0.05228715166717653,0.13429095698586993,-0.38935720498795895,-0.321887497412191,0.21731319407783797,0.6970119247013717,0.6986330299675338,,05
C1 drop 06,tech_emp_share,14675,52,-0.048786675001563064,0.15630732013170281,-0.31212021906879317,-0.36258671407953136,0.2650133640764052,0.7549491609768646,0.7562217155611761,,06
C1 drop 08,tech_emp_share,14795,52,0.014905980890211726,0.1279804062308236,0.11647080462713578,-0.2420254055772174,0.27183736735764086,0.9072794231305223,0.90773686047534,,08
C1 drop 09,tech_emp_share,14963,52,-0.0555263983839626,0.1337613279331,-0.4151154839890183,-0.32406346943834846,0.21301067267042323,0.6780573648749497,0.6797985902050592,,09
C1 drop 10,tech_emp_share,15012,52,-0.05841110194970647,0.13317646288366503,-0.43859928913062446,-0.32577400742302165,0.20895180352360873,0.6609519122078404,0.6628043451048666,,10
C1 drop 11,tech_emp_share,15021,52,-0.05646589614161149,0.1333654333394873,-0.42339228934888384,-0.32420817563510473,0.21127638335188173,0.6720090696472496,0.6737893062972224,,11
C1 drop 12,tech_emp_share,14608,52,-0.043121032041684916,0.1360216882852364,-0.3170158567011788,-0.31619596585408516,0.2299539017707153,0.7512315704455899,0.7525257093164914,,12
C1 drop 13,tech_emp_share,14541,52,-0.04018026697618939,0.13927072938837448,-0.2885047500838565,-0.3197779229763387,0.23941738902395995,0.7729603949836108,0.7741297629455124,,13
C1 drop 15,tech_emp_share,14994,52,-0.056807595448249995,0.13340400870530109,-0.4258312474982817,-0.32462731822008495,0.21101212732358499,0.6702308159257557,0.672022586389962,,15
C1 drop 16,tech_emp_share,14882,52,-0.06248523687080505,0.13297048997219,-0.4699180764384149,-0.3294346344699183,0.2044641607283082,0.6384135490337508,0.6404167636497391,,16
C1 drop 17,tech_emp_share,14448,52,-0.0442402703427658,0.1365091648142844,-0.3240827852324276,-0.3182938541232927,0.22981331343776112,0.7458753595891388,0.7472007745799454,,17
C1 drop 18,tech_emp_share,14490,52,-0.08382214943980312,0.13160011383464218,-0.6369458733533248,-0.3480204021459473,0.18037610326634104,0.5241601007356451,0.5270090080806227,,18
C1 drop 19,tech_emp_share,14481,52,-0.06303692225576461,0.1344267344363202,-0.4689314407591005,-0.33290985260667794,0.20683600809514868,0.6391186420032842,0.6411170642223332,,19
C1 drop 20,tech_emp_share,14709,52,-0.05240210223685498,0.13558292752994616,-0.38649484261417016,-0.32459618707788307,0.2197919826041731,0.6991302214516222,0.7007380990900813,,20
C1 drop 21,tech_emp_share,14593,52,-0.06418614923994773,0.13370543880252805,-0.4800563822594038,-0.3326110181828602,0.20423871970296478,0.6311873021204715,0.6332399182458204,,21
C1 drop 22,tech_emp_share,14637,52,-0.05264234552686894,0.1345730169135072,-0.39118054075211256,-0.32280895020486444,0.21752425915112658,0.6956637908628431,0.6972933347615045,,22
C1 drop 23,tech_emp_share,14922,52,-0.05936579254976703,0.13327659624124014,-0.4454329884168914,-0.32692972412661725,0.20819813902708317,0.6560068769335354,0.6578919713457396,,23
C1 drop 24,tech_emp_share,14854,52,-0.04131550399015184,0.13699317406336523,-0.3015880482559054,-0.3163407768838162,0.23370976890351253,0.7629661201211699,0.7641924658030999,,24
C1 drop 25,tech_emp_share,14922,52,-0.07357119599716753,0.1324905556072103,-0.5552938898926597,-0.3395570851543307,0.1924146931599956,0.5786936574591137,0.5811213240600985,,25
