model,target,n,G_clusters,coef,se_cluster,t_stat,ci_lo,ci_hi,p_naive_z,p_t_Gminus1,p_wild_bootstrap
S1 bare (+ year FE),tech_emp_share,477,53,-0.09170127250146322,0.17451563833717573,-0.5254616341275405,-0.4418925206040579,0.2584899756011315,0.5992623172395817,0.6014959133692319,0.6123061530765382
S1w winsorized outcome (1/99),tech_emp_share,477,53,-0.24477917240231925,0.1850891259496714,-1.32249353464924,-0.6161876756408877,0.1266293308362492,0.18600386086629017,0.1917911607020586,0.2321160580290145
S2 + log(n_facilities) control,tech_emp_share,477,53,-0.09225166945176724,0.1751257501854271,-0.5267738716555909,-0.4436671965453858,0.25916385764185135,0.5983506294036198,0.6005906709027782,0.5957978989494748
S7 differenced regressor,tech_emp_share_diff,424,53,-4.043551610452031,2.924242256054481,-1.3827690240369388,-9.911472990790138,1.8243697698860757,0.16673569977921376,0.17264530118585975,0.12506253126563283
S5 excl. PR+VI+DC,tech_emp_share,450,50,-0.1645367039861411,0.2201655507396022,-0.7473317393816284,-0.6069759428213667,0.27790253484908456,0.45486333820588687,0.4584347665170381,0.46023011505752875
S6 + state FE (within-state only),tech_emp_share,477,53,0.7350997747671766,1.4587905695434238,0.5039104242339941,-2.1921776608612547,3.662377210395608,0.6143243249230776,0.6164526792412781,0.5917958979489745
S3 REAL: lagged tech share,tech_lag,371,53,0.1392648877150488,0.349026656694736,0.39900931646275944,-0.5611083378228057,0.8396381132529034,0.6898863395856312,0.6915202822899378,0.8914457228614308
S4 PLACEBO: lead tech share,tech_lead,371,53,-0.010520684609180122,0.27575800400856126,-0.03815187394833875,-0.5638696023231476,0.5428282331047874,0.9695665919596881,0.9697126875041593,0.9784892446223111
C1 bare (+ year FE + state FE),tech_emp_share,15030,53,-0.056444484352654783,0.13333324779401196,-0.4233339042326225,-0.32399722004700726,0.21110825134169767,0.6720516610104177,0.6737974909072935,0.6928464232116058
C1w winsorized outcome (1/99),tech_emp_share,15030,53,-0.10505317379068572,0.08708561474703823,-1.2063206316661912,-0.279803244389663,0.06969689680829154,0.2276938855160866,0.23315367627455008,0.31015507753876936
C2 + log(n_facilities) control,tech_emp_share,15030,53,-0.054685533120455584,0.1328781772164883,-0.41154638230294655,-0.32132510289434263,0.21195403665343143,0.6806719381814486,0.6823633355613348,0.696848424212106
C7 differenced regressor,tech_emp_share_diff,13119,53,1.0534774959224913,0.7512015250768371,1.4023899855830773,-0.4539186443304113,2.560873636175394,0.16079882219145425,0.16674081689989162,0.18109054527263632
C5 excl. PETRO_NG,tech_emp_share,13809,53,-0.057641555451907286,0.10956490255634925,-0.5260950733950794,-0.2774996171135007,0.16221650620968608,0.5988221515058112,0.6010588584005343,0.6108054027013506
C6 excl. PETRO_NG + winsorized,tech_emp_share,13809,53,-0.13095114643446035,0.0872131054067484,-1.5015076670383942,-0.3059570457584202,0.04405475288949953,0.13322430513483652,0.13927272257602885,0.22111055527763882
C3 REAL: lagged tech share,tech_lag,11301,53,0.04590310379138218,0.15444872833467818,0.29720609736529385,-0.26402094346724037,0.35582715105000473,0.7663091670639279,0.7674932242603796,0.7718859429714857
C4 PLACEBO: lead tech share,tech_lead,11301,53,0.07457304216302342,0.14071682326328927,0.5299511489361366,-0.2077959216566862,0.356942005982733,0.5961458014021992,0.5984014661790102,0.5952976488244122
C1b n_facilities>=2,tech_emp_share,11116,52,-0.05245366285261598,0.12457901266178784,-0.42104734763807544,-0.3025564667943923,0.19764914108916032,0.6737205080982354,0.6754896719159189,0.6948474237118559
