model,target,n,G_clusters,coef,se_cluster,t_stat,ci_lo,ci_hi,p_naive_z,p_t_Gminus1,p_wild_bootstrap,dropped_state_fips
S1 drop 01,tech_emp_share,468,52,-0.09833976692310616,0.1754474884553836,-0.560508262551242,-0.45056529728880923,0.25388576344259695,0.5751328054405351,0.5775869756769638,,01
S1 drop 02,tech_emp_share,468,52,-0.07757493458303902,0.17498141607209275,-0.44333241966151404,-0.42886478559625496,0.273714916430177,0.6575253095811071,0.6594003500540904,,02
S1 drop 04,tech_emp_share,468,52,-0.09267242887735891,0.1741238434656216,-0.5322213605723436,-0.44224063104395595,0.25689577328923807,0.5945726903081929,0.5968838374696912,,04
S1 drop 05,tech_emp_share,468,52,-0.08800013102968987,0.1779606182969801,-0.4944921627707291,-0.4452709800780785,0.26927071801869873,0.6209586399108362,0.6230820839311537,,05
S1 drop 06,tech_emp_share,468,52,-0.09907842947127445,0.18340491567602188,-0.5402168699027288,-0.4672791615786004,0.2691223026360515,0.5890474798969065,0.591398863039184,,06
S1 drop 08,tech_emp_share,468,52,-0.11398525161365004,0.18730536579782361,-0.6085530498719673,-0.4900164640824316,0.26204596085513154,0.5428207326096353,0.5455217757904942,,08
S1 drop 09,tech_emp_share,468,52,-0.11089181716408893,0.17761447564425328,-0.6243399743284203,-0.46746775584064915,0.24568412151247132,0.5324043367543079,0.5351874371641197,,09
S1 drop 10,tech_emp_share,468,52,-0.10097197773862177,0.17727368001993776,-0.5695824542440003,-0.4568637406508115,0.25491978517356795,0.5689609316234945,0.5714613672598625,,10
S1 drop 11,tech_emp_share,468,52,-0.13111558381912486,0.218981564483071,-0.5987516991607809,-0.5707394186737089,0.30850825103545915,0.5493384760139779,0.5519887906579108,,11
S1 drop 12,tech_emp_share,468,52,-0.08885203912132705,0.1747507974134209,-0.5084499781201182,-0.4396789038582614,0.2619748256156073,0.6111378108413876,0.6133302678318153,,12
S1 drop 13,tech_emp_share,468,52,-0.07754995364145396,0.17492777592738598,-0.44332555667800644,-0.4287321175707192,0.2736322102878113,0.6575302729296,0.6594052805751254,,13
S1 drop 15,tech_emp_share,468,52,-0.09583101218054275,0.17621152766312334,-0.5438407659897826,-0.4495904152595891,0.2579283908985036,0.5865510532818334,0.5889207234104656,,15
S1 drop 16,tech_emp_share,468,52,-0.033575912735503415,0.1641363161795529,-0.2045611447668526,-0.3630933172170024,0.29594149174599554,0.837915015366582,0.8387292059787446,,16
S1 drop 17,tech_emp_share,468,52,-0.09031374901931279,0.17297761710539672,-0.5221123433807269,-0.43758080574801417,0.2569533077093886,0.6015921127720976,0.6038526118767202,,17
S1 drop 18,tech_emp_share,468,52,-0.1100646679386149,0.17781306624544974,-0.6189908889298593,-0.4670392938830744,0.2469099580058446,0.5359223610563897,0.5386776117916336,,18
S1 drop 19,tech_emp_share,468,52,-0.09005813390478684,0.17648408297940546,-0.5102904034427628,-0.4443647146133145,0.2642484468037408,0.6098480249283271,0.6120496198064784,,19
S1 drop 20,tech_emp_share,468,52,-0.0924603800052617,0.17479433417386825,-0.5289666878635276,-0.44337464843588226,0.2584538884253589,0.5968285588045026,0.5991233718762139,,20
S1 drop 21,tech_emp_share,468,52,-0.12265044293161624,0.17571185977282966,-0.6980202878177133,-0.47540672086356106,0.23010583500032855,0.48516450652839405,0.4883349913789343,,21
S1 drop 22,tech_emp_share,468,52,-0.05297496320947298,0.1718027046484089,-0.30834766727267343,-0.39788328475798374,0.2919333583390378,0.7578177985479746,0.7590737660643412,,22
S1 drop 23,tech_emp_share,468,52,-0.10376780847020041,0.17722181927361488,-0.5855250154609465,-0.45955545658975583,0.25201983964935504,0.5581947512881582,0.5607768933375827,,23
