area_fips,own_code,industry_code,agglvl_code,year,disclosure_code,annual_avg_estabs,annual_avg_emplvl,total_annual_wages,avg_annual_pay
01000,5,10,51,2015,,113005,1532167,66464741008,43380
01000,5,51,54,2015,,1695,21506,1202010191,55893
01000,5,5415,56,2015,,2377,23172,1989195411,85846
01001,5,10,71,2015,,784,8092,278489156,34414
01001,5,51,74,2015,,6,38,2456432,63942
01001,5,5415,76,2015,,8,22,1285599,57997
01003,5,10,71,2015,,5446,58562,1930310599,32962
01003,5,51,74,2015,,51,336,14033170,41796
01003,5,5415,76,2015,,48,163,9222114,56520
01005,5,10,71,2015,,499,6553,227744875,34757
01005,5,51,74,2015,,4,24,1231730,50968
01007,5,10,71,2015,,286,2815,108196356,38438
01007,5,51,74,2015,N,2,0,0,0
01007,5,5415,76,2015,N,0,0,0,0
01009,5,10,71,2015,,671,6162,199144102,32317
01009,5,51,74,2015,,9,66,4165187,62713
01009,5,5415,76,2015,,5,21,1423051,68306
01011,5,10,71,2015,,117,2193,70259448,32043
01011,5,51,74,2015,,3,26,1073509,41289
01013,5,10,71,2015,,435,5905,189964642,32172
01013,5,51,74,2015,,12,96,2863503,29880
01013,5,5415,76,2015,N,1,0,0,0
01015,5,10,71,2015,,2333,31963,1063821110,33283
01015,5,51,74,2015,,25,523,24051479,45958
01015,5,5415,76,2015,,20,67,4729745,70593
01017,5,10,71,2015,,511,6191,212937450,34395
01017,5,51,74,2015,,7,58,1972715,34308
01017,5,5415,76,2015,N,4,0,0,0
01019,5,10,71,2015,,370,3790,123972026,32714
01019,5,51,74,2015,,6,25,1009446,40244
01019,5,5415,76,2015,N,1,0,0,0
01021,5,10,71,2015,,703,7465,255885739,34280
01021,5,51,74,2015,,6,56,2308734,40983
01021,5,5415,76,2015,N,2,0,0,0
01023,5,10,71,2015,,242,2879,143227201,49743
01023,5,51,74,2015,,4,16,655319,39918
01025,5,10,71,2015,,591,6391,241528727,37790
01025,5,51,74,2015,,8,53,1711017,32334
01027,5,10,71,2015,,175,2907,92429073,31799
01027,5,51,74,2015,,4,18,600190,33656
01027,5,5415,76,2015,N,1,0,0,0
01029,5,10,71,2015,,156,1424,67072752,47115
01029,5,51,74,2015,N,4,0,0,0
01031,5,10,71,2015,,972,12730,401039367,31503
01031,5,51,74,2015,,12,77,2921611,37902
01031,5,5415,76,2015,,8,9,209047,23666
01033,5,10,71,2015,,1212,19025,773330161,40647
01033,5,51,74,2015,,10,91,5031379,55038
01033,5,5415,76,2015,,6,34,1386026,40666
01035,5,10,71,2015,,218,2822,92367178,32729
01035,5,51,74,2015,,4,17,646530,37846
01035,5,5415,76,2015,N,1,0,0,0
01037,5,10,71,2015,,89,931,35388254,38021
01037,5,51,74,2015,N,1,0,0,0
01039,5,10,71,2015,,822,10138,334367542,32981
01039,5,51,74,2015,,14,85,3467888,40839
01039,5,5415,76,2015,N,1,0,0,0
01041,5,10,71,2015,,213,3161,113094081,35778
01041,5,51,74,2015,,3,10,652586,63153
01043,5,10,71,2015,,1699,23425,866305178,36982
01043,5,51,74,2015,,15,159,6842764,42969
01043,5,5415,76,2015,,12,47,2485706,52700
01045,5,10,71,2015,,762,11383,571883558,50239
01045,5,51,74,2015,,11,26,1475190,57289
01045,5,5415,76,2015,,26,237,15934927,67142
01047,5,10,71,2015,,744,10045,357196480,35560
01047,5,51,74,2015,,11,87,3293874,37933
01047,5,5415,76,2015,N,2,0,0,0
01049,5,10,71,2015,,1041,17585,595395293,33858
01049,5,51,74,2015,,14,174,8682400,49780
01049,5,5415,76,2015,N,2,0,0,0
01051,5,10,71,2015,,1223,14689,477042390,32476
01051,5,51,74,2015,,17,147,5790213,39434
01051,5,5415,76,2015,,21,104,8321171,80269
01053,5,10,71,2015,,750,8690,324133067,37298
01053,5,51,74,2015,,12,53,2678837,50150
01053,5,5415,76,2015,N,4,0,0,0
01055,5,10,71,2015,,1918,30307,1055890031,34839
01055,5,51,74,2015,,23,316,12868562,40745
01055,5,5415,76,2015,,10,23,1130832,49167
01057,5,10,71,2015,,295,2704,86629064,32036
01057,5,51,74,2015,,7,26,1112207,42915
01059,5,10,71,2015,,514,8386,274802769,32768
01059,5,51,74,2015,,7,42,1450171,34597
01059,5,5415,76,2015,N,1,0,0,0
01061,5,10,71,2015,,428,3508,109563347,31230
01061,5,51,74,2015,N,5,0,0,0
01061,5,5415,76,2015,N,2,0,0,0
01063,5,10,71,2015,,110,1081,34220175,31651
01063,5,51,74,2015,,3,5,66858,12735
01065,5,10,71,2015,,229,1874,65033526,34709
01065,5,51,74,2015,,3,14,774014,54001
01067,5,10,71,2015,,291,2676,103415901,38652
01067,5,51,74,2015,N,2,0,0,0
01067,5,5415,76,2015,N,3,0,0,0
01069,5,10,71,2015,,2757,38239,1472432524,38506
01069,5,51,74,2015,,37,637,24864363,39054
01069,5,5415,76,2015,,14,58,3031402,52341
01071,5,10,71,2015,,862,13009,428268530,32922
01071,5,51,74,2015,,13,77,2148221,28020
01071,5,5415,76,2015,N,6,0,0,0
01073,5,10,71,2015,,17147,281523,14687343341,52171
01073,5,51,74,2015,,280,6425,417307093,64947
01073,5,5415,76,2015,,260,2888,237466290,82225
01075,5,10,71,2015,,230,2741,101820032,37154
01075,5,51,74,2015,,8,16,545340,33388
01075,5,5415,76,2015,N,1,0,0,0
01077,5,10,71,2015,,1952,24270,772000870,31808
01077,5,51,74,2015,,20,313,10957317,35017
01077,5,5415,76,2015,,19,76,3976958,52617
01079,5,10,71,2015,,378,3296,105211746,31923
01079,5,51,74,2015,N,2,0,0,0
01081,5,10,71,2015,,2789,40004,1259778678,31492
01081,5,51,74,2015,,43,474,17725187,37388
01081,5,5415,76,2015,,38,441,24403729,55285
01083,5,10,71,2015,,1313,16224,650807745,40115
01083,5,51,74,2015,,13,198,8230903,41535
01083,5,5415,76,2015,,26,108,12211928,112899
01085,5,10,71,2015,,121,1792,83243355,46448
01085,5,51,74,2015,N,1,0,0,0
01087,5,10,71,2015,,188,2077,61305381,29515
01087,5,51,74,2015,,3,7,224016,32002
01087,5,5415,76,2015,N,1,0,0,0
01089,5,10,71,2015,,8828,145903,7555390742,51784
01089,5,51,74,2015,,114,2324,126669216,54499
01089,5,5415,76,2015,,390,9466,916832470,96855
01091,5,10,71,2015,,444,5351,211836762,39585
01091,5,51,74,2015,,6,31,1591591,51480
01093,5,10,71,2015,,551,8103,260884122,32196
01093,5,51,74,2015,,9,35,1737227,49992
01093,5,5415,76,2015,N,3,0,0,0
01095,5,10,71,2015,,1861,28850,945221822,32763
01095,5,51,74,2015,,23,385,18076932,46984
01095,5,5415,76,2015,,8,9,549174,61019
01097,5,10,71,2015,,9347,142782,6347888133,44458
01097,5,51,74,2015,,100,1862,103673722,55689
01097,5,5415,76,2015,,97,2645,178711931,67557
01099,5,10,71,2015,,383,4691,196126944,41812
01099,5,51,74,2015,,5,52,2215288,42739
01101,5,10,71,2015,,5886,94479,3906828822,41351
01101,5,51,74,2015,,92,1904,94981923,49899
01101,5,5415,76,2015,,147,1599,131737870,82409
01103,5,10,71,2015,,2570,39767,1688275518,42454
01103,5,51,74,2015,,19,258,13161799,51064
01103,5,5415,76,2015,,28,197,14523339,73660
01105,5,10,71,2015,,124,1566,45594816,29125
01105,5,51,74,2015,N,1,0,0,0
01105,5,5415,76,2015,N,1,0,0,0
01107,5,10,71,2015,,279,2556,81252928,31793
01107,5,51,74,2015,,8,34,1261980,37578
01109,5,10,71,2015,,648,10669,402294058,37705
01109,5,51,74,2015,,7,160,7463360,46719
01109,5,5415,76,2015,N,4,0,0,0
01111,5,10,71,2015,,332,3685,111365221,30223
01111,5,51,74,2015,,8,35,1506335,43244
01111,5,5415,76,2015,N,2,0,0,0
01113,5,10,71,2015,,805,10607,378893764,35721
01113,5,51,74,2015,N,4,0,0,0
01113,5,5415,76,2015,N,1,0,0,0
01115,5,10,71,2015,,1325,15835,548815654,34658
01115,5,51,74,2015,,19,129,7406141,57227
01115,5,5415,76,2015,,11,16,556858,34623
01117,5,10,71,2015,,5318,75078,3802970261,50654
01117,5,51,74,2015,,90,1079,75614966,70073
01117,5,5415,76,2015,,155,2147,170193207,79267
01119,5,10,71,2015,,196,1889,64370394,34084
01119,5,51,74,2015,N,2,0,0,0
01119,5,5415,76,2015,N,1,0,0,0
01121,5,10,71,2015,,1203,24612,1126561520,45773
01121,5,51,74,2015,,14,168,8177687,48773
01121,5,5415,76,2015,N,5,0,0,0
01123,5,10,71,2015,,733,11360,356556497,31388
01123,5,51,74,2015,,10,98,4315666,43925
01123,5,5415,76,2015,,9,16,265365,16164
01125,5,10,71,2015,,4224,69708,2826441641,40547
01125,5,51,74,2015,,48,777,39027246,50260
01125,5,5415,76,2015,,46,229,16541276,72285
