ms,cci,title,fund,category_of_region,year,dimension_type,dimension_code,dimension_title,eu_cofinancing_rate,total_eligible_costs_selected_fin_data,eu_eligible_costs_selected_fin_data_notional,total_elig_expenditure_declared_fin_data,eu_elig_expenditure_declared_fin_data_notional,reference_date
SE,2014SE16RFOP008,Upper Norrland - ERDF,ERDF,Outermost or Northern Sparsely Populated,2017,Thematic Objective,02,Enhancing access to and use and quality of information ...,50,19646081,9823040.5,4258464,2129232,2017-12-31T00:00:00.000
ES,2014ES16RFOP002,Multi-regional Spain - ERDF,ERDF,Transition,2021,Thematic Objective,02,Enhancing access to and use and quality of information ...,80.55213692,879194783.17,712147774.37,446922960.98,362007598.39,2021-12-31T00:00:00.000
FR,2014FR16M0OP003,Centre - ERDF/ESF/YEI,ERDF,More developed,2018,Thematic Objective,02,Enhancing access to and use and quality of information ...,50,42298975.55,21149487.78,23354043.89,11677021.95,2018-12-31T00:00:00.000
SE,2014SE16RFOP006,North-Central Sweden - ERDF,ERDF,More developed,2022,Thematic Objective,02,Enhancing access to and use and quality of information ...,50,86508985,43254492.5,63263803,31631901.5,2022-12-31T00:00:00.000
ES,2014ES16RFOP008,Cantabria  - ERDF,ERDF,More developed,2022,Thematic Objective,02,Enhancing access to and use and quality of information ...,50,32617970,16308985,32273035.39,16136517.7,2022-12-31T00:00:00.000
IT,2014IT16RFOP012,Lombardia - ERDF,ERDF,More developed,2018,Thematic Objective,02,Enhancing access to and use and quality of information ...,50,20000000,10000000,5893172,2946586,2018-12-31T00:00:00.000
PL,2014PL16M2OP009,Podkarpackie Voivodeship - ERDF/ESF,ERDF,Less developed,2017,Thematic Objective,02,Enhancing access to and use and quality of information ...,84.99999948,68016943.94,57814402.35,5854726.02,4976517.12,2017-12-31T00:00:00.000
PL,2014PL16RFOP002,Digital Poland - ERDF,ERDF,More developed,2022,Thematic Objective,02,Enhancing access to and use and quality of information ...,79.9999972,13754833.85,11003867.08,9976525.3,7981220.24,2022-12-31T00:00:00.000
UK,2014UK16RFOP001,England - ERDF,ERDF,More developed,2019,Thematic Objective,02,Enhancing access to and use and quality of information ...,50,85175699,42587849.5,44140708,22070354,2019-12-31T00:00:00.000
ES,2014ES16RFOP012,Ceuta  - ERDF,ERDF,More developed,2021,Thematic Objective,02,Enhancing access to and use and quality of information ...,80,1999599.3,1599679.44,1999599.3,1599679.44,2021-12-31T00:00:00.000
FR,2014FR16M2OP005,Franche-Comté et Jura - ERDF/ESF,ERDF,Transition,2016,Thematic Objective,02,Enhancing access to and use and quality of information ...,59.99988368,967697.01,580618.21,0,0,2016-12-31T00:00:00.000
FR,2014FR16RFOP007,Réunion – ERDF,ERDF,Less developed,2021,Thematic Objective,02,Enhancing access to and use and quality of information ...,80.00000042,44465869.4,35572695.52,10986906.48,8789525.18,2021-12-31T00:00:00.000
IT,2014IT16RFOP011,Liguria - ERDF,ERDF,More developed,2021,Thematic Objective,02,Enhancing access to and use and quality of information ...,50,24990790.21,12495395.11,16770728.96,8385364.48,2021-12-31T00:00:00.000
FR,2014FR16M0OP006,Languedoc-Roussillon - ERDF/ESF/YEI,ERDF,Transition,2017,Thematic Objective,02,Enhancing access to and use and quality of information ...,60,4337770.67,2602662.4,559231.25,335538.75,2017-12-31T00:00:00.000
PL,2014PL16M2OP004,Lubuskie Voivodeship - ERDF/ESF,ERDF,Less developed,2021,Thematic Objective,02,Enhancing access to and use and quality of information ...,84.99999845,40984689.91,34836986.42,23215815.94,19733443.55,2021-12-31T00:00:00.000
UK,2014UK16RFOP001,England - ERDF,ERDF,More developed,2018,Thematic Objective,02,Enhancing access to and use and quality of information ...,50,75421402,37710701,26031099,13015549.5,2018-12-31T00:00:00.000
PT,2014PT16M2OP006,Madeira - ERDF/ESF,ERDF,More developed,2017,Thematic Objective,02,Enhancing access to and use and quality of information ...,84.99998757,6010455.59,5108887.25,2283955.87,1941362.49,2017-12-31T00:00:00.000
UK,2014UK16RFOP001,England - ERDF,ERDF,Transition,2018,Thematic Objective,02,Enhancing access to and use and quality of information ...,59.99999887,19976947,11986168.2,5432693,3259615.8,2018-12-31T00:00:00.000
ES,2014ES16RFOP013,Valenciana - ERDF,ERDF,More developed,2018,Thematic Objective,02,Enhancing access to and use and quality of information ...,50,183086000,91543000,62080116.27,31040058.14,2018-12-31T00:00:00.000
GR,2014GR05M2OP001,Reform of the Public Sector - GR - ESF/ERDF,ERDF,Less developed,2021,Thematic Objective,02,Enhancing access to and use and quality of information ...,79.99999986,202310872,161848697.6,58386866.67,46709493.34,2021-12-31T00:00:00.000
ES,2014ES16RFOP003,Andalucía  - ERDF,ERDF,Transition,2019,Thematic Objective,02,Enhancing access to and use and quality of information ...,80,196051279.99,156841023.99,45560316.74,36448253.39,2019-12-31T00:00:00.000
GR,2014GR05M2OP001,Reform of the Public Sector - GR - ESF/ERDF,ERDF,Transition,2017,Thematic Objective,02,Enhancing access to and use and quality of information ...,50,3597951.34,1798975.67,1819281.36,909640.68,2017-12-31T00:00:00.000
IT,2014IT16M2OP006,Calabria  - ERDF/ESF,ERDF,Less developed,2022,Thematic Objective,02,Enhancing access to and use and quality of information ...,78.92911422,156392792.15,123550305.8,103289725.41,81598883.07,2022-12-31T00:00:00.000
LT,2014LT16MAOP001,EU Structural Funds Investments - LT - ERDF/ESF/CF/YEI,ERDF,Less developed,2018,Thematic Objective,02,Enhancing access to and use and quality of information ...,84.99999951,194445613.51,165278771.48,25645718.59,21798860.8,2018-12-31T00:00:00.000
IT,2014IT16M2OP004,Metrolitan Cities - IT - ERDF/ESF,ERDF,Transition,2020,Thematic Objective,02,Enhancing access to and use and quality of information ...,50,9659838,4829919,3972339.63,1986169.82,2020-12-31T00:00:00.000
UK,2014UK16RFOP001,England - ERDF,ERDF,Transition,2017,Thematic Objective,02,Enhancing access to and use and quality of information ...,59.99999887,19891403,11934841.8,957515,574509,2017-12-31T00:00:00.000
PT,2014PT16M2OP002,Centro - ERDF/ESF,ERDF,Less developed,2018,Thematic Objective,02,Enhancing access to and use and quality of information ...,84.99999768,23337809.33,19837137.93,8090956.54,6877313.06,2018-12-31T00:00:00.000
ES,2014ES16RFOP001,Smart Growth (merged 2017 with Multi-regional Spain) - ES - ERDF,ERDF,More developed,2018,Thematic Objective,02,Enhancing access to and use and quality of information ...,,,,,,
IT,2014IT05M2OP002,Governance and Institutional Capacity - IT - ESF/ERDF,ERDF,More developed,2022,Thematic Objective,02,Enhancing access to and use and quality of information ...,50,21260245,10630122.5,19490999,9745499.5,2022-12-31T00:00:00.000
IT,2014IT16M2OP006,Calabria  - ERDF/ESF,ERDF,Less developed,2016,Thematic Objective,02,Enhancing access to and use and quality of information ...,75,38000000,28500000,7600000,5700000,2016-12-31T00:00:00.000
