country,survey_wave,sector,size,indicator,Multiple technologies,Single technology,Share of firms using generative AI tools,Climate change targets for own GHG emissions,No impact at all,A minor impact,A major impact,An opportunity,No Impact,A risk,Plan to invest,Already invested,Proportion of investment directed towards measures to improve energy efficiency,Share of firms investing in measures to improve energy efficiency,Sustainable transport options,Waste minimization and recycling,Onsite/offsite renewable energy generation,Investing in energy efficiency,"Investing in new, less polluting, business areas and technologies"
AT,2022,Manufacturing (NACE C),ALL,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
AT,2025,Construction (NACE F),ALL,Implementation of digital technologies,0.26,0.37,,,,,,,,,,,,,,,,,
AT,2020,ALL,Large,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
AT,2024,Services (NACE G/I),ALL,Implementation of digital technologies,0.56,0.29,,,,,,,,,,,,,,,,,
AT,2025,Other (NACE D/E/H/J),ALL,Implementation of digital technologies,0.58,0.29,,,,,,,,,,,,,,,,,
AT,2023,Other (NACE D/E/H/J),ALL,Implementation of digital technologies,0.62,0.2,,,,,,,,,,,,,,,,,
AT,2023,ALL,SME,Implementation of digital technologies,0.38,0.33,,,,,,,,,,,,,,,,,
AT,2023,Manufacturing (NACE C),ALL,Implementation of digital technologies,0.68,0.23,,,,,,,,,,,,,,,,,
AT,2021,ALL,SME,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
AT,2025,Manufacturing (NACE C),ALL,Implementation of digital technologies,0.7,0.22,,,,,,,,,,,,,,,,,
AT,2022,Construction (NACE F),ALL,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
AT,2025,ALL,Large,Implementation of digital technologies,0.71,0.27,,,,,,,,,,,,,,,,,
AT,2022,ALL,ALL,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
AT,2018,ALL,Large,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
AT,2022,ALL,Large,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
AT,2018,ALL,ALL,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
AT,2021,Construction (NACE F),ALL,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
AT,2018,Manufacturing (NACE C),ALL,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
AT,2021,Other (NACE D/E/H/J),ALL,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
AT,2023,ALL,Large,Implementation of digital technologies,0.73,0.18,,,,,,,,,,,,,,,,,
AT,2019,ALL,SME,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
AT,2023,ALL,ALL,Implementation of digital technologies,0.56,0.26,,,,,,,,,,,,,,,,,
AT,2020,ALL,ALL,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
AT,2019,ALL,Large,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
AT,2023,Services (NACE G/I),ALL,Implementation of digital technologies,0.5,0.29,,,,,,,,,,,,,,,,,
AT,2022,Other (NACE D/E/H/J),ALL,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
AT,2021,Manufacturing (NACE C),ALL,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
AT,2019,Construction (NACE F),ALL,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
AT,2024,ALL,Large,Implementation of digital technologies,0.77,0.14,,,,,,,,,,,,,,,,,
AT,2024,Manufacturing (NACE C),ALL,Implementation of digital technologies,0.75,0.15,,,,,,,,,,,,,,,,,
AT,2020,ALL,SME,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
AT,2025,ALL,SME,Implementation of digital technologies,0.48,0.27,,,,,,,,,,,,,,,,,
AT,2018,Construction (NACE F),ALL,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
AT,2018,ALL,SME,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
AT,2020,Services (NACE G/I),ALL,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
AT,2021,ALL,ALL,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
AT,2024,ALL,SME,Implementation of digital technologies,0.43,0.32,,,,,,,,,,,,,,,,,
