PublicationDate,countryName,reportingYear,EPRTR_SectorCode,EPRTR_SectorName,Pollutant,Releases
2025/12/15,Poland,2009,1,Energy sector,Nitrogen oxides (NOX),238245000
2025/12/15,France,2022,3,Mineral industry,Benzene,48390
2025/12/15,France,2015,5,Waste and wastewater management,PCDD + PCDF (dioxins + furans) (as Teq),0.0034250000000000005
2025/12/15,Denmark,2023,5,Waste and wastewater management,Chlorine and inorganic compounds (as HCl),5026.68
2025/12/15,Netherlands,2016,4,Chemical industry,Nitrous oxide (N2O),3460600
2025/12/15,Italy,2009,2,Production and processing of metals,Lead and compounds (as Pb),11268
2025/12/15,France,2018,1,Energy sector,Hydro-fluorocarbons (HFCS),8424
2025/12/15,Norway,2010,2,Production and processing of metals,Nitrogen oxides (NOX),10399000
2025/12/15,Germany,2013,9,Other activities,Non-methane volatile organic compounds (NMVOC),18060000
2025/12/15,Spain,2007,1,Energy sector,Nickel and compounds (as Ni),63375.50000000001
2025/12/15,United Kingdom,2014,5,Waste and wastewater management,"1,1,1-trichloroethane (TCE-1,1,1)",3069
2025/12/15,United Kingdom,2014,2,Production and processing of metals,Zinc and compounds (as Zn),25378
2025/12/15,Norway,2010,5,Waste and wastewater management,Total organic carbon(as total C or COD/3) (TOC),27151.8
2025/12/15,France,2017,2,Production and processing of metals,Sulphur oxides (SOX),16833000
2025/12/15,Germany,2023,4,Chemical industry,Nitrogen oxides (NOX),11787000
2025/12/15,Italy,2022,1,Energy sector,Carbon dioxide (CO2),89905542287
2025/12/15,Sweden,2022,3,Mineral industry,Nickel and compounds (as Ni),72.9
2025/12/15,Slovakia,2021,2,Production and processing of metals,Lead and compounds (as Pb),340
2025/12/15,Germany,2011,7,Intensive livestock production and aquaculture,Ammonia (NH3),12455100
2025/12/15,France,2016,1,Energy sector,Zinc and compounds (as Zn),6119
2025/12/15,Denmark,2022,5,Waste and wastewater management,Ammonia (NH3),1563.0875
2025/12/15,Netherlands,2010,1,Energy sector,Hydrochlorofluorocarbons (HCFCs),158
2025/12/15,Portugal,2015,4,Chemical industry,Nitrogen oxides (NOX),332000
2025/12/15,United Kingdom,2018,5,Waste and wastewater management,Chlorofluorocarbons (CFCs),5725.930000000001
2025/12/15,Romania,2007,2,Production and processing of metals,Lead and compounds (as Pb),12031
2025/12/15,Denmark,2022,4,Chemical industry,Nitrogen oxides (NOX),117127
2025/12/15,Italy,2022,9,Other activities,Benzene,4529
2025/12/15,Norway,2015,2,Production and processing of metals,Carbon dioxide (CO2),4382000000
2025/12/15,Poland,2018,3,Mineral industry,Copper and compounds (as Cu),1783
2025/12/15,Portugal,2015,1,Energy sector,Hydrochlorofluorocarbons (HCFCs),13.4
2025/12/15,Poland,2008,1,Energy sector,Hydrogen cyanide (HCN),2441
2025/12/15,France,2023,5,Waste and wastewater management,Nickel and compounds (as Ni),367.900002
2025/12/15,Denmark,2019,,,Ammonia (NH3),124232
2025/12/15,Poland,2019,1,Energy sector,Arsenic and compounds (as As),1976.4
2025/12/15,Poland,2011,1,Energy sector,Copper and compounds (as Cu),5202
2025/12/15,Greece,2017,1,Energy sector,Sulphur oxides (SOX),50871000
2025/12/15,Poland,2011,2,Production and processing of metals,Hydrochlorofluorocarbons (HCFCs),178.6
2025/12/15,Hungary,2017,4,Chemical industry,Carbon dioxide (CO2),2488000000
2025/12/15,France,2010,5,Waste and wastewater management,Trichlorobenzenes (TCB),153
2025/12/15,Slovakia,2022,2,Production and processing of metals,Ammonia (NH3),24400
2025/12/15,Spain,2017,1,Energy sector,Nitrous oxide (N2O),1249800
2025/12/15,France,2010,6,Paper and wood production and processing,Nitrogen oxides (NOX),4809000
2025/12/15,Hungary,2017,3,Mineral industry,Benzene,2600
2025/12/15,Austria,2014,3,Mineral industry,Mercury and compounds (as Hg),84.5
2025/12/15,Hungary,2015,1,Energy sector,Carbon monoxide (CO),4858000
2025/12/15,Estonia,2013,1,Energy sector,Arsenic and compounds (as As),11026.5
2025/12/15,Hungary,2015,2,Production and processing of metals,Non-methane volatile organic compounds (NMVOC),232000
2025/12/15,Poland,2013,1,Energy sector,Fluorine and inorganic compounds (as HF),759730
2025/12/15,Italy,2012,4,Chemical industry,Non-methane volatile organic compounds (NMVOC),11576000
2025/12/15,Luxembourg,2020,5,Waste and wastewater management,Nitrogen oxides (NOX),178000
2025/12/15,United Kingdom,2010,4,Chemical industry,Particulate matter (PM10),142000
2025/12/15,Germany,2014,2,Production and processing of metals,Benzene,133480
2025/12/15,Netherlands,2010,2,Production and processing of metals,Anthracene,134
2025/12/15,Sweden,2008,2,Production and processing of metals,Polycyclic aromatic hydrocarbons (PAHs),6661
2025/12/15,Belgium,2012,2,Production and processing of metals,Naphthalene,26313
2025/12/15,Italy,2018,4,Chemical industry,Sulphur oxides (SOX),5853764.6
2025/12/15,Hungary,2014,1,Energy sector,Carbon dioxide (CO2),13047000000
2025/12/15,Italy,2014,4,Chemical industry,Carbon dioxide (CO2),5396000000
2025/12/15,France,2014,2,Production and processing of metals,Perfluorocarbons (PFCs),10300
2025/12/15,Poland,2016,1,Energy sector,Carbon monoxide (CO),42582000
2025/12/15,Spain,2016,1,Energy sector,Nitrous oxide (N2O),1174900
2025/12/15,Portugal,2021,8,Animal and vegetable products from the food and beverage sector,Non-methane volatile organic compounds (NMVOC),807000
2025/12/15,Czechia,2017,3,Mineral industry,Copper and compounds (as Cu),556
2025/12/15,Poland,2024,2,Production and processing of metals,Copper and compounds (as Cu),7898
2025/12/15,United Kingdom,2013,4,Chemical industry,Hydrochlorofluorocarbons (HCFCs),30779.5
2025/12/15,France,2012,1,Energy sector,Fluorine and inorganic compounds (as HF),238300
2025/12/15,Romania,2012,1,Energy sector,Arsenic and compounds (as As),20
2025/12/15,Netherlands,2018,6,Paper and wood production and processing,Carbon dioxide (CO2) excluding biomass,452000000
2025/12/15,Slovakia,2011,8,Animal and vegetable products from the food and beverage sector,Sulphur oxides (SOX),174000
2025/12/15,Italy,2014,5,Waste and wastewater management,Nitrogen oxides (NOX),2872000
2025/12/15,United Kingdom,2013,6,Paper and wood production and processing,Lead and compounds (as Pb),2381
2025/12/15,Germany,2015,1,Energy sector,Cadmium and compounds (as Cd),228.5
2025/12/15,Iceland,2014,2,Production and processing of metals,Particulate matter (PM10),297700
2025/12/15,Bulgaria,2009,4,Chemical industry,Carbon monoxide (CO),16700000
2025/12/15,Spain,2024,4,Chemical industry,Vinyl chloride,41980
2025/12/15,Bulgaria,2009,2,Production and processing of metals,Sulphur oxides (SOX),11360000
2025/12/15,Italy,2009,5,Waste and wastewater management,Nickel and compounds (as Ni),594
2025/12/15,Poland,2013,3,Mineral industry,Nitrous oxide (N2O),14600
2025/12/15,Belgium,2010,6,Paper and wood production and processing,Particulate matter (PM10),89300
2025/12/15,Sweden,2013,6,Paper and wood production and processing,Carbon dioxide (CO2),22584000000
2025/12/15,Portugal,2020,3,Mineral industry,Carbon monoxide (CO),14284000
2025/12/15,Hungary,2016,2,Production and processing of metals,Copper and compounds (as Cu),634
2025/12/15,Netherlands,2008,1,Energy sector,Benzene,57810
2025/12/15,Spain,2018,4,Chemical industry,PCDD + PCDF (dioxins + furans) (as Teq),0.000221
2025/12/15,Poland,2015,7,Intensive livestock production and aquaculture,Carbon dioxide (CO2),4101000000
2025/12/15,Portugal,2010,2,Production and processing of metals,Nitrogen oxides (NOX),471000
2025/12/15,Poland,2015,7,Intensive livestock production and aquaculture,Methane (CH4),363000
2025/12/15,Cyprus,2015,1,Energy sector,Carbon dioxide (CO2) excluding biomass,3010000000
2025/12/15,Estonia,2020,5,Waste and wastewater management,Methane (CH4),1061000
2025/12/15,Netherlands,2018,2,Production and processing of metals,Benzene,2780
2025/12/15,Czechia,2011,4,Chemical industry,Nitrogen oxides (NOX),8496000
2025/12/15,France,2013,1,Energy sector,Copper and compounds (as Cu),792
2025/12/15,France,2019,2,Production and processing of metals,Lead and compounds (as Pb),12595
2025/12/15,France,2019,5,Waste and wastewater management,Non-methane volatile organic compounds (NMVOC),110000
2025/12/15,Sweden,2007,,,Carbon monoxide (CO),2250000
2025/12/15,Finland,2022,1,Energy sector,Non-methane volatile organic compounds (NMVOC),2168000
2025/12/15,France,2021,,,Trichloromethane,2600
2025/12/15,Poland,2023,1,Energy sector,Particulate matter (PM10),1591700
2025/12/15,Germany,2015,4,Chemical industry,Nickel and compounds (as Ni),61.8
2025/12/15,Finland,2022,6,Paper and wood production and processing,PCDD + PCDF (dioxins + furans) (as Teq),0.000148
2025/12/15,Cyprus,2017,1,Energy sector,Nitrous oxide (N2O),25100
2025/12/15,Slovakia,2007,4,Chemical industry,Dichloromethane (DCM),2070
2025/12/15,Denmark,2019,6,Paper and wood production and processing,Nitrogen oxides (NOX),492236
2025/12/15,Slovakia,2019,2,Production and processing of metals,Benzene,12300
2025/12/15,Italy,2022,6,Paper and wood production and processing,Arsenic and compounds (as As),49.6
2025/12/15,United Kingdom,2017,1,Energy sector,Chromium and compounds (as Cr),477
2025/12/15,Portugal,2010,1,Energy sector,Chromium and compounds (as Cr),415
2025/12/15,Slovakia,2007,9,Other activities,Zinc and compounds (as Zn),843
2025/12/15,Bulgaria,2008,6,Paper and wood production and processing,Non-methane volatile organic compounds (NMVOC),119000
2025/12/15,Cyprus,2013,1,Energy sector,Zinc and compounds (as Zn),1560
2025/12/15,Poland,2008,2,Production and processing of metals,Fluorine and inorganic compounds (as HF),31300
2025/12/15,France,2012,1,Energy sector,Nickel and compounds (as Ni),20119.8
2025/12/15,France,2012,1,Energy sector,Ammonia (NH3),211900
2025/12/15,Spain,2023,6,Paper and wood production and processing,Nickel and compounds (as Ni),338
2025/12/15,Denmark,2020,5,Waste and wastewater management,Chromium and compounds (as Cr),3.738
2025/12/15,Netherlands,2009,9,Other activities,Trichloroethylene (TRI),17600
2025/12/15,Spain,2007,1,Energy sector,Ammonia (NH3),538800
2025/12/15,Slovenia,2012,1,Energy sector,Carbon dioxide (CO2) excluding biomass,671000000
2025/12/15,Czechia,2022,4,Chemical industry,Hydrochlorofluorocarbons (HCFCs),18
2025/12/15,Norway,2010,6,Paper and wood production and processing,Sulphur oxides (SOX),1036000
2025/12/15,Belgium,2008,9,Other activities,Naphthalene,3480
2025/12/15,Poland,2023,6,Paper and wood production and processing,Fluorine and inorganic compounds (as HF),5770
2025/12/15,Germany,2024,2,Production and processing of metals,"1,1,1-trichloroethane (TCE-1,1,1)",106
2025/12/15,France,2020,4,Chemical industry,Chlorine and inorganic compounds (as HCl),71400
2025/12/15,Romania,2008,1,Energy sector,Non-methane volatile organic compounds (NMVOC),7598000
2025/12/15,Bulgaria,2013,8,Animal and vegetable products from the food and beverage sector,Nitrogen oxides (NOX),116000
2025/12/15,Poland,2020,3,Mineral industry,Hydrogen cyanide (HCN),15200
2025/12/15,Denmark,2013,2,Production and processing of metals,Nitrogen oxides (NOX),150000
2025/12/15,Bulgaria,2009,3,Mineral industry,Mercury and compounds (as Hg),111.4
2025/12/15,Bulgaria,2018,6,Paper and wood production and processing,Carbon monoxide (CO),97587
2025/12/15,Ireland,2007,6,Paper and wood production and processing,Particulate matter (PM10),58100
2025/12/15,Poland,2023,1,Energy sector,Ammonia (NH3),175600
2025/12/15,France,2019,6,Paper and wood production and processing,Ammonia (NH3),20200
2025/12/15,Germany,2017,5,Waste and wastewater management,Dichloromethane (DCM),1030
2025/12/15,Ireland,2013,4,Chemical industry,Sulphur oxides (SOX),1540000
2025/12/15,Czechia,2019,5,Waste and wastewater management,Copper and compounds (as Cu),26.51
2025/12/15,Czechia,2015,6,Paper and wood production and processing,Sulphur oxides (SOX),375000
2025/12/15,Austria,2020,5,Waste and wastewater management,Halons,437
2025/12/15,Czechia,2013,4,Chemical industry,Di-(2-ethyl hexyl) phthalate (DEHP),75
2025/12/15,Cyprus,2008,2,Production and processing of metals,Nitrogen oxides (NOX),131000
2025/12/15,Cyprus,2010,3,Mineral industry,Sulphur oxides (SOX),293000
2025/12/15,Sweden,2019,6,Paper and wood production and processing,Cadmium and compounds (as Cd),11.8
2025/12/15,Austria,2021,3,Mineral industry,Particulate matter (PM10),527000
2025/12/15,Switzerland,2013,9,Other activities,Sulphur oxides (SOX),475000
2025/12/15,Sweden,2007,4,Chemical industry,Mercury and compounds (as Hg),17.7
2025/12/15,Luxembourg,2016,2,Production and processing of metals,Carbon monoxide (CO),3930000
2025/12/15,Austria,2014,6,Paper and wood production and processing,Particulate matter (PM10),138800
2025/12/15,Latvia,2008,6,Paper and wood production and processing,Particulate matter (PM10),132000
2025/12/15,Poland,2024,3,Mineral industry,Total organic carbon(as total C or COD/3) (TOC),58000
2025/12/15,Cyprus,2020,1,Energy sector,Carbon dioxide (CO2) excluding biomass,2980000000
2025/12/15,Switzerland,2022,5,Waste and wastewater management,Nitrous oxide (N2O),32100
2025/12/15,Italy,2014,6,Paper and wood production and processing,Non-methane volatile organic compounds (NMVOC),273000
2025/12/15,Belgium,2013,4,Chemical industry,Trichloromethane,6100
