PublicationDate,countryName,reportingYear,EPRTR_SectorCode,EPRTR_SectorName,EPRTRAnnexIMainActivity,Pollutant,Releases
2025/12/15,Finland,2007,2,Production and processing of metals,2(f),Hydro-fluorocarbons (HFCS),175
2025/12/15,Italy,2008,1,Energy sector,1(c),Zinc and compounds (as Zn),16463
2025/12/15,Austria,2015,2,Production and processing of metals,2(b),Carbon dioxide (CO2),11620000000
2025/12/15,France,2008,1,Energy sector,1(a),Ammonia (NH3),43500
2025/12/15,Germany,2010,1,Energy sector,1(a),Chromium and compounds (as Cr),235
2025/12/15,Germany,2019,1,Energy sector,1(c),Chromium and compounds (as Cr),1214
2025/12/15,Belgium,2018,4,Chemical industry,4(a)(ii),Hydro-fluorocarbons (HFCS),135940
2025/12/15,Poland,2018,1,Energy sector,1(d),Benzene,5990
2025/12/15,France,2009,6,Paper and wood production and processing,6(a),Cadmium and compounds (as Cd),25
2025/12/15,Netherlands,2013,4,Chemical industry,4(a)(viii),"1,2-dichloroethane (DCE-1,2)",34550
2025/12/15,Slovakia,2015,3,Mineral industry,3(e),Chromium and compounds (as Cr),108
2025/12/15,Austria,2015,2,Production and processing of metals,2(b),Cadmium and compounds (as Cd),27.9
2025/12/15,Belgium,2019,2,Production and processing of metals,2(f),Non-methane volatile organic compounds (NMVOC),445000
2025/12/15,Germany,2008,4,Chemical industry,4(a)(ii),Methane (CH4),307000
2025/12/15,United Kingdom,2018,2,Production and processing of metals,2(d),Zinc and compounds (as Zn),991
2025/12/15,Spain,2013,3,Mineral industry,3(g),Carbon dioxide (CO2),269000000
2025/12/15,Germany,2008,3,Mineral industry,3(c)(i),Naphthalene,1644
2025/12/15,Spain,2022,4,Chemical industry,4(b)(v),Carbon monoxide (CO),3624000
2025/12/15,Finland,2019,2,Production and processing of metals,2(b),Mercury and compounds (as Hg),129
2025/12/15,France,2018,5,Waste and wastewater management,5(b),Copper and compounds (as Cu),655
2025/12/15,Hungary,2021,7,Intensive livestock production and aquaculture,7(a)(ii),Ammonia (NH3),6155900
2025/12/15,Sweden,2007,2,Production and processing of metals,2(a),Arsenic and compounds (as As),68.9
2025/12/15,Belgium,2013,2,Production and processing of metals,2(e)(i),Cadmium and compounds (as Cd),44.2
2025/12/15,France,2018,2,Production and processing of metals,2(c)(i),Zinc and compounds (as Zn),2080
2025/12/15,France,2018,1,Energy sector,1(c),Non-methane volatile organic compounds (NMVOC),2613000
2025/12/15,Poland,2022,7,Intensive livestock production and aquaculture,7(a),Nitrous oxide (N2O),93600
2025/12/15,France,2008,1,Energy sector,1(a),Particulate matter (PM10),579700
2025/12/15,Bulgaria,2023,4,Chemical industry,4(a)(viii),Nitrogen oxides (NOX),595292
2025/12/15,Belgium,2008,2,Production and processing of metals,2(b),Mercury and compounds (as Hg),519.2
2025/12/15,Germany,2017,5,Waste and wastewater management,5(b),Cadmium and compounds (as Cd),22.9
2025/12/15,Germany,2014,1,Energy sector,1(c),Copper and compounds (as Cu),1759
2025/12/15,Greece,2016,3,Mineral industry,3(c)(i),Cadmium and compounds (as Cd),23.2
2025/12/15,Austria,2013,6,Paper and wood production and processing,6(b),Nitrogen oxides (NOX),3790000
2025/12/15,Czechia,2007,2,Production and processing of metals,2(c)(i),Carbon monoxide (CO),2300000
2025/12/15,Italy,2015,2,Production and processing of metals,2(e),Carbon dioxide (CO2),260000000
2025/12/15,Romania,2012,1,Energy sector,1(c),Carbon monoxide (CO),3068000
2025/12/15,France,2021,9,Other activities,9(d),Cadmium and compounds (as Cd),21.6
2025/12/15,Germany,2008,2,Production and processing of metals,2(b),Sulphur oxides (SOX),16405000
2025/12/15,Spain,2010,6,Paper and wood production and processing,6(b),Nickel and compounds (as Ni),3117
2025/12/15,Spain,2011,3,Mineral industry,3(c)(i),Non-methane volatile organic compounds (NMVOC),886000
2025/12/15,Sweden,2021,9,Other activities,9(c),Hydro-fluorocarbons (HFCS),208
2025/12/15,France,2009,3,Mineral industry,3(c)(ii),Polycyclic aromatic hydrocarbons (PAHs),83.9
2025/12/15,Portugal,2011,3,Mineral industry,3(c)(i),Particulate matter (PM10),79600
2025/12/15,Finland,2022,4,Chemical industry,4(c),Nitrogen oxides (NOX),928000
2025/12/15,Bulgaria,2020,6,Paper and wood production and processing,6(b),Carbon dioxide (CO2),601601736
2025/12/15,Romania,2024,4,Chemical industry,4(e),Non-methane volatile organic compounds (NMVOC),405000
2025/12/15,France,2012,4,Chemical industry,4(a)(viii),Dichloromethane (DCM),69960
2025/12/15,Finland,2017,2,Production and processing of metals,2(e)(i),Lead and compounds (as Pb),362
2025/12/15,Denmark,2021,5,Waste and wastewater management,5(f),Lead and compounds (as Pb),0
2025/12/15,Switzerland,2015,1,Energy sector,1(a),Benzene,3100
2025/12/15,Denmark,2021,1,Energy sector,1(a),Methane (CH4),2090000
2025/12/15,Romania,2019,2,Production and processing of metals,2(b),Copper and compounds (as Cu),204
2025/12/15,Cyprus,2013,3,Mineral industry,3(c)(i),Carbon dioxide (CO2),1190000000
2025/12/15,Portugal,2019,5,Waste and wastewater management,5(e),Copper and compounds (as Cu),273
2025/12/15,France,2023,2,Production and processing of metals,2(e)(ii),PCDD + PCDF (dioxins + furans) (as Teq),0.000114
2025/12/15,Romania,2023,3,Mineral industry,3(f),Ammonia (NH3),30700
2025/12/15,Belgium,2022,3,Mineral industry,3(g),Fluorine and inorganic compounds (as HF),7630
2025/12/15,Switzerland,2021,1,Energy sector,1(c),Carbon dioxide (CO2),210000000
2025/12/15,Portugal,2011,3,Mineral industry,3(g),Chromium and compounds (as Cr),108
2025/12/15,United Kingdom,2007,3,Mineral industry,3(c),Zinc and compounds (as Zn),1364
2025/12/15,Czechia,2021,6,Paper and wood production and processing,6(b),Carbon dioxide (CO2),310066010
2025/12/15,Italy,2012,9,Other activities,9(a),Tetrachloromethane (TCM),5530
2025/12/15,Netherlands,2012,,,,Carbon dioxide (CO2),1139000000
2025/12/15,Germany,2010,4,Chemical industry,4(b)(i),Hydro-fluorocarbons (HFCS),426
2025/12/15,United Kingdom,2012,3,Mineral industry,3(e),Nitrogen oxides (NOX),10227000
2025/12/15,Norway,2017,4,Chemical industry,4(b)(v),Particulate matter (PM10),100000
2025/12/15,United Kingdom,2010,8,Animal and vegetable products from the food and beverage sector,8(b)(ii),Chlorofluorocarbons (CFCs),30
2025/12/15,Lithuania,2019,4,Chemical industry,4(c),Ammonia (NH3),519400
2025/12/15,France,2007,2,Production and processing of metals,2(e)(ii),Perfluorocarbons (PFCs),55700
2025/12/15,Sweden,2021,8,Animal and vegetable products from the food and beverage sector,8(b),Hydro-fluorocarbons (HFCS),159
