PublicationDate,countryName,reportingYear,EPRTR_SectorCode,EPRTR_SectorName,Pollutant,Releases
2025/12/15,Austria,2012,6,Paper and wood production and processing,"Chloro-alkanes, C10-C13",4.8
2025/12/15,Poland,2011,7,Intensive livestock production and aquaculture,Cadmium and compounds (as Cd),5.3
2025/12/15,France,2016,3,Mineral industry,Mercury and compounds (as Hg),7.029999999999999
2025/12/15,Czechia,2009,5,Waste and wastewater management,Total organic carbon(as total C or COD/3) (TOC),4189300
2025/12/15,United Kingdom,2017,5,Waste and wastewater management,Zinc and compounds (as Zn),206101
2025/12/15,Germany,2019,2,Production and processing of metals,Total organic carbon(as total C or COD/3) (TOC),281900
2025/12/15,Italy,2007,1,Energy sector,Mercury and compounds (as Hg),3737.5
2025/12/15,Finland,2016,5,Waste and wastewater management,Trichloromethane,24
2025/12/15,Norway,2016,5,Waste and wastewater management,Di-(2-ethyl hexyl) phthalate (DEHP),300.1
2025/12/15,Spain,2015,8,Animal and vegetable products from the food and beverage sector,Total organic carbon(as total C or COD/3) (TOC),117500
2025/12/15,Finland,2015,5,Waste and wastewater management,Di-(2-ethyl hexyl) phthalate (DEHP),46.5
2025/12/15,Poland,2014,5,Waste and wastewater management,Halogenated organic compounds (as AOX),13430
2025/12/15,Spain,2016,4,Chemical industry,Cyanides (as total CN),893
2025/12/15,Belgium,2020,4,Chemical industry,Tetrachloromethane (TCM),1.9
2025/12/15,United Kingdom,2017,5,Waste and wastewater management,Asbestos,348.31
2025/12/15,Austria,2013,2,Production and processing of metals,Total organic carbon(as total C or COD/3) (TOC),64800
2025/12/15,Spain,2013,5,Waste and wastewater management,Total nitrogen,46340400
2025/12/15,Italy,2008,1,Energy sector,Lead and compounds (as Pb),1794.1
2025/12/15,Estonia,2013,1,Energy sector,Cadmium and compounds (as Cd),15
2025/12/15,France,2020,6,Paper and wood production and processing,Halogenated organic compounds (as AOX),178880
2025/12/15,Sweden,2020,6,Paper and wood production and processing,Total nitrogen,1495100
2025/12/15,Austria,2012,1,Energy sector,Copper and compounds (as Cu),1360.5
2025/12/15,Germany,2018,5,Waste and wastewater management,Arsenic and compounds (as As),1711.0299999999997
2025/12/15,Germany,2012,5,Waste and wastewater management,Chromium and compounds (as Cr),4810.4
2025/12/15,Serbia,2010,6,Paper and wood production and processing,Zinc and compounds (as Zn),207
2025/12/15,United Kingdom,2008,4,Chemical industry,Xylenes,8434
2025/12/15,Germany,2011,4,Chemical industry,Copper and compounds (as Cu),4866.1
2025/12/15,Italy,2010,6,Paper and wood production and processing,Phenols (as total C),5714.400000000001
2025/12/15,France,2016,1,Energy sector,Mercury and compounds (as Hg),5.95
2025/12/15,United Kingdom,2019,1,Energy sector,Anthracene,2680.9300000000003
2025/12/15,Sweden,2020,5,Waste and wastewater management,Copper and compounds (as Cu),4898.1
2025/12/15,Portugal,2009,5,Waste and wastewater management,Zinc and compounds (as Zn),32980
2025/12/15,Poland,2012,5,Waste and wastewater management,Chromium and compounds (as Cr),2826.5
2025/12/15,United Kingdom,2016,4,Chemical industry,Tetrachloromethane (TCM),39.769999999999996
2025/12/15,Belgium,2012,,,Total phosphorus,28920
2025/12/15,Italy,2021,1,Energy sector,"Benzo(g,h,i)perylene",3.23
2025/12/15,United Kingdom,2016,5,Waste and wastewater management,Lead and compounds (as Pb),5507.100000000001
2025/12/15,France,2014,5,Waste and wastewater management,Arsenic and compounds (as As),2955.0299999999997
2025/12/15,Netherlands,2013,5,Waste and wastewater management,Arsenic and compounds (as As),1446.31
2025/12/15,Netherlands,2008,5,Waste and wastewater management,Lead and compounds (as Pb),1602.3
2025/12/15,United Kingdom,2019,4,Chemical industry,Benzene,1268
2025/12/15,Spain,2008,5,Waste and wastewater management,Total phosphorus,3277780
2025/12/15,France,2015,6,Paper and wood production and processing,Phenols (as total C),19752.6
2025/12/15,Germany,2014,4,Chemical industry,Chromium and compounds (as Cr),8301.1
2025/12/15,Italy,2016,4,Chemical industry,Naphthalene,843.7
2025/12/15,Slovakia,2007,2,Production and processing of metals,Anthracene,7
2025/12/15,Spain,2020,2,Production and processing of metals,Total organic carbon(as total C or COD/3) (TOC),179000
2025/12/15,Spain,2018,2,Production and processing of metals,Mercury and compounds (as Hg),4.890000000000001
2025/12/15,United Kingdom,2012,1,Energy sector,Mercury and compounds (as Hg),375.67
2025/12/15,Poland,2010,5,Waste and wastewater management,Total nitrogen,16953000
2025/12/15,Germany,2017,5,Waste and wastewater management,Fluorides (as total F),538920
2025/12/15,Spain,2021,5,Waste and wastewater management,Nonylphenol and Nonylphenol ethoxylates,126.81000000000002
2025/12/15,Romania,2021,1,Energy sector,Nickel and compounds (as Ni),295.6
2025/12/15,Portugal,2024,3,Mineral industry,Total phosphorus,6230
2025/12/15,Finland,2018,4,Chemical industry,Nickel and compounds (as Ni),158
2025/12/15,Czechia,2018,5,Waste and wastewater management,Total organic carbon(as total C or COD/3) (TOC),2727129.7299999995
2025/12/15,United Kingdom,2010,7,Intensive livestock production and aquaculture,Total organic carbon(as total C or COD/3) (TOC),21589300
2025/12/15,Italy,2014,2,Production and processing of metals,Copper and compounds (as Cu),4233.9
2025/12/15,Germany,2020,5,Waste and wastewater management,Total phosphorus,1063440
2025/12/15,Germany,2017,3,Mineral industry,Halogenated organic compounds (as AOX),1070
2025/12/15,Belgium,2020,5,Waste and wastewater management,Fluorides (as total F),48820
2025/12/15,Norway,2013,7,Intensive livestock production and aquaculture,Copper and compounds (as Cu),3558.4000000000005
2025/12/15,Italy,2010,4,Chemical industry,Chlorides (as total Cl),787560000
2025/12/15,Italy,2016,5,Waste and wastewater management,Tetrachloromethane (TCM),1230.48
2025/12/15,Romania,2017,4,Chemical industry,Total organic carbon(as total C or COD/3) (TOC),3217000
2025/12/15,Germany,2022,9,Other activities,Total organic carbon(as total C or COD/3) (TOC),101300
2025/12/15,France,2009,1,Energy sector,Nickel and compounds (as Ni),1284.1000000000001
2025/12/15,Iceland,2011,2,Production and processing of metals,Total nitrogen,71000
2025/12/15,Denmark,2019,4,Chemical industry,Total organic carbon(as total C or COD/3) (TOC),245
2025/12/15,Sweden,2022,5,Waste and wastewater management,Chlorides (as total Cl),27960000
2025/12/15,Italy,2010,4,Chemical industry,Tetrachloroethylene,117.5
2025/12/15,Iceland,2012,5,Waste and wastewater management,Lead and compounds (as Pb),157
2025/12/15,Bulgaria,2007,1,Energy sector,Chromium and compounds (as Cr),6679.9
2025/12/15,France,2016,,,Chlorides (as total Cl),9730000
2025/12/15,Czechia,2007,5,Waste and wastewater management,Total nitrogen,3895700
2025/12/15,Germany,2017,5,Waste and wastewater management,Cadmium and compounds (as Cd),234.87
2025/12/15,Germany,2013,8,Animal and vegetable products from the food and beverage sector,Halogenated organic compounds (as AOX),1150
2025/12/15,Germany,2015,2,Production and processing of metals,Zinc and compounds (as Zn),15873
2025/12/15,Slovakia,2015,4,Chemical industry,Mercury and compounds (as Hg),153
2025/12/15,Spain,2024,5,Waste and wastewater management,Cyanides (as total CN),6245.4
2025/12/15,Poland,2011,1,Energy sector,Cyanides (as total CN),192.4
2025/12/15,France,2009,,,Chromium and compounds (as Cr),232
2025/12/15,Germany,2022,3,Mineral industry,Chromium and compounds (as Cr),881.8
2025/12/15,Netherlands,2013,,,Total organic carbon(as total C or COD/3) (TOC),231300
2025/12/15,France,2007,6,Paper and wood production and processing,Trichloromethane,112.1
2025/12/15,Poland,2024,6,Paper and wood production and processing,Zinc and compounds (as Zn),2835
2025/12/15,Poland,2024,6,Paper and wood production and processing,Chlorides (as total Cl),5600000
2025/12/15,Bulgaria,2018,5,Waste and wastewater management,Fluorides (as total F),7.11
2025/12/15,Norway,2010,2,Production and processing of metals,Cyanides (as total CN),7212
2025/12/15,Belgium,2010,5,Waste and wastewater management,Octylphenols and Octylphenol ethoxylates,53.8
2025/12/15,Italy,2014,4,Chemical industry,Lead and compounds (as Pb),5663.6
2025/12/15,Poland,2023,4,Chemical industry,Halogenated organic compounds (as AOX),19500
2025/12/15,Czechia,2013,6,Paper and wood production and processing,Total organic carbon(as total C or COD/3) (TOC),1428000
2025/12/15,Slovakia,2008,2,Production and processing of metals,Phenols (as total C),470
2025/12/15,Germany,2008,1,Energy sector,Total nitrogen,3325800
2025/12/15,Norway,2011,7,Intensive livestock production and aquaculture,Total organic carbon(as total C or COD/3) (TOC),178613900
2025/12/15,Slovenia,2021,2,Production and processing of metals,Lead and compounds (as Pb),26.45
2025/12/15,Germany,2024,4,Chemical industry,Total phosphorus,138760
2025/12/15,Hungary,2013,8,Animal and vegetable products from the food and beverage sector,Total phosphorus,7840
2025/12/15,Czechia,2010,1,Energy sector,Benzene,329
2025/12/15,Serbia,2022,5,Waste and wastewater management,Phenols (as total C),35339.4
2025/12/15,Croatia,2018,1,Energy sector,Phenols (as total C),257.3
2025/12/15,Belgium,2012,5,Waste and wastewater management,Brominated diphenylethers (PBDE),6.25
2025/12/15,Czechia,2009,,,Di-(2-ethyl hexyl) phthalate (DEHP),2.83
2025/12/15,Poland,2014,5,Waste and wastewater management,Trichlorobenzenes (TCB),76.98
2025/12/15,France,2019,5,Waste and wastewater management,Arsenic and compounds (as As),577.69
2025/12/15,Slovakia,2011,1,Energy sector,Anthracene,5.93
2025/12/15,Italy,2009,5,Waste and wastewater management,Dichloromethane (DCM),1414.1999999999998
2025/12/15,Spain,2021,5,Waste and wastewater management,Polycyclic aromatic hydrocarbons (PAHs),169.92000000000002
2025/12/15,Spain,2014,2,Production and processing of metals,Phenols (as total C),3710
2025/12/15,Spain,2013,4,Chemical industry,Nickel and compounds (as Ni),1134.2
2025/12/15,Czechia,2013,5,Waste and wastewater management,Atrazine,1.01
2025/12/15,Czechia,2022,4,Chemical industry,Chlorides (as total Cl),2871862
2025/12/15,Finland,2008,2,Production and processing of metals,Arsenic and compounds (as As),679.29
2025/12/15,Portugal,2008,6,Paper and wood production and processing,Chlorides (as total Cl),26850000
2025/12/15,France,2012,2,Production and processing of metals,Trichloromethane,137.3
2025/12/15,Greece,2015,5,Waste and wastewater management,Total phosphorus,819100
2025/12/15,Belgium,2014,2,Production and processing of metals,Chlorides (as total Cl),11120000
2025/12/15,France,2007,,,Copper and compounds (as Cu),1392.2
2025/12/15,Ireland,2012,3,Mineral industry,Zinc and compounds (as Zn),8517
2025/12/15,Sweden,2024,3,Mineral industry,Lead and compounds (as Pb),104.5
2025/12/15,Romania,2024,1,Energy sector,Mercury and compounds (as Hg),1.96
2025/12/15,Slovakia,2019,5,Waste and wastewater management,Total nitrogen,1187800
2025/12/15,Switzerland,2020,4,Chemical industry,Mercury and compounds (as Hg),0.585
2025/12/15,Portugal,2013,1,Energy sector,Lead and compounds (as Pb),377
2025/12/15,Slovakia,2019,6,Paper and wood production and processing,Total organic carbon(as total C or COD/3) (TOC),1221000
2025/12/15,Poland,2011,2,Production and processing of metals,Arsenic and compounds (as As),33.2
2025/12/15,Germany,2017,4,Chemical industry,Cyanides (as total CN),3921.6
2025/12/15,Serbia,2021,9,Other activities,Nickel and compounds (as Ni),28.3
2025/12/15,Bulgaria,2022,1,Energy sector,Zinc and compounds (as Zn),1437
2025/12/15,Ireland,2022,5,Waste and wastewater management,Cadmium and compounds (as Cd),38.58
2025/12/15,Germany,2023,2,Production and processing of metals,Mercury and compounds (as Hg),5
2025/12/15,Hungary,2011,5,Waste and wastewater management,Lead and compounds (as Pb),889
2025/12/15,Germany,2013,3,Mineral industry,Copper and compounds (as Cu),2605
2025/12/15,France,2009,,,Nonylphenol and Nonylphenol ethoxylates,24.1
2025/12/15,Czechia,2008,4,Chemical industry,Lead and compounds (as Pb),63.4
2025/12/15,Spain,2009,5,Waste and wastewater management,"Chloro-alkanes, C10-C13",2.09
2025/12/15,Austria,2011,5,Waste and wastewater management,Copper and compounds (as Cu),2320
