PublicationDate,countryName,reportingYear,EPRTR_SectorCode,EPRTR_SectorName,EPRTRAnnexIMainActivity,Pollutant,Releases
2025/12/15,Germany,2008,4,Chemical industry,4(a)(ii),Halogenated organic compounds (as AOX),17400
2025/12/15,Netherlands,2016,5,Waste and wastewater management,5(f),Total organic carbon(as total C or COD/3) (TOC),9278500
2025/12/15,United Kingdom,2008,8,Animal and vegetable products from the food and beverage sector,8(b)(ii),Total organic carbon(as total C or COD/3) (TOC),10627000
2025/12/15,Italy,2017,5,Waste and wastewater management,5(f),Arsenic and compounds (as As),8644.27
2025/12/15,United Kingdom,2011,1,Energy sector,1(c),Zinc and compounds (as Zn),20324
2025/12/15,Austria,2014,8,Animal and vegetable products from the food and beverage sector,8(b),Total nitrogen,121000
2025/12/15,France,2024,5,Waste and wastewater management,5(f),Lead and compounds (as Pb),1127.700002
2025/12/15,Italy,2007,5,Waste and wastewater management,5(a),Chromium and compounds (as Cr),483
2025/12/15,Germany,2014,1,Energy sector,1(c),Lead and compounds (as Pb),202.5
2025/12/15,Germany,2018,5,Waste and wastewater management,5(b),Isoproturon,2.71
2025/12/15,Germany,2014,4,Chemical industry,4(b)(v),Chlorides (as total Cl),13700000
2025/12/15,Belgium,2012,4,Chemical industry,4(a)(iii),Arsenic and compounds (as As),17.6
2025/12/15,Czechia,2013,5,Waste and wastewater management,5(f),Nonylphenol and Nonylphenol ethoxylates,58.400000000000006
2025/12/15,Sweden,2009,2,Production and processing of metals,2(e)(i),Fluorides (as total F),40800
2025/12/15,Netherlands,2015,4,Chemical industry,4(a)(i),Total phosphorus,12800
2025/12/15,Poland,2011,3,Mineral industry,3(b),Copper and compounds (as Cu),610.3000000000001
2025/12/15,France,2021,6,Paper and wood production and processing,6(b),Total organic carbon(as total C or COD/3) (TOC),2814100
2025/12/15,France,2015,4,Chemical industry,4(e),Halogenated organic compounds (as AOX),1820
2025/12/15,Spain,2016,5,Waste and wastewater management,5(f),Arsenic and compounds (as As),1072.29
2025/12/15,Norway,2011,3,Mineral industry,3(a),Isoproturon,210616
2025/12/15,United Kingdom,2010,6,Paper and wood production and processing,6(b),Cadmium and compounds (as Cd),31.14
2025/12/15,Germany,2022,4,Chemical industry,4(a)(ii),Halogenated organic compounds (as AOX),10600
2025/12/15,Spain,2017,4,Chemical industry,4(b)(i),Chlorides (as total Cl),104760000
2025/12/15,Spain,2017,6,Paper and wood production and processing,6(a),Mercury and compounds (as Hg),11.319999999999999
