PublicationDate,countryName,reportingYear,Pollutant,transfers
2025/12/15,Austria,2007,Toluene,1995
2025/12/15,Austria,2009,Total phosphorus,105800
2025/12/15,Austria,2009,Trichloromethane,53.5
2025/12/15,Austria,2010,"Benzo(g,h,i)perylene",39.82
2025/12/15,Austria,2010,Mercury and compounds (as Hg),1.9
2025/12/15,Austria,2010,Toluene,8800
2025/12/15,Austria,2012,Total phosphorus,170780
2025/12/15,Austria,2013,"Benzo(g,h,i)perylene",39.9
2025/12/15,Austria,2013,Mercury and compounds (as Hg),2.25
2025/12/15,Austria,2013,Toluene,4860
2025/12/15,Austria,2015,Total phosphorus,195570
2025/12/15,Austria,2015,Xylenes,5160
2025/12/15,Austria,2016,Cadmium and compounds (as Cd),19.4
2025/12/15,Austria,2017,"Chloro-alkanes, C10-C13",12.3
2025/12/15,Austria,2018,Total nitrogen,1148500
2025/12/15,Austria,2018,Xylenes,4330
2025/12/15,Austria,2019,Cadmium and compounds (as Cd),20.3
2025/12/15,Austria,2020,"Chloro-alkanes, C10-C13",13.6
2025/12/15,Austria,2020,Polycyclic aromatic hydrocarbons (PAHs),796.1
2025/12/15,Austria,2021,Total nitrogen,1188500
2025/12/15,Austria,2021,Xylenes,4530
2025/12/15,Austria,2022,Cadmium and compounds (as Cd),23.1
2025/12/15,Austria,2023,"Chloro-alkanes, C10-C13",12.9
2025/12/15,Austria,2023,Polycyclic aromatic hydrocarbons (PAHs),859.8
2025/12/15,Austria,2024,Total nitrogen,677700
2025/12/15,Austria,2024,Xylenes,4190
2025/12/15,Belgium,2008,Total nitrogen,284900
2025/12/15,Belgium,2009,Asbestos,699
2025/12/15,Belgium,2009,Cadmium and compounds (as Cd),10.9
2025/12/15,Belgium,2010,Brominated diphenylethers (PBDE),7.83
2025/12/15,Belgium,2010,Polycyclic aromatic hydrocarbons (PAHs),105
2025/12/15,Belgium,2011,Total nitrogen,187900
2025/12/15,Belgium,2012,Cadmium and compounds (as Cd),16.93
2025/12/15,Belgium,2014,Total nitrogen,143900
2025/12/15,Belgium,2015,Cadmium and compounds (as Cd),9.2
2025/12/15,Belgium,2017,Copper and compounds (as Cu),766.3
2025/12/15,Belgium,2018,Di-(2-ethyl hexyl) phthalate (DEHP),5510
2025/12/15,Belgium,2019,Pentachlorophenol (PCP),14.2
2025/12/15,Belgium,2020,Copper and compounds (as Cu),57.1
2025/12/15,Belgium,2021,Pentachlorobenzene,9.47
2025/12/15,Belgium,2021,Polychlorinated biphenyls (PCBs),42.6
2025/12/15,Belgium,2022,Pentachlorophenol (PCP),5.3
2025/12/15,Belgium,2023,Copper and compounds (as Cu),184.3
2025/12/15,Belgium,2023,Zinc and compounds (as Zn),338
2025/12/15,Belgium,2024,Halogenated organic compounds (as AOX),1500
2025/12/15,Bulgaria,2007,Total organic carbon(as total C or COD/3) (TOC),1270000
2025/12/15,Bulgaria,2009,Arsenic and compounds (as As),40
2025/12/15,Bulgaria,2010,Lead and compounds (as Pb),181
2025/12/15,Bulgaria,2010,Total organic carbon(as total C or COD/3) (TOC),5049000
2025/12/15,Bulgaria,2011,Fluorides (as total F),167000
2025/12/15,Bulgaria,2012,Arsenic and compounds (as As),99
2025/12/15,Bulgaria,2012,Nickel and compounds (as Ni),221
2025/12/15,Bulgaria,2013,Lead and compounds (as Pb),193
2025/12/15,Bulgaria,2015,Arsenic and compounds (as As),18.4
2025/12/15,Bulgaria,2016,Lead and compounds (as Pb),890.1
2025/12/15,Bulgaria,2019,Lead and compounds (as Pb),45
2025/12/15,Bulgaria,2020,Fluorides (as total F),432725
2025/12/15,Croatia,2017,Arsenic and compounds (as As),24.55
2025/12/15,Croatia,2018,Lead and compounds (as Pb),33.8
2025/12/15,Cyprus,2015,Phenols (as total C),40.8
2025/12/15,Cyprus,2021,Total organic carbon(as total C or COD/3) (TOC),1643400
2025/12/15,Czechia,2007,Nickel and compounds (as Ni),3131
2025/12/15,Czechia,2007,Tetrachloromethane (TCM),22
2025/12/15,Czechia,2008,Ethyl benzene,201
2025/12/15,Czechia,2008,Phenols (as total C),386916
2025/12/15,Czechia,2008,Tetrachloroethylene,26.4
2025/12/15,Czechia,2008,Total organic carbon(as total C or COD/3) (TOC),3189400
2025/12/15,Czechia,2009,Cyanides (as total CN),7900
2025/12/15,Czechia,2009,Dichloromethane (DCM),16
2025/12/15,Czechia,2009,Polycyclic aromatic hydrocarbons (PAHs),14.24
2025/12/15,Czechia,2010,Arsenic and compounds (as As),135.60999999999999
2025/12/15,Czechia,2010,Nickel and compounds (as Ni),5125.2
2025/12/15,Czechia,2010,Tetrachloromethane (TCM),33
2025/12/15,Czechia,2011,"1,2-dichloroethane (DCE-1,2)",17.4
2025/12/15,Czechia,2011,Lead and compounds (as Pb),161.1
2025/12/15,Czechia,2011,Total organic carbon(as total C or COD/3) (TOC),4520000
2025/12/15,Czechia,2012,Dichloromethane (DCM),56.3
2025/12/15,Czechia,2012,Fluorides (as total F),19610
2025/12/15,Czechia,2012,Polycyclic aromatic hydrocarbons (PAHs),7.3
2025/12/15,Czechia,2013,Arsenic and compounds (as As),19.21
2025/12/15,Czechia,2013,Chlorides (as total Cl),39600000
2025/12/15,Czechia,2013,Nickel and compounds (as Ni),5720.4
2025/12/15,Czechia,2013,Tetrachloromethane (TCM),23
2025/12/15,Czechia,2014,"1,2-dichloroethane (DCE-1,2)",20.1
2025/12/15,Czechia,2014,Ethyl benzene,353
2025/12/15,Czechia,2014,Lead and compounds (as Pb),507.9
2025/12/15,Czechia,2015,Fluorides (as total F),15920
2025/12/15,Czechia,2015,Naphthalene,467.9
2025/12/15,Czechia,2015,Polycyclic aromatic hydrocarbons (PAHs),72.5
2025/12/15,Czechia,2016,Arsenic and compounds (as As),69.8
2025/12/15,Czechia,2016,Chlorides (as total Cl),49430000
2025/12/15,Czechia,2017,"1,2-dichloroethane (DCE-1,2)",14.7
2025/12/15,Czechia,2017,Lead and compounds (as Pb),6494
2025/12/15,Czechia,2018,Fluorides (as total F),99123.384
2025/12/15,Czechia,2019,Arsenic and compounds (as As),13.560400000000001
2025/12/15,Czechia,2019,Chlorides (as total Cl),55170033.8
2025/12/15,Czechia,2020,Lead and compounds (as Pb),5986.90904
2025/12/15,Czechia,2021,Fluorides (as total F),103128.888
2025/12/15,Czechia,2022,Chlorides (as total Cl),30818342.9
2025/12/15,Denmark,2007,Total phosphorus,276890
2025/12/15,Denmark,2015,Polycyclic aromatic hydrocarbons (PAHs),420.4
2025/12/15,Denmark,2016,Arsenic and compounds (as As),30
2025/12/15,Denmark,2018,Polycyclic aromatic hydrocarbons (PAHs),53.84
2025/12/15,Denmark,2019,Arsenic and compounds (as As),7.540589999999999
2025/12/15,Denmark,2019,Nickel and compounds (as Ni),36.6105
2025/12/15,Denmark,2020,Cadmium and compounds (as Cd),0.45583000000000007
2025/12/15,Denmark,2020,Chlorine and inorganic compounds (as HCl),7392
2025/12/15,Denmark,2020,Ethyl benzene,0
2025/12/15,Denmark,2021,Polycyclic aromatic hydrocarbons (PAHs),249
2025/12/15,Denmark,2022,Arsenic and compounds (as As),13.477967
2025/12/15,Denmark,2022,Chlorides (as total Cl),8137691.443299999
2025/12/15,Denmark,2022,Copper and compounds (as Cu),41.356019
2025/12/15,Denmark,2022,Nickel and compounds (as Ni),76.57377699999996
2025/12/15,Denmark,2023,Chlorine and inorganic compounds (as HCl),14703.7
2025/12/15,Denmark,2023,Di-(2-ethyl hexyl) phthalate (DEHP),4.1282
2025/12/15,Denmark,2024,Fluorides (as total F),1.531
2025/12/15,Denmark,2024,Polycyclic aromatic hydrocarbons (PAHs),38.8
2025/12/15,Finland,2007,Copper and compounds (as Cu),533
2025/12/15,Finland,2007,Zinc and compounds (as Zn),619
2025/12/15,Finland,2008,Total phosphorus,302060
2025/12/15,Finland,2009,Phenols (as total C),18077.1
2025/12/15,Finland,2010,Cyanides (as total CN),2340
2025/12/15,Finland,2010,Zinc and compounds (as Zn),364
2025/12/15,Finland,2011,Total phosphorus,311030
2025/12/15,Finland,2012,Phenols (as total C),24644.6
2025/12/15,Finland,2012,Toluene,779
2025/12/15,Finland,2013,Cyanides (as total CN),1140
2025/12/15,Finland,2015,Phenols (as total C),27919.3
2025/12/15,Finland,2015,Total organic carbon(as total C or COD/3) (TOC),10948700
2025/12/15,Finland,2017,Nickel and compounds (as Ni),297.6
2025/12/15,Finland,2017,Xylenes,203
2025/12/15,Finland,2018,Phenols (as total C),33325
2025/12/15,Finland,2018,Total organic carbon(as total C or COD/3) (TOC),7478200
2025/12/15,Finland,2020,Arsenic and compounds (as As),34.99
2025/12/15,Finland,2020,Nickel and compounds (as Ni),203
2025/12/15,Finland,2021,Cadmium and compounds (as Cd),5.4
2025/12/15,Finland,2021,Total organic carbon(as total C or COD/3) (TOC),8130100
2025/12/15,Finland,2022,Pentachlorophenol (PCP),24
2025/12/15,Finland,2023,Arsenic and compounds (as As),101.97
2025/12/15,Finland,2023,Nickel and compounds (as Ni),152.8
2025/12/15,Finland,2023,Xylenes,330
2025/12/15,Finland,2024,Cadmium and compounds (as Cd),9
2025/12/15,France,2007,Naphthalene,29
2025/12/15,France,2009,Chromium and compounds (as Cr),13156.9
2025/12/15,France,2012,Chromium and compounds (as Cr),32891
2025/12/15,France,2012,Mercury and compounds (as Hg),25.939999999999998
2025/12/15,France,2014,Trichloromethane,766.1
2025/12/15,France,2015,Chromium and compounds (as Cr),17042
2025/12/15,France,2015,Mercury and compounds (as Hg),33.86
2025/12/15,France,2015,Tetrachloroethylene,133.9
2025/12/15,France,2017,Trichloromethane,373.59999999999997
2025/12/15,France,2018,Chromium and compounds (as Cr),16729
2025/12/15,France,2018,Mercury and compounds (as Hg),6.8
2025/12/15,France,2020,Trichloromethane,362.799999
2025/12/15,France,2020,Xylenes,0.44
2025/12/15,France,2021,Cadmium and compounds (as Cd),67.499998
2025/12/15,France,2021,Mercury and compounds (as Hg),17.74
2025/12/15,France,2021,Tetrachloroethylene,12
2025/12/15,France,2023,Total nitrogen,3399700
2025/12/15,France,2023,Trichloromethane,87.30000100000001
2025/12/15,France,2024,Cadmium and compounds (as Cd),52.669999000000004
2025/12/15,Germany,2007,Chromium and compounds (as Cr),4336.1
2025/12/15,Germany,2007,Mercury and compounds (as Hg),2327.38
2025/12/15,Germany,2009,Organotin compounds (as total Sn),1520
2025/12/15,Germany,2009,PCDD + PCDF (dioxins + furans) (as Teq),0.0011510000000000001
2025/12/15,Germany,2009,Trichloromethane,68.1
2025/12/15,Germany,2010,Chromium and compounds (as Cr),3219.8
2025/12/15,Germany,2010,Mercury and compounds (as Hg),643.36
2025/12/15,Germany,2012,PCDD + PCDF (dioxins + furans) (as Teq),0.0015530000000000001
2025/12/15,Germany,2012,Trichloromethane,13.4
2025/12/15,Germany,2013,Chromium and compounds (as Cr),2550.9
2025/12/15,Germany,2013,Mercury and compounds (as Hg),422.1
2025/12/15,Germany,2015,Trichloromethane,37.1
2025/12/15,Germany,2015,Xylenes,2950
2025/12/15,Germany,2016,Mercury and compounds (as Hg),980.34
2025/12/15,Germany,2017,Fluoranthene,55.2
2025/12/15,Germany,2018,Total nitrogen,12066900
2025/12/15,Germany,2018,Xylenes,4316.4
2025/12/15,Germany,2020,Fluoranthene,3.46
