PublicationDate,countryName,reportingYear,EPRTR_SectorCode,EPRTR_SectorName,EPRTRAnnexIMainActivity,FacilityInspireId,facilityName,city,Longitude,Latitude,addressConfidentialityReason,Pollutant,transfers,confidentialityReason
2025/12/15,Austria,2007,1,Energy sector,1(a),AT.CAED/9008390661741.FACILITY,OMV Downstream GmbH,Schwechat,16.493889,48.144722,,Total organic carbon(as total C or COD/3) (TOC),331000,
2025/12/15,Austria,2007,2,Production and processing of metals,2(b),AT.CAED/9008390731697.FACILITY,voestalpine Stahl GmbH,Linz,14.34,48.284,,Nickel and compounds (as Ni),24.7,
2025/12/15,Austria,2007,2,Production and processing of metals,2(b),AT.CAED/9008390731697.FACILITY,voestalpine Stahl GmbH,Linz,14.34,48.284,,Total nitrogen,313000,
2025/12/15,Austria,2007,4,Chemical industry,4(a),AT.CAED/9008390705353.FACILITY,Lenzing Aktiengesellschaft,Lenzing,13.616,47.979,,Fluorides (as total F),7810,
2025/12/15,Austria,2007,4,Chemical industry,4(e),AT.EEA/20000.00191.FACILITY,Fresenius Kabi Austria GmbH,Linz,14.325611,48.30633,,Total organic carbon(as total C or COD/3) (TOC),200000,
2025/12/15,Austria,2007,6,Paper and wood production and processing,6(b),AT.CAED/9008390952283.FACILITY,EMACS Steyrermühl GmbH,Laakirchen,13.816667,47.983333,,Total organic carbon(as total C or COD/3) (TOC),3400000,
2025/12/15,Austria,2007,6,Paper and wood production and processing,6(b),AT.CAED/9008390975022.FACILITY,GANAHL AKTIENGESELLSCHAFT,Frastanz,9.639167,47.217222,,Total organic carbon(as total C or COD/3) (TOC),946000,
2025/12/15,Austria,2007,8,Animal and vegetable products from the food and beverage sector,8(a),AT.CAED/9008390932193.FACILITY,Herbert Handlbauer GmbH,Linz,14.302472,48.312778,,Total phosphorus,5100,
2025/12/15,Austria,2007,8,Animal and vegetable products from the food and beverage sector,8(b),AT.EEA/20000.00630.FACILITY,Rauch Fruchtsäfte GmbH & Co,Rankweil,9.636667,47.269444,,Total organic carbon(as total C or COD/3) (TOC),676000,
2025/12/15,Austria,2008,4,Chemical industry,4(a),AT.CAED/9008390237748.FACILITY,Allnex Austria GmbH,Werndorf,15.466667,46.916667,,Total organic carbon(as total C or COD/3) (TOC),89700,
