PublicationDate,countryName,reportingYear,wasteTreatment,wasteClassification,wasteTransfers
2025/12/15,Belgium,2007,Recovery,HW,807958.491
2025/12/15,Switzerland,2016,Disposal,NONHW,778938.5
2025/12/15,Germany,2016,Recovery,HW,9767975.307030002
2025/12/15,Serbia,2020,Disposal,HW,11629
2025/12/15,Lithuania,2021,Disposal,HW,1081.587
2025/12/15,Greece,2007,Disposal,NONHW,2249382.5
2025/12/15,Ireland,2021,Disposal,NONHW,1640364.3387999998
2025/12/15,Spain,2008,Recovery,HW,1109512.1271000002
2025/12/15,Denmark,2009,Disposal,HW,226889.80899999998
2025/12/15,United Kingdom,2007,Recovery,HW,1193687.405
2025/12/15,Estonia,2021,Recovery,NONHW,661100.28
2025/12/15,Luxembourg,2014,Disposal,HW,4729.915999999999
2025/12/15,Slovakia,2008,Disposal,NONHW,859858.3089999999
2025/12/15,Malta,2013,Disposal,NONHW,27902.6
2025/12/15,Bulgaria,2019,Disposal,NONHW,7849747
2025/12/15,Netherlands,2024,Recovery,HW,1888857.5890000002
2025/12/15,Portugal,2020,Disposal,NONHW,307793.11405000003
2025/12/15,Croatia,2021,Recovery,NONHW,451679.1
2025/12/15,Finland,2024,Recovery,NONHW,14338718.940000001
2025/12/15,Belgium,2020,Disposal,HW,1258525.163
2025/12/15,Sweden,2008,Disposal,NONHW,892222.62
2025/12/15,Portugal,2014,Disposal,HW,100583.49989999998
2025/12/15,Hungary,2008,Recovery,NONHW,1212624.98
2025/12/15,Czechia,2020,Recovery,HW,3257370.227618
2025/12/15,Luxembourg,2013,Recovery,HW,43227.556000000004
2025/12/15,Belgium,2015,Disposal,HW,707662.9959999999
2025/12/15,Estonia,2013,Recovery,HW,748155.854
2025/12/15,Hungary,2011,Disposal,NONHW,783471.05
2025/12/15,Germany,2010,Recovery,HW,8288492.793010001
2025/12/15,Hungary,2012,Disposal,NONHW,278660
2025/12/15,Serbia,2022,Recovery,HW,47114.680960000005
2025/12/15,Sweden,2021,Disposal,HW,333528.44000000006
2025/12/15,Croatia,2014,Recovery,NONHW,239884.41
2025/12/15,Bulgaria,2017,Recovery,NONHW,870440
2025/12/15,Austria,2019,Disposal,NONHW,1786062.3900000001
2025/12/15,Germany,2008,Disposal,NONHW,10195432.576000001
2025/12/15,Belgium,2022,Disposal,HW,1012581.8209999999
2025/12/15,Greece,2020,Disposal,NONHW,104919
2025/12/15,Germany,2021,Disposal,NONHW,14710770.848019999
2025/12/15,Malta,2018,Disposal,HW,3071.162
2025/12/15,Finland,2008,Recovery,NONHW,5425335.96
2025/12/15,Finland,2017,Recovery,NONHW,7948314.085
2025/12/15,Malta,2008,Disposal,HW,1044.1000000000001
2025/12/15,Romania,2010,Recovery,NONHW,4968734.6
2025/12/15,Slovenia,2016,Recovery,HW,36323.238
2025/12/15,Slovenia,2023,Recovery,HW,56688.936
2025/12/15,Latvia,2010,Recovery,NONHW,72160
2025/12/15,Slovakia,2015,Recovery,HW,43807.8194
2025/12/15,Lithuania,2012,Recovery,NONHW,49750
2025/12/15,Denmark,2014,Disposal,NONHW,171111.2
2025/12/15,United Kingdom,2009,Recovery,NONHW,41667185.45999999
2025/12/15,Slovenia,2016,Disposal,NONHW,323593.45
2025/12/15,Austria,2010,Disposal,HW,259585.92500000002
2025/12/15,Slovenia,2012,Recovery,HW,26321.089
2025/12/15,Poland,2024,Recovery,HW,617531.4799999999
2025/12/15,Portugal,2024,Recovery,NONHW,2582834.9917
2025/12/15,Poland,2023,Disposal,HW,250400.90039999998
2025/12/15,Slovakia,2007,Recovery,HW,41789.889
2025/12/15,Estonia,2016,Recovery,NONHW,407459
2025/12/15,Romania,2015,Disposal,HW,31003.685
2025/12/15,Iceland,2014,Disposal,NONHW,304
2025/12/15,Lithuania,2011,Recovery,NONHW,56480
2025/12/15,Denmark,2021,Recovery,NONHW,2851703.165
2025/12/15,Belgium,2023,Disposal,NONHW,2032104.1500000001
2025/12/15,Iceland,2011,Recovery,NONHW,87900
2025/12/15,Netherlands,2010,Disposal,NONHW,222284351.40199998
2025/12/15,Iceland,2013,Disposal,NONHW,318
2025/12/15,Malta,2021,Disposal,HW,5436.939999999997
2025/12/15,Greece,2017,Disposal,NONHW,1829609.4
2025/12/15,Luxembourg,2016,Recovery,NONHW,297000
2025/12/15,Slovakia,2018,Disposal,NONHW,627377.37
2025/12/15,France,2019,Recovery,HW,1998398.7112889993
2025/12/15,Denmark,2015,Recovery,HW,223373.16999999998
2025/12/15,Hungary,2016,Disposal,NONHW,1905180
2025/12/15,Slovakia,2010,Recovery,HW,23654.214
2025/12/15,Spain,2019,Disposal,HW,928159.6004100002
2025/12/15,Sweden,2011,Disposal,NONHW,2080720.82
2025/12/15,United Kingdom,2014,Recovery,HW,1830665.2713
2025/12/15,Italy,2018,Disposal,NONHW,16175431.277299998
2025/12/15,Romania,2008,Recovery,NONHW,4454989.8
2025/12/15,Germany,2023,Disposal,HW,5093823.414500001
2025/12/15,Luxembourg,2015,Recovery,HW,47406.947
2025/12/15,Finland,2017,Disposal,HW,712974.495
2025/12/15,Iceland,2009,Disposal,HW,3667
2025/12/15,Serbia,2014,Recovery,HW,14229
2025/12/15,Spain,2021,Recovery,HW,1217320.4067
2025/12/15,Poland,2010,Recovery,HW,334825.4621
2025/12/15,Switzerland,2012,Disposal,NONHW,802983.1
2025/12/15,Hungary,2021,Recovery,NONHW,2263629.56
2025/12/15,Ireland,2015,Disposal,HW,80939.56510000002
2025/12/15,Estonia,2023,Recovery,NONHW,572404
2025/12/15,Luxembourg,2023,Recovery,NONHW,510670
2025/12/15,Switzerland,2010,Disposal,NONHW,833081.7
2025/12/15,Belgium,2010,Recovery,NONHW,13224959.279
2025/12/15,Romania,2011,Disposal,NONHW,3604926.08
2025/12/15,Hungary,2014,Recovery,NONHW,3152970
2025/12/15,Greece,2019,Recovery,HW,209472.822
2025/12/15,Serbia,2018,Disposal,NONHW,497210
2025/12/15,Romania,2021,Disposal,HW,47730.312999999995
2025/12/15,Hungary,2023,Recovery,HW,81130.84599999999
2025/12/15,Norway,2007,Recovery,HW,91531.6
2025/12/15,Finland,2014,Recovery,HW,205194.9
2025/12/15,Portugal,2017,Disposal,NONHW,223093.753
2025/12/15,Switzerland,2013,Disposal,NONHW,756855.1
2025/12/15,Serbia,2020,Recovery,NONHW,568137
2025/12/15,Belgium,2016,Recovery,NONHW,13236408.53
2025/12/15,Belgium,2013,Disposal,HW,645228.8339999998
2025/12/15,Belgium,2009,Disposal,HW,393805.192
2025/12/15,Serbia,2024,Recovery,NONHW,983102.1560000002
2025/12/15,Sweden,2015,Recovery,HW,476646.89600000007
2025/12/15,Denmark,2014,Recovery,NONHW,2495469.6
2025/12/15,Latvia,2010,Disposal,HW,617
2025/12/15,Poland,2013,Recovery,NONHW,65637157.18
2025/12/15,France,2008,Disposal,HW,1945061.1341
2025/12/15,Switzerland,2018,Recovery,NONHW,610801
2025/12/15,Greece,2015,Disposal,NONHW,1689368.22
2025/12/15,Germany,2016,Disposal,HW,3778347.4063000004
2025/12/15,Cyprus,2010,Disposal,HW,63
