PublicationDate,countryName,reportingYear,featureType,unit,featureValue
2025/12/15,Czechia,2017,Installed capacity,MW,43427.579999999994
2025/12/15,Sweden,2021,NOX,tonnes,14530.243999999999
2025/12/15,Sweden,2021,SO2,tonnes,2050.91543
2025/12/15,Hungary,2019,Peat,TJ,0
2025/12/15,Cyprus,2020,SO2,tonnes,10055.61
2025/12/15,Austria,2022,NaturalGas,TJ,86853.33333899999
2025/12/15,France,2022,Biomass,TJ,76546.53661499999
2025/12/15,Poland,2018,NaturalGas,TJ,95879.84899999999
2025/12/15,Poland,2021,LiquidFuels,TJ,39708.143000000004
2025/12/15,Serbia,2024,Coal,TJ,3218.61
2025/12/15,Sweden,2020,NaturalGas,TJ,1334.48
2025/12/15,Portugal,2024,Biomass,TJ,25842.0946196
2025/12/15,Finland,2023,Installed capacity,MW,26124.8
2025/12/15,Lithuania,2022,Installed capacity,MW,12063.4
2025/12/15,Ireland,2017,DUST,tonnes,294.66499999999996
2025/12/15,Slovenia,2020,NOX,tonnes,2691.137
2025/12/15,Germany,2018,Lignite,TJ,805481.5950000001
2025/12/15,Bulgaria,2017,Lignite,TJ,193953
2025/12/15,Sweden,2023,LiquidFuels,TJ,5566.109999999999
2025/12/15,Bulgaria,2016,LiquidFuels,TJ,0
2025/12/15,Croatia,2017,Installed capacity,MW,7460.1140000000005
2025/12/15,France,2024,NOX,tonnes,31378.142105000003
2025/12/15,Poland,2023,OtherSolidFuels,TJ,0
2025/12/15,Denmark,2024,Peat,TJ,0
2025/12/15,Netherlands,2017,Lignite,TJ,0
2025/12/15,Romania,2017,Peat,TJ,0
2025/12/15,Cyprus,2018,Lignite,TJ,0
2025/12/15,Romania,2020,Installed capacity,MW,31430.002
2025/12/15,Croatia,2020,SO2,tonnes,585.3315
2025/12/15,Finland,2023,DUST,tonnes,229.15390000000002
2025/12/15,Greece,2016,DUST,tonnes,3258.0118724490003
2025/12/15,Ireland,2019,Peat,TJ,17986.340000000004
2025/12/15,Austria,2016,Lignite,TJ,0
2025/12/15,Sweden,2018,Lignite,TJ,0
2025/12/15,United Kingdom,2018,OtherSolidFuels,TJ,0
2025/12/15,Finland,2017,Lignite,TJ,0
2025/12/15,Romania,2024,Peat,TJ,0
2025/12/15,Poland,2020,OtherGases,TJ,35000.62358000001
2025/12/15,Greece,2023,Biomass,TJ,0
2025/12/15,Estonia,2018,Peat,TJ,1017.6800000000001
2025/12/15,Czechia,2019,DUST,tonnes,2259.485208
2025/12/15,Netherlands,2020,SO2,tonnes,4190.7845959999995
2025/12/15,Portugal,2021,DUST,tonnes,674.4403000000001
2025/12/15,France,2024,Lignite,TJ,0
2025/12/15,Italy,2020,OtherGases,TJ,170927.845633
2025/12/15,Italy,2017,OtherGases,TJ,208137.58
2025/12/15,Slovakia,2020,OtherGases,TJ,6219.629492
2025/12/15,Czechia,2021,Peat,TJ,0
2025/12/15,Denmark,2021,Biomass,TJ,78386.657
2025/12/15,Portugal,2021,OtherGases,TJ,22360.8102269
2025/12/15,Sweden,2022,Installed capacity,MW,38596.799999999996
2025/12/15,Denmark,2020,DUST,tonnes,157.919152
2025/12/15,Denmark,2016,NOX,tonnes,5570.0929
2025/12/15,Italy,2021,Biomass,TJ,32151.406117
2025/12/15,Czechia,2018,Coal,TJ,42745.883050000004
2025/12/15,Serbia,2020,Lignite,TJ,279303.04000000004
2025/12/15,Croatia,2021,Lignite,TJ,0
2025/12/15,Netherlands,2024,Installed capacity,MW,60705.92999999999
2025/12/15,United Kingdom,2019,NOX,tonnes,52902.457700000006
2025/12/15,Latvia,2019,DUST,tonnes,6.683000000000001
2025/12/15,Estonia,2018,DUST,tonnes,2398.1281
2025/12/15,Slovenia,2020,SO2,tonnes,1358.677
2025/12/15,Czechia,2021,NaturalGas,TJ,54496.10422900001
2025/12/15,Romania,2022,Coal,TJ,5669.555
2025/12/15,Croatia,2020,Peat,TJ,0
2025/12/15,Finland,2021,OtherGases,TJ,8776.476
2025/12/15,Cyprus,2022,Peat,TJ,0
2025/12/15,Estonia,2016,Lignite,TJ,0
2025/12/15,Hungary,2024,Peat,TJ,0
2025/12/15,Spain,2022,Installed capacity,MW,86205.79843612672
2025/12/15,Slovenia,2024,Installed capacity,MW,6002.500000000001
2025/12/15,Germany,2023,NOX,tonnes,83386.98195
2025/12/15,Sweden,2018,NOX,tonnes,14530.367600000001
2025/12/15,Romania,2021,NOX,tonnes,16474.449
2025/12/15,Romania,2019,DUST,tonnes,2281.4514
2025/12/15,Greece,2022,SO2,tonnes,19296.006040000004
2025/12/15,Poland,2019,LiquidFuels,TJ,54809.4322
2025/12/15,France,2023,OtherSolidFuels,TJ,2878.127971
2025/12/15,Sweden,2022,Peat,TJ,786
2025/12/15,United Kingdom,2019,OtherSolidFuels,TJ,8.1
2025/12/15,Ireland,2020,Peat,TJ,8731.5
2025/12/15,Portugal,2019,Lignite,TJ,0
2025/12/15,Slovakia,2017,Coal,TJ,18881.53
2025/12/15,Estonia,2019,NaturalGas,TJ,3158.65
2025/12/15,Bulgaria,2019,Lignite,TJ,168938
2025/12/15,Serbia,2024,Lignite,TJ,236376.07
2025/12/15,Netherlands,2022,NOX,tonnes,19508.238538999998
2025/12/15,Poland,2021,NaturalGas,TJ,119206.652
2025/12/15,Ireland,2016,Biomass,TJ,3527.57
2025/12/15,Ireland,2024,LiquidFuels,TJ,6173.390000000001
2025/12/15,France,2016,LiquidFuels,TJ,79030.13
2025/12/15,Portugal,2016,SO2,tonnes,11185.2
2025/12/15,Finland,2020,Lignite,TJ,0
2025/12/15,Poland,2021,Biomass,TJ,71320.81000000001
2025/12/15,Belgium,2017,OtherSolidFuels,TJ,1873.1100000000001
2025/12/15,Germany,2021,Installed capacity,MW,267607.32200000004
2025/12/15,Czechia,2017,NOX,tonnes,47220.2513
2025/12/15,Estonia,2024,DUST,tonnes,585.5100000000001
2025/12/15,Sweden,2024,SO2,tonnes,1874.6699999999998
2025/12/15,Germany,2022,NaturalGas,TJ,673635.42
2025/12/15,Luxembourg,2021,Installed capacity,MW,89
2025/12/15,Poland,2016,Peat,TJ,0
2025/12/15,Poland,2019,Coal,TJ,899723.28
2025/12/15,Germany,2023,OtherSolidFuels,TJ,1862.2023
2025/12/15,Sweden,2017,Biomass,TJ,176105.91999999998
2025/12/15,Poland,2017,OtherGases,TJ,43169.42
2025/12/15,Malta,2018,OtherSolidFuels,TJ,0
2025/12/15,Belgium,2022,OtherSolidFuels,TJ,3328.0860000000002
2025/12/15,Cyprus,2017,OtherSolidFuels,TJ,0
2025/12/15,Portugal,2019,Coal,TJ,50250.987
