freq,unit,inet_spd,terrtypo,geo,time,value
A,PC_HH,GBPS_GT1,TOTAL,AT,2019,13.8
A,PC_HH,GBPS_GT1,TOTAL,AT,2020,36.9
A,PC_HH,GBPS_GT1,TOTAL,AT,2021,45.4
A,PC_HH,GBPS_GT1,TOTAL,AT,2022,54.8
A,PC_HH,GBPS_GT1,TOTAL,AT,2023,65.1
A,PC_HH,GBPS_GT1,TOTAL,AT,2024,69.3
A,PC_HH,GBPS_GT1,TOTAL,AT,2025,73.4
A,PC_HH,GBPS_GT1,TOTAL,BE,2019,49.2
A,PC_HH,GBPS_GT1,TOTAL,BE,2020,49.4
A,PC_HH,GBPS_GT1,TOTAL,BE,2021,69.0
A,PC_HH,GBPS_GT1,TOTAL,BE,2022,78.0
A,PC_HH,GBPS_GT1,TOTAL,BE,2023,90.4
A,PC_HH,GBPS_GT1,TOTAL,BE,2024,93.5
A,PC_HH,GBPS_GT1,TOTAL,BE,2025,87.9
A,PC_HH,GBPS_GT1,TOTAL,BG,2019,6.5
A,PC_HH,GBPS_GT1,TOTAL,BG,2020,8.6
A,PC_HH,GBPS_GT1,TOTAL,BG,2021,16.3
A,PC_HH,GBPS_GT1,TOTAL,BG,2022,21.4
A,PC_HH,GBPS_GT1,TOTAL,BG,2023,28.4
A,PC_HH,GBPS_GT1,TOTAL,BG,2024,31.0
A,PC_HH,GBPS_GT1,TOTAL,BG,2025,93.5
A,PC_HH,GBPS_GT1,TOTAL,CH,2019,40.3
A,PC_HH,GBPS_GT1,TOTAL,CH,2020,62.9
A,PC_HH,GBPS_GT1,TOTAL,CH,2021,63.7
A,PC_HH,GBPS_GT1,TOTAL,CH,2022,65.6
A,PC_HH,GBPS_GT1,TOTAL,CH,2023,68.3
A,PC_HH,GBPS_GT1,TOTAL,CH,2024,83.8
A,PC_HH,GBPS_GT1,TOTAL,CH,2025,85.0
A,PC_HH,GBPS_GT1,TOTAL,CY,2019,10.1
A,PC_HH,GBPS_GT1,TOTAL,CY,2020,26.2
A,PC_HH,GBPS_GT1,TOTAL,CY,2021,41.4
A,PC_HH,GBPS_GT1,TOTAL,CY,2022,60.0
A,PC_HH,GBPS_GT1,TOTAL,CY,2023,77.1
A,PC_HH,GBPS_GT1,TOTAL,CY,2024,89.0
A,PC_HH,GBPS_GT1,TOTAL,CY,2025,95.5
