freq,unit,inet_tec,terrtypo,geo,time,value
A,PC_HH,5G,DEG3,AT,2020,7.5
A,PC_HH,5G,DEG3,AT,2021,36.3
A,PC_HH,5G,DEG3,AT,2022,68.9
A,PC_HH,5G,DEG3,AT,2023,82.0
A,PC_HH,5G,DEG3,AT,2024,97.8
A,PC_HH,5G,DEG3,AT,2025,98.9
A,PC_HH,5G,DEG3,BE,2022,21.2
A,PC_HH,5G,DEG3,BE,2023,28.9
A,PC_HH,5G,DEG3,BE,2024,69.8
A,PC_HH,5G,DEG3,BE,2025,99.6
A,PC_HH,5G,DEG3,BG,2021,8.6
A,PC_HH,5G,DEG3,BG,2022,18.4
A,PC_HH,5G,DEG3,BG,2023,28.5
A,PC_HH,5G,DEG3,BG,2024,38.2
A,PC_HH,5G,DEG3,BG,2025,86.8
A,PC_HH,5G,DEG3,CH,2020,40.0
A,PC_HH,5G,DEG3,CH,2021,88.8
A,PC_HH,5G,DEG3,CH,2022,90.0
A,PC_HH,5G,DEG3,CH,2023,93.0
A,PC_HH,5G,DEG3,CH,2024,84.0
A,PC_HH,5G,DEG3,CH,2025,97.8
A,PC_HH,5G,DEG3,CY,2021,32.2
A,PC_HH,5G,DEG3,CY,2022,100.0
A,PC_HH,5G,DEG3,CY,2023,100.0
A,PC_HH,5G,DEG3,CY,2024,100.0
A,PC_HH,5G,DEG3,CY,2025,100.0
A,PC_HH,5G,DEG3,CZ,2021,43.3
A,PC_HH,5G,DEG3,CZ,2022,78.0
A,PC_HH,5G,DEG3,CZ,2023,72.7
A,PC_HH,5G,DEG3,CZ,2024,95.3
A,PC_HH,5G,DEG3,CZ,2025,98.9
A,PC_HH,5G,DEG3,DE,2020,0.8
A,PC_HH,5G,DEG3,DE,2021,49.4
A,PC_HH,5G,DEG3,DE,2022,74.8
A,PC_HH,5G,DEG3,DE,2023,92.8
A,PC_HH,5G,DEG3,DE,2024,96.0
A,PC_HH,5G,DEG3,DE,2025,98.1
A,PC_HH,5G,DEG3,DK,2020,75.0
A,PC_HH,5G,DEG3,DK,2021,98.0
A,PC_HH,5G,DEG3,DK,2022,99.2
A,PC_HH,5G,DEG3,DK,2023,100.0
A,PC_HH,5G,DEG3,DK,2024,100.0
A,PC_HH,5G,DEG3,DK,2025,100.0
A,PC_HH,5G,DEG3,EE,2021,1.5
A,PC_HH,5G,DEG3,EE,2022,32.5
A,PC_HH,5G,DEG3,EE,2023,87.0
A,PC_HH,5G,DEG3,EE,2024,92.3
A,PC_HH,5G,DEG3,EE,2025,99.9
A,PC_HH,5G,DEG3,EL,2021,17.3
A,PC_HH,5G,DEG3,EL,2022,57.8
A,PC_HH,5G,DEG3,EL,2023,92.1
A,PC_HH,5G,DEG3,EL,2024,99.3
A,PC_HH,5G,DEG3,EL,2025,99.1
A,PC_HH,5G,DEG3,ES,2021,24.8
A,PC_HH,5G,DEG3,ES,2022,48.3
A,PC_HH,5G,DEG3,ES,2023,67.4
A,PC_HH,5G,DEG3,ES,2024,79.6
A,PC_HH,5G,DEG3,ES,2025,95.7
A,PC_HH,5G,DEG3,FI,2021,19.0
A,PC_HH,5G,DEG3,FI,2022,77.6
A,PC_HH,5G,DEG3,FI,2023,92.4
A,PC_HH,5G,DEG3,FI,2024,97.1
A,PC_HH,5G,DEG3,FI,2025,100.0
A,PC_HH,5G,DEG3,FR,2021,48.2
A,PC_HH,5G,DEG3,FR,2022,74.1
A,PC_HH,5G,DEG3,FR,2023,73.4
A,PC_HH,5G,DEG3,FR,2024,77.9
A,PC_HH,5G,DEG3,FR,2025,82.7
A,PC_HH,5G,DEG3,HR,2021,9.3
A,PC_HH,5G,DEG3,HR,2022,73.5
A,PC_HH,5G,DEG3,HR,2023,80.1
A,PC_HH,5G,DEG3,HR,2024,86.3
A,PC_HH,5G,DEG3,HR,2025,93.9
A,PC_HH,5G,DEG3,HU,2021,7.0
A,PC_HH,5G,DEG3,HU,2022,33.8
A,PC_HH,5G,DEG3,HU,2023,57.5
A,PC_HH,5G,DEG3,HU,2024,57.9
A,PC_HH,5G,DEG3,HU,2025,82.0
A,PC_HH,5G,DEG3,IE,2021,36.2
A,PC_HH,5G,DEG3,IE,2022,58.3
A,PC_HH,5G,DEG3,IE,2023,62.3
A,PC_HH,5G,DEG3,IE,2024,76.4
A,PC_HH,5G,DEG3,IE,2025,89.1
