freq,nace_r2,size_emp,indic_is,unit,geo,time,value,source_dataset
A,C,GE10,E_AI_TANY,PC_ENT,AT11,2023,7.29,isoc_r_eb_ain2
A,C,GE10,E_AI_TANY,PC_ENT,AT12,2023,8.15,isoc_r_eb_ain2
A,C,GE10,E_AI_TANY,PC_ENT,AT12,2024,17.91,isoc_r_eb_ain2
A,C,GE10,E_AI_TANY,PC_ENT,AT12,2025,30.38,isoc_r_eb_ain2
A,C,GE10,E_AI_TANY,PC_ENT,AT13,2023,19.09,isoc_r_eb_ain2
A,C,GE10,E_AI_TANY,PC_ENT,AT13,2025,27.83,isoc_r_eb_ain2
A,C,GE10,E_AI_TANY,PC_ENT,AT21,2023,6.46,isoc_r_eb_ain2
A,C,GE10,E_AI_TANY,PC_ENT,AT21,2024,23.02,isoc_r_eb_ain2
A,C,GE10,E_AI_TANY,PC_ENT,AT22,2023,11.52,isoc_r_eb_ain2
A,C,GE10,E_AI_TANY,PC_ENT,AT22,2024,12.49,isoc_r_eb_ain2
A,C,GE10,E_AI_TANY,PC_ENT,AT22,2025,28.96,isoc_r_eb_ain2
A,C,GE10,E_AI_TANY,PC_ENT,AT31,2023,12.87,isoc_r_eb_ain2
A,C,GE10,E_AI_TANY,PC_ENT,AT31,2024,26.63,isoc_r_eb_ain2
A,C,GE10,E_AI_TANY,PC_ENT,AT31,2025,38.89,isoc_r_eb_ain2
A,C,GE10,E_AI_TANY,PC_ENT,AT32,2023,15.11,isoc_r_eb_ain2
A,C,GE10,E_AI_TANY,PC_ENT,AT33,2023,10.77,isoc_r_eb_ain2
A,C,GE10,E_AI_TANY,PC_ENT,AT33,2025,27.69,isoc_r_eb_ain2
A,C,GE10,E_AI_TANY,PC_ENT,BG31,2024,4.69,isoc_r_eb_ain2
A,C,GE10,E_AI_TANY,PC_ENT,BG31,2025,2.8,isoc_r_eb_ain2
A,C,GE10,E_AI_TANY,PC_ENT,BG32,2024,3.22,isoc_r_eb_ain2
A,C,GE10,E_AI_TANY,PC_ENT,BG32,2025,4.23,isoc_r_eb_ain2
A,C,GE10,E_AI_TANY,PC_ENT,BG33,2024,3.67,isoc_r_eb_ain2
A,C,GE10,E_AI_TANY,PC_ENT,BG33,2025,4.7,isoc_r_eb_ain2
A,C,GE10,E_AI_TANY,PC_ENT,BG34,2024,2.38,isoc_r_eb_ain2
A,C,GE10,E_AI_TANY,PC_ENT,BG34,2025,4.94,isoc_r_eb_ain2
A,C,GE10,E_AI_TANY,PC_ENT,BG41,2024,6.7,isoc_r_eb_ain2
A,C,GE10,E_AI_TANY,PC_ENT,BG41,2025,5.93,isoc_r_eb_ain2
A,C,GE10,E_AI_TANY,PC_ENT,BG42,2024,3.07,isoc_r_eb_ain2
A,C,GE10,E_AI_TANY,PC_ENT,BG42,2025,6.13,isoc_r_eb_ain2
A,C,GE10,E_AI_TANY,PC_ENT,CZ01,2025,18.95,isoc_r_eb_ain2
A,C,GE10,E_AI_TANY,PC_ENT,CZ02,2025,20.03,isoc_r_eb_ain2
A,C,GE10,E_AI_TANY,PC_ENT,CZ03,2025,17.41,isoc_r_eb_ain2
A,C,GE10,E_AI_TANY,PC_ENT,CZ04,2025,12.15,isoc_r_eb_ain2
A,C,GE10,E_AI_TANY,PC_ENT,CZ05,2025,16.31,isoc_r_eb_ain2
A,C,GE10,E_AI_TANY,PC_ENT,CZ06,2025,14.58,isoc_r_eb_ain2
A,C,GE10,E_AI_TANY,PC_ENT,CZ07,2025,17.26,isoc_r_eb_ain2
A,C,GE10,E_AI_TANY,PC_ENT,CZ08,2025,18.42,isoc_r_eb_ain2
A,C,GE10,E_AI_TANY,PC_ENT,DK01,2024,19.18,isoc_r_eb_ain2
A,C,GE10,E_AI_TANY,PC_ENT,DK01,2025,34.47,isoc_r_eb_ain2
A,C,GE10,E_AI_TANY,PC_ENT,DK02,2024,24.59,isoc_r_eb_ain2
A,C,GE10,E_AI_TANY,PC_ENT,DK02,2025,37.13,isoc_r_eb_ain2
A,C,GE10,E_AI_TANY,PC_ENT,DK03,2024,17.54,isoc_r_eb_ain2
A,C,GE10,E_AI_TANY,PC_ENT,DK03,2025,36.86,isoc_r_eb_ain2
A,C,GE10,E_AI_TANY,PC_ENT,DK04,2024,26.92,isoc_r_eb_ain2
A,C,GE10,E_AI_TANY,PC_ENT,DK04,2025,49.86,isoc_r_eb_ain2
A,C,GE10,E_AI_TANY,PC_ENT,DK05,2024,19.4,isoc_r_eb_ain2
A,C,GE10,E_AI_TANY,PC_ENT,DK05,2025,34.3,isoc_r_eb_ain2
A,C,GE10,E_AI_TANY,PC_ENT,ES11,2023,6.89,isoc_r_eb_ain2
A,C,GE10,E_AI_TANY,PC_ENT,ES11,2024,11.5,isoc_r_eb_ain2
A,C,GE10,E_AI_TANY,PC_ENT,ES11,2025,17.09,isoc_r_eb_ain2
A,C,GE10,E_AI_TANY,PC_ENT,ES12,2023,9.8,isoc_r_eb_ain2
A,C,GE10,E_AI_TANY,PC_ENT,ES12,2024,3.14,isoc_r_eb_ain2
A,C,GE10,E_AI_TANY,PC_ENT,ES12,2025,15.53,isoc_r_eb_ain2
A,C,GE10,E_AI_TANY,PC_ENT,ES13,2023,11.43,isoc_r_eb_ain2
A,C,GE10,E_AI_TANY,PC_ENT,ES13,2024,5.55,isoc_r_eb_ain2
A,C,GE10,E_AI_TANY,PC_ENT,ES13,2025,13.02,isoc_r_eb_ain2
A,C,GE10,E_AI_TANY,PC_ENT,ES21,2023,7.79,isoc_r_eb_ain2
A,C,GE10,E_AI_TANY,PC_ENT,ES21,2024,10.33,isoc_r_eb_ain2
A,C,GE10,E_AI_TANY,PC_ENT,ES21,2025,19.61,isoc_r_eb_ain2
A,C,GE10,E_AI_TANY,PC_ENT,ES22,2023,8.89,isoc_r_eb_ain2
A,C,GE10,E_AI_TANY,PC_ENT,ES22,2024,13.31,isoc_r_eb_ain2
A,C,GE10,E_AI_TANY,PC_ENT,ES22,2025,25.78,isoc_r_eb_ain2
A,C,GE10,E_AI_TANY,PC_ENT,ES23,2023,8.3,isoc_r_eb_ain2
A,C,GE10,E_AI_TANY,PC_ENT,ES23,2024,7.48,isoc_r_eb_ain2
A,C,GE10,E_AI_TANY,PC_ENT,ES23,2025,16.61,isoc_r_eb_ain2
A,C,GE10,E_AI_TANY,PC_ENT,ES24,2023,10.29,isoc_r_eb_ain2
A,C,GE10,E_AI_TANY,PC_ENT,ES24,2024,8.55,isoc_r_eb_ain2
A,C,GE10,E_AI_TANY,PC_ENT,ES24,2025,15.49,isoc_r_eb_ain2
A,C,GE10,E_AI_TANY,PC_ENT,ES30,2023,8.23,isoc_r_eb_ain2
A,C,GE10,E_AI_TANY,PC_ENT,ES30,2024,10.48,isoc_r_eb_ain2
A,C,GE10,E_AI_TANY,PC_ENT,ES30,2025,19.97,isoc_r_eb_ain2
A,C,GE10,E_AI_TANY,PC_ENT,ES41,2023,10.89,isoc_r_eb_ain2
A,C,GE10,E_AI_TANY,PC_ENT,ES41,2024,10.63,isoc_r_eb_ain2
A,C,GE10,E_AI_TANY,PC_ENT,ES41,2025,18.68,isoc_r_eb_ain2
A,C,GE10,E_AI_TANY,PC_ENT,ES42,2023,6.48,isoc_r_eb_ain2
A,C,GE10,E_AI_TANY,PC_ENT,ES42,2024,5.65,isoc_r_eb_ain2
A,C,GE10,E_AI_TANY,PC_ENT,ES42,2025,15.81,isoc_r_eb_ain2
A,C,GE10,E_AI_TANY,PC_ENT,ES43,2023,4.81,isoc_r_eb_ain2
A,C,GE10,E_AI_TANY,PC_ENT,ES43,2024,6.17,isoc_r_eb_ain2
A,C,GE10,E_AI_TANY,PC_ENT,ES43,2025,7.97,isoc_r_eb_ain2
A,C,GE10,E_AI_TANY,PC_ENT,ES51,2023,11.65,isoc_r_eb_ain2
