freq,siec,unit,geo,time,value
A,TOTAL,PC,AT,2000,65.543
A,TOTAL,PC,AT,2001,65.044
A,TOTAL,PC,AT,2002,68.022
A,TOTAL,PC,AT,2003,70.993
A,TOTAL,PC,AT,2004,71.451
A,TOTAL,PC,AT,2005,71.76
A,TOTAL,PC,AT,2006,72.248
A,TOTAL,PC,AT,2007,68.475
A,TOTAL,PC,AT,2008,68.738
A,TOTAL,PC,AT,2009,65.122
A,TOTAL,PC,AT,2010,62.782
A,TOTAL,PC,AT,2011,69.981
A,TOTAL,PC,AT,2012,63.785
A,TOTAL,PC,AT,2013,61.26
A,TOTAL,PC,AT,2014,65.625
A,TOTAL,PC,AT,2015,60.379
A,TOTAL,PC,AT,2016,62.102
A,TOTAL,PC,AT,2017,63.93
A,TOTAL,PC,AT,2018,64.223
A,TOTAL,PC,AT,2019,71.601
A,TOTAL,PC,AT,2020,58.281
A,TOTAL,PC,AT,2021,51.952
A,TOTAL,PC,AT,2022,73.986
A,TOTAL,PC,AT,2023,60.317
A,TOTAL,PC,AT,2024,53.325
A,TOTAL,PC,BE,2000,78.164
A,TOTAL,PC,BE,2001,80.693
A,TOTAL,PC,BE,2002,77.667
A,TOTAL,PC,BE,2003,79.704
A,TOTAL,PC,BE,2004,79.774
A,TOTAL,PC,BE,2005,79.912
A,TOTAL,PC,BE,2006,79.486
A,TOTAL,PC,BE,2007,76.882
A,TOTAL,PC,BE,2008,80.846
A,TOTAL,PC,BE,2009,75.921
A,TOTAL,PC,BE,2010,78.656
A,TOTAL,PC,BE,2011,76.588
A,TOTAL,PC,BE,2012,76.673
A,TOTAL,PC,BE,2013,77.858
A,TOTAL,PC,BE,2014,80.19
A,TOTAL,PC,BE,2015,84.227
A,TOTAL,PC,BE,2016,75.982
A,TOTAL,PC,BE,2017,75.318
A,TOTAL,PC,BE,2018,83.043
A,TOTAL,PC,BE,2019,77.668
A,TOTAL,PC,BE,2020,78.133
A,TOTAL,PC,BE,2021,70.773
A,TOTAL,PC,BE,2022,73.697
A,TOTAL,PC,BE,2023,75.763
A,TOTAL,PC,BE,2024,75.448
A,TOTAL,PC,BG,2000,46.409
A,TOTAL,PC,BG,2001,46.199
A,TOTAL,PC,BG,2002,46.917
A,TOTAL,PC,BG,2003,46.65
A,TOTAL,PC,BG,2004,48.34
A,TOTAL,PC,BG,2005,47.343
A,TOTAL,PC,BG,2006,46.223
A,TOTAL,PC,BG,2007,51.233
A,TOTAL,PC,BG,2008,52.154
A,TOTAL,PC,BG,2009,45.393
A,TOTAL,PC,BG,2010,40.146
A,TOTAL,PC,BG,2011,36.732
A,TOTAL,PC,BG,2012,36.859
A,TOTAL,PC,BG,2013,38.313
A,TOTAL,PC,BG,2014,35.171
A,TOTAL,PC,BG,2015,36.446
A,TOTAL,PC,BG,2016,38.472
A,TOTAL,PC,BG,2017,39.362
A,TOTAL,PC,BG,2018,36.596
A,TOTAL,PC,BG,2019,38.457
A,TOTAL,PC,BG,2020,38.171
A,TOTAL,PC,BG,2021,36.178
A,TOTAL,PC,BG,2022,37.11
A,TOTAL,PC,BG,2023,39.512
A,TOTAL,PC,BG,2024,41.936
A,TOTAL,PC,CY,2000,98.632
A,TOTAL,PC,CY,2001,96.075
A,TOTAL,PC,CY,2002,100.557
A,TOTAL,PC,CY,2003,96.074
A,TOTAL,PC,CY,2004,95.457
A,TOTAL,PC,CY,2005,100.703
A,TOTAL,PC,CY,2006,102.508
A,TOTAL,PC,CY,2007,95.894
A,TOTAL,PC,CY,2008,97.427
A,TOTAL,PC,CY,2009,96.13
A,TOTAL,PC,CY,2010,100.636
A,TOTAL,PC,CY,2011,92.263
A,TOTAL,PC,CY,2012,96.748
A,TOTAL,PC,CY,2013,96.071
A,TOTAL,PC,CY,2014,93.086
A,TOTAL,PC,CY,2015,97.319
A,TOTAL,PC,CY,2016,95.841
A,TOTAL,PC,CY,2017,95.927
A,TOTAL,PC,CY,2018,92.491
A,TOTAL,PC,CY,2019,92.792
A,TOTAL,PC,CY,2020,93.179
A,TOTAL,PC,CY,2021,89.524
A,TOTAL,PC,CY,2022,92.018
A,TOTAL,PC,CY,2023,92.205
A,TOTAL,PC,CY,2024,87.706
A,TOTAL,PC,CZ,2000,22.704
A,TOTAL,PC,CZ,2001,25.012
A,TOTAL,PC,CZ,2002,26.204
A,TOTAL,PC,CZ,2003,24.929
A,TOTAL,PC,CZ,2004,25.338
A,TOTAL,PC,CZ,2005,27.846
A,TOTAL,PC,CZ,2006,27.498
A,TOTAL,PC,CZ,2007,24.989
A,TOTAL,PC,CZ,2008,27.737
A,TOTAL,PC,CZ,2009,26.867
A,TOTAL,PC,CZ,2010,25.38
A,TOTAL,PC,CZ,2011,28.832
A,TOTAL,PC,CZ,2012,25.413
A,TOTAL,PC,CZ,2013,27.58
A,TOTAL,PC,CZ,2014,30.227
A,TOTAL,PC,CZ,2015,32.089
A,TOTAL,PC,CZ,2016,32.8
A,TOTAL,PC,CZ,2017,37.162
A,TOTAL,PC,CZ,2018,36.879
A,TOTAL,PC,CZ,2019,40.81
A,TOTAL,PC,CZ,2020,38.768
A,TOTAL,PC,CZ,2021,39.958
A,TOTAL,PC,CZ,2022,41.772
A,TOTAL,PC,CZ,2023,41.679
A,TOTAL,PC,CZ,2024,39.32
A,TOTAL,PC,DE,2000,59.441
A,TOTAL,PC,DE,2001,60.891
A,TOTAL,PC,DE,2002,60.126
A,TOTAL,PC,DE,2003,60.54
A,TOTAL,PC,DE,2004,61.158
A,TOTAL,PC,DE,2005,60.74
A,TOTAL,PC,DE,2006,60.981
A,TOTAL,PC,DE,2007,58.516
A,TOTAL,PC,DE,2008,60.769
A,TOTAL,PC,DE,2009,61.103
A,TOTAL,PC,DE,2010,59.992
A,TOTAL,PC,DE,2011,61.801
A,TOTAL,PC,DE,2012,61.215
A,TOTAL,PC,DE,2013,62.411
A,TOTAL,PC,DE,2014,61.779
A,TOTAL,PC,DE,2015,62.132
A,TOTAL,PC,DE,2016,63.752
A,TOTAL,PC,DE,2017,63.959
A,TOTAL,PC,DE,2018,63.478
A,TOTAL,PC,DE,2019,67.055
A,TOTAL,PC,DE,2020,63.676
A,TOTAL,PC,DE,2021,63.395
A,TOTAL,PC,DE,2022,68.652
A,TOTAL,PC,DE,2023,66.831
A,TOTAL,PC,DE,2024,66.812
A,TOTAL,PC,DK,2000,-35.918
A,TOTAL,PC,DK,2001,-28.63
A,TOTAL,PC,DK,2002,-42.287
A,TOTAL,PC,DK,2003,-31.541
A,TOTAL,PC,DK,2004,-47.12
A,TOTAL,PC,DK,2005,-50.618
A,TOTAL,PC,DK,2006,-35.492
A,TOTAL,PC,DK,2007,-24.247
A,TOTAL,PC,DK,2008,-21.129
A,TOTAL,PC,DK,2009,-18.8
A,TOTAL,PC,DK,2010,-16.235
A,TOTAL,PC,DK,2011,-6.315
A,TOTAL,PC,DK,2012,-3.175
A,TOTAL,PC,DK,2013,12.312
A,TOTAL,PC,DK,2014,12.225
A,TOTAL,PC,DK,2015,13.078
A,TOTAL,PC,DK,2016,13.57
A,TOTAL,PC,DK,2017,11.344
A,TOTAL,PC,DK,2018,22.704
A,TOTAL,PC,DK,2019,38.882
A,TOTAL,PC,DK,2020,44.89
A,TOTAL,PC,DK,2021,32.225
A,TOTAL,PC,DK,2022,43.142
A,TOTAL,PC,DK,2023,39.705
A,TOTAL,PC,DK,2024,38.229
A,TOTAL,PC,EE,2000,33.989
A,TOTAL,PC,EE,2001,33.742
A,TOTAL,PC,EE,2002,32.107
A,TOTAL,PC,EE,2003,29.764
A,TOTAL,PC,EE,2004,30.11
A,TOTAL,PC,EE,2005,26.878
A,TOTAL,PC,EE,2006,30.03
A,TOTAL,PC,EE,2007,24.288
A,TOTAL,PC,EE,2008,27.215
A,TOTAL,PC,EE,2009,27.175
A,TOTAL,PC,EE,2010,14.68
A,TOTAL,PC,EE,2011,13.646
A,TOTAL,PC,EE,2012,20.648
A,TOTAL,PC,EE,2013,14.522
A,TOTAL,PC,EE,2014,11.562
A,TOTAL,PC,EE,2015,11.182
A,TOTAL,PC,EE,2016,8.069
A,TOTAL,PC,EE,2017,4.584
A,TOTAL,PC,EE,2018,1.229
A,TOTAL,PC,EE,2019,4.724
A,TOTAL,PC,EE,2020,10.528
A,TOTAL,PC,EE,2021,1.412
A,TOTAL,PC,EE,2022,6.159
A,TOTAL,PC,EE,2023,3.471
A,TOTAL,PC,EE,2024,4.622
A,TOTAL,PC,EL,2000,69.055
A,TOTAL,PC,EL,2001,68.495
A,TOTAL,PC,EL,2002,71.063
A,TOTAL,PC,EL,2003,67.088
A,TOTAL,PC,EL,2004,72.259
A,TOTAL,PC,EL,2005,68.204
A,TOTAL,PC,EL,2006,71.419
A,TOTAL,PC,EL,2007,70.858
A,TOTAL,PC,EL,2008,72.915
A,TOTAL,PC,EL,2009,67.341
A,TOTAL,PC,EL,2010,68.584
A,TOTAL,PC,EL,2011,64.677
A,TOTAL,PC,EL,2012,65.889
A,TOTAL,PC,EL,2013,61.75
A,TOTAL,PC,EL,2014,65.455
A,TOTAL,PC,EL,2015,71.047
A,TOTAL,PC,EL,2016,72.911
A,TOTAL,PC,EL,2017,71.282
A,TOTAL,PC,EL,2018,70.681
A,TOTAL,PC,EL,2019,74.103
A,TOTAL,PC,EL,2020,81.415
A,TOTAL,PC,EL,2021,73.819
A,TOTAL,PC,EL,2022,79.506
A,TOTAL,PC,EL,2023,75.447
A,TOTAL,PC,EL,2024,77.714
A,TOTAL,PC,ES,2000,76.797
A,TOTAL,PC,ES,2001,74.797
A,TOTAL,PC,ES,2002,78.642
A,TOTAL,PC,ES,2003,76.738
A,TOTAL,PC,ES,2004,77.652
A,TOTAL,PC,ES,2005,81.534
A,TOTAL,PC,ES,2006,81.304
A,TOTAL,PC,ES,2007,79.56
A,TOTAL,PC,ES,2008,81.605
A,TOTAL,PC,ES,2009,79.549
A,TOTAL,PC,ES,2010,77.003
A,TOTAL,PC,ES,2011,76.012
A,TOTAL,PC,ES,2012,72.798
A,TOTAL,PC,ES,2013,69.997
A,TOTAL,PC,ES,2014,72.557
A,TOTAL,PC,ES,2015,72.741
A,TOTAL,PC,ES,2016,71.486
A,TOTAL,PC,ES,2017,73.886
A,TOTAL,PC,ES,2018,73.613
A,TOTAL,PC,ES,2019,75.034
A,TOTAL,PC,ES,2020,67.892
A,TOTAL,PC,ES,2021,69.38
A,TOTAL,PC,ES,2022,74.202
A,TOTAL,PC,ES,2023,68.261
A,TOTAL,PC,ES,2024,68.871
A,TOTAL,PC,FI,2000,55.475
A,TOTAL,PC,FI,2001,55.337
A,TOTAL,PC,FI,2002,52.36
A,TOTAL,PC,FI,2003,59.095
A,TOTAL,PC,FI,2004,54.731
A,TOTAL,PC,FI,2005,54.459
A,TOTAL,PC,FI,2006,54.073
A,TOTAL,PC,FI,2007,53.32
A,TOTAL,PC,FI,2008,54.483
A,TOTAL,PC,FI,2009,54.795
A,TOTAL,PC,FI,2010,48.852
A,TOTAL,PC,FI,2011,53.897
A,TOTAL,PC,FI,2012,47.103
A,TOTAL,PC,FI,2013,49.64
A,TOTAL,PC,FI,2014,49.89
A,TOTAL,PC,FI,2015,47.901
A,TOTAL,PC,FI,2016,46.104
A,TOTAL,PC,FI,2017,43.868
A,TOTAL,PC,FI,2018,45.23
A,TOTAL,PC,FI,2019,42.894
A,TOTAL,PC,FI,2020,43.031
A,TOTAL,PC,FI,2021,37.933
A,TOTAL,PC,FI,2022,40.919
A,TOTAL,PC,FI,2023,29.709
A,TOTAL,PC,FI,2024,32.973
A,TOTAL,PC,FR,2000,51.275
A,TOTAL,PC,FR,2001,50.429
A,TOTAL,PC,FR,2002,50.817
A,TOTAL,PC,FR,2003,50.665
A,TOTAL,PC,FR,2004,50.86
A,TOTAL,PC,FR,2005,51.698
A,TOTAL,PC,FR,2006,51.518
A,TOTAL,PC,FR,2007,50.42
A,TOTAL,PC,FR,2008,50.748
A,TOTAL,PC,FR,2009,50.652
A,TOTAL,PC,FR,2010,48.668
A,TOTAL,PC,FR,2011,49.012
A,TOTAL,PC,FR,2012,48.133
A,TOTAL,PC,FR,2013,47.934
A,TOTAL,PC,FR,2014,46.215
A,TOTAL,PC,FR,2015,45.895
A,TOTAL,PC,FR,2016,47.327
A,TOTAL,PC,FR,2017,48.703
A,TOTAL,PC,FR,2018,46.735
A,TOTAL,PC,FR,2019,47.584
A,TOTAL,PC,FR,2020,44.424
A,TOTAL,PC,FR,2021,44.036
A,TOTAL,PC,FR,2022,51.819
A,TOTAL,PC,FR,2023,44.773
A,TOTAL,PC,FR,2024,41.672
A,TOTAL,PC,HR,2000,48.345
A,TOTAL,PC,HR,2001,46.556
A,TOTAL,PC,HR,2002,54.45
A,TOTAL,PC,HR,2003,50.697
A,TOTAL,PC,HR,2004,51.876
A,TOTAL,PC,HR,2005,52.595
A,TOTAL,PC,HR,2006,49.17
A,TOTAL,PC,HR,2007,51.805
A,TOTAL,PC,HR,2008,54.755
A,TOTAL,PC,HR,2009,46.044
A,TOTAL,PC,HR,2010,46.696
A,TOTAL,PC,HR,2011,49.641
A,TOTAL,PC,HR,2012,49.847
A,TOTAL,PC,HR,2013,47.436
A,TOTAL,PC,HR,2014,44.206
A,TOTAL,PC,HR,2015,48.791
A,TOTAL,PC,HR,2016,48.43
A,TOTAL,PC,HR,2017,53.157
A,TOTAL,PC,HR,2018,52.695
A,TOTAL,PC,HR,2019,56.216
A,TOTAL,PC,HR,2020,53.564
A,TOTAL,PC,HR,2021,54.539
A,TOTAL,PC,HR,2022,60.303
A,TOTAL,PC,HR,2023,55.721
A,TOTAL,PC,HR,2024,59.929
A,TOTAL,PC,HU,2000,54.978
A,TOTAL,PC,HU,2001,53.411
A,TOTAL,PC,HU,2002,56.885
A,TOTAL,PC,HU,2003,62.057
A,TOTAL,PC,HU,2004,60.955
A,TOTAL,PC,HU,2005,62.254
A,TOTAL,PC,HU,2006,61.819
A,TOTAL,PC,HU,2007,60.362
A,TOTAL,PC,HU,2008,62.589
A,TOTAL,PC,HU,2009,57.574
A,TOTAL,PC,HU,2010,56.93
A,TOTAL,PC,HU,2011,50.273
A,TOTAL,PC,HU,2012,50.146
A,TOTAL,PC,HU,2013,50.122
A,TOTAL,PC,HU,2014,59.845
A,TOTAL,PC,HU,2015,53.875
A,TOTAL,PC,HU,2016,55.823
