freq,unit,na_item,geo,time,value
A,CLV20_EUR_HAB,B1GQ,AL,2000,2120
A,CLV20_EUR_HAB,B1GQ,AL,2001,2330
A,CLV20_EUR_HAB,B1GQ,AL,2002,2440
A,CLV20_EUR_HAB,B1GQ,AL,2003,2580
A,CLV20_EUR_HAB,B1GQ,AL,2004,2730
A,CLV20_EUR_HAB,B1GQ,AL,2005,2880
A,CLV20_EUR_HAB,B1GQ,AL,2006,3080
A,CLV20_EUR_HAB,B1GQ,AL,2007,3300
A,CLV20_EUR_HAB,B1GQ,AL,2008,3550
A,CLV20_EUR_HAB,B1GQ,AL,2009,3680
A,CLV20_EUR_HAB,B1GQ,AL,2010,3800
A,CLV20_EUR_HAB,B1GQ,AL,2011,3910
A,CLV20_EUR_HAB,B1GQ,AL,2012,3950
A,CLV20_EUR_HAB,B1GQ,AL,2013,4030
A,CLV20_EUR_HAB,B1GQ,AL,2014,4130
A,CLV20_EUR_HAB,B1GQ,AL,2015,4230
A,CLV20_EUR_HAB,B1GQ,AL,2016,4400
A,CLV20_EUR_HAB,B1GQ,AL,2017,4550
A,CLV20_EUR_HAB,B1GQ,AL,2018,4730
A,CLV20_EUR_HAB,B1GQ,AL,2019,4850
A,CLV20_EUR_HAB,B1GQ,AL,2020,4710
A,CLV20_EUR_HAB,B1GQ,AL,2021,5190
A,CLV20_EUR_HAB,B1GQ,AL,2022,5500
A,CLV20_EUR_HAB,B1GQ,AT,2000,37880
A,CLV20_EUR_HAB,B1GQ,AT,2001,38230
A,CLV20_EUR_HAB,B1GQ,AT,2002,38610
A,CLV20_EUR_HAB,B1GQ,AT,2003,38880
A,CLV20_EUR_HAB,B1GQ,AT,2004,39620
A,CLV20_EUR_HAB,B1GQ,AT,2005,40270
A,CLV20_EUR_HAB,B1GQ,AT,2006,41370
A,CLV20_EUR_HAB,B1GQ,AT,2007,42790
A,CLV20_EUR_HAB,B1GQ,AT,2008,43270
A,CLV20_EUR_HAB,B1GQ,AT,2009,41620
A,CLV20_EUR_HAB,B1GQ,AT,2010,42280
A,CLV20_EUR_HAB,B1GQ,AT,2011,43370
A,CLV20_EUR_HAB,B1GQ,AT,2012,43450
A,CLV20_EUR_HAB,B1GQ,AT,2013,43080
A,CLV20_EUR_HAB,B1GQ,AT,2014,43070
A,CLV20_EUR_HAB,B1GQ,AT,2015,43200
A,CLV20_EUR_HAB,B1GQ,AT,2016,43550
A,CLV20_EUR_HAB,B1GQ,AT,2017,44260
A,CLV20_EUR_HAB,B1GQ,AT,2018,45140
A,CLV20_EUR_HAB,B1GQ,AT,2019,45730
A,CLV20_EUR_HAB,B1GQ,AT,2020,42650
A,CLV20_EUR_HAB,B1GQ,AT,2021,44580
A,CLV20_EUR_HAB,B1GQ,AT,2022,46430
A,CLV20_EUR_HAB,B1GQ,AT,2023,45670
A,CLV20_EUR_HAB,B1GQ,AT,2024,45140
A,CLV20_EUR_HAB,B1GQ,AT,2025,45390
A,CLV20_EUR_HAB,B1GQ,BA,2010,4200
A,CLV20_EUR_HAB,B1GQ,BA,2011,4240
A,CLV20_EUR_HAB,B1GQ,BA,2012,4210
A,CLV20_EUR_HAB,B1GQ,BA,2013,4320
A,CLV20_EUR_HAB,B1GQ,BA,2014,4370
A,CLV20_EUR_HAB,B1GQ,BA,2015,4570
A,CLV20_EUR_HAB,B1GQ,BA,2016,4730
A,CLV20_EUR_HAB,B1GQ,BA,2017,4890
A,CLV20_EUR_HAB,B1GQ,BA,2018,5090
A,CLV20_EUR_HAB,B1GQ,BA,2019,5240
A,CLV20_EUR_HAB,B1GQ,BA,2020,5110
A,CLV20_EUR_HAB,B1GQ,BA,2021,5520
A,CLV20_EUR_HAB,B1GQ,BA,2022,5790
A,CLV20_EUR_HAB,B1GQ,BA,2023,5920
A,CLV20_EUR_HAB,B1GQ,BA,2024,6130
