freq,siec,nrg_cons,unit,tax,currency,geo,time,value
S,E7000,TOT_KWH,KWH,X_TAX,EUR,AL,2020-S2,0.1036
S,E7000,TOT_KWH,KWH,X_TAX,EUR,AL,2021-S2,0.1053
S,E7000,TOT_KWH,KWH,X_TAX,EUR,AL,2022-S1,0.1057
S,E7000,TOT_KWH,KWH,X_TAX,EUR,AL,2022-S2,0.1097
S,E7000,TOT_KWH,KWH,X_TAX,EUR,AL,2023-S1,0.1135
S,E7000,TOT_KWH,KWH,X_TAX,EUR,AL,2023-S2,0.1223
S,E7000,TOT_KWH,KWH,X_TAX,EUR,AL,2024-S1,0.1252
S,E7000,TOT_KWH,KWH,X_TAX,EUR,AL,2024-S2,0.1292
S,E7000,TOT_KWH,KWH,X_TAX,EUR,AL,2025-S1,0.142
S,E7000,TOT_KWH,KWH,X_TAX,EUR,AL,2025-S2,0.1321
S,E7000,TOT_KWH,KWH,X_TAX,EUR,AT,2021-S2,0.101
S,E7000,TOT_KWH,KWH,X_TAX,EUR,AT,2022-S1,0.1542
S,E7000,TOT_KWH,KWH,X_TAX,EUR,AT,2022-S2,0.1928
S,E7000,TOT_KWH,KWH,X_TAX,EUR,AT,2023-S1,0.2264
S,E7000,TOT_KWH,KWH,X_TAX,EUR,AT,2023-S2,0.2163
S,E7000,TOT_KWH,KWH,X_TAX,EUR,AT,2024-S1,0.1727
S,E7000,TOT_KWH,KWH,X_TAX,EUR,AT,2024-S2,0.1758
S,E7000,TOT_KWH,KWH,X_TAX,EUR,AT,2025-S1,0.1613
S,E7000,TOT_KWH,KWH,X_TAX,EUR,AT,2025-S2,0.1594
S,E7000,TOT_KWH,KWH,X_TAX,EUR,BA,2021-S2,0.0745
S,E7000,TOT_KWH,KWH,X_TAX,EUR,BA,2022-S1,0.0795
S,E7000,TOT_KWH,KWH,X_TAX,EUR,BA,2022-S2,0.0916
S,E7000,TOT_KWH,KWH,X_TAX,EUR,BA,2023-S1,0.0949
S,E7000,TOT_KWH,KWH,X_TAX,EUR,BA,2023-S2,0.0954
S,E7000,TOT_KWH,KWH,X_TAX,EUR,BA,2024-S1,0.0988
S,E7000,TOT_KWH,KWH,X_TAX,EUR,BA,2024-S2,0.1001
S,E7000,TOT_KWH,KWH,X_TAX,EUR,BA,2025-S1,0.1122
S,E7000,TOT_KWH,KWH,X_TAX,EUR,BA,2025-S2,0.1124
S,E7000,TOT_KWH,KWH,X_TAX,EUR,BE,2021-S2,0.1101
S,E7000,TOT_KWH,KWH,X_TAX,EUR,BE,2022-S1,0.1584
S,E7000,TOT_KWH,KWH,X_TAX,EUR,BE,2022-S2,0.2101
S,E7000,TOT_KWH,KWH,X_TAX,EUR,BE,2023-S1,0.1834
S,E7000,TOT_KWH,KWH,X_TAX,EUR,BE,2023-S2,0.1542
S,E7000,TOT_KWH,KWH,X_TAX,EUR,BE,2024-S1,0.1221
S,E7000,TOT_KWH,KWH,X_TAX,EUR,BE,2024-S2,0.1316
S,E7000,TOT_KWH,KWH,X_TAX,EUR,BE,2025-S1,0.1424
S,E7000,TOT_KWH,KWH,X_TAX,EUR,BE,2025-S2,0.1342
S,E7000,TOT_KWH,KWH,X_TAX,EUR,BG,2021-S2,0.166
S,E7000,TOT_KWH,KWH,X_TAX,EUR,BG,2022-S1,0.2274
S,E7000,TOT_KWH,KWH,X_TAX,EUR,BG,2022-S2,0.332
S,E7000,TOT_KWH,KWH,X_TAX,EUR,BG,2023-S1,0.1544
S,E7000,TOT_KWH,KWH,X_TAX,EUR,BG,2023-S2,0.1296
S,E7000,TOT_KWH,KWH,X_TAX,EUR,BG,2024-S1,0.107
S,E7000,TOT_KWH,KWH,X_TAX,EUR,BG,2024-S2,0.1522
S,E7000,TOT_KWH,KWH,X_TAX,EUR,BG,2025-S1,0.1365
S,E7000,TOT_KWH,KWH,X_TAX,EUR,BG,2025-S2,0.1332
S,E7000,TOT_KWH,KWH,X_TAX,EUR,CY,2021-S2,0.1399
S,E7000,TOT_KWH,KWH,X_TAX,EUR,CY,2022-S1,0.1705
S,E7000,TOT_KWH,KWH,X_TAX,EUR,CY,2022-S2,0.2449
S,E7000,TOT_KWH,KWH,X_TAX,EUR,CY,2023-S1,0.2029
S,E7000,TOT_KWH,KWH,X_TAX,EUR,CY,2023-S2,0.1995
S,E7000,TOT_KWH,KWH,X_TAX,EUR,CY,2024-S1,0.1789
S,E7000,TOT_KWH,KWH,X_TAX,EUR,CY,2025-S2,0.1734
S,E7000,TOT_KWH,KWH,X_TAX,EUR,CZ,2021-S2,0.097
S,E7000,TOT_KWH,KWH,X_TAX,EUR,CZ,2022-S1,0.1691
S,E7000,TOT_KWH,KWH,X_TAX,EUR,CZ,2022-S2,0.1947
S,E7000,TOT_KWH,KWH,X_TAX,EUR,CZ,2023-S1,0.2083
S,E7000,TOT_KWH,KWH,X_TAX,EUR,CZ,2023-S2,0.1917
S,E7000,TOT_KWH,KWH,X_TAX,EUR,CZ,2024-S1,0.1747
S,E7000,TOT_KWH,KWH,X_TAX,EUR,CZ,2024-S2,0.1768
S,E7000,TOT_KWH,KWH,X_TAX,EUR,CZ,2025-S1,0.1703
S,E7000,TOT_KWH,KWH,X_TAX,EUR,CZ,2025-S2,0.1738
S,E7000,TOT_KWH,KWH,X_TAX,EUR,DE,2021-S2,0.0955
S,E7000,TOT_KWH,KWH,X_TAX,EUR,DE,2022-S1,0.1482
S,E7000,TOT_KWH,KWH,X_TAX,EUR,DE,2022-S2,0.1831
S,E7000,TOT_KWH,KWH,X_TAX,EUR,DE,2023-S1,0.1831
S,E7000,TOT_KWH,KWH,X_TAX,EUR,DE,2023-S2,0.1784
S,E7000,TOT_KWH,KWH,X_TAX,EUR,DE,2024-S1,0.1742
S,E7000,TOT_KWH,KWH,X_TAX,EUR,DE,2024-S2,0.1792
S,E7000,TOT_KWH,KWH,X_TAX,EUR,DE,2025-S1,0.1632
S,E7000,TOT_KWH,KWH,X_TAX,EUR,DE,2025-S2,0.1614
S,E7000,TOT_KWH,KWH,X_TAX,EUR,DK,2021-S2,0.1272
S,E7000,TOT_KWH,KWH,X_TAX,EUR,DK,2022-S1,0.1694
S,E7000,TOT_KWH,KWH,X_TAX,EUR,DK,2022-S2,0.2482
S,E7000,TOT_KWH,KWH,X_TAX,EUR,DK,2023-S1,0.144
S,E7000,TOT_KWH,KWH,X_TAX,EUR,DK,2023-S2,0.1207
S,E7000,TOT_KWH,KWH,X_TAX,EUR,DK,2024-S1,0.1087
S,E7000,TOT_KWH,KWH,X_TAX,EUR,DK,2024-S2,0.1258
S,E7000,TOT_KWH,KWH,X_TAX,EUR,DK,2025-S1,0.1259
S,E7000,TOT_KWH,KWH,X_TAX,EUR,DK,2025-S2,0.1203
S,E7000,TOT_KWH,KWH,X_TAX,EUR,EA,2017-S2,0.0609
S,E7000,TOT_KWH,KWH,X_TAX,EUR,EA,2018-S1,0.0619
S,E7000,TOT_KWH,KWH,X_TAX,EUR,EA,2018-S2,0.0735
S,E7000,TOT_KWH,KWH,X_TAX,EUR,EA,2019-S1,0.0759
S,E7000,TOT_KWH,KWH,X_TAX,EUR,EA,2019-S2,0.0705
S,E7000,TOT_KWH,KWH,X_TAX,EUR,EA,2020-S1,0.073
S,E7000,TOT_KWH,KWH,X_TAX,EUR,EA,2020-S2,0.0853
S,E7000,TOT_KWH,KWH,X_TAX,EUR,EA,2021-S1,0.0809
S,E7000,TOT_KWH,KWH,X_TAX,EUR,EA,2021-S2,0.1101
S,E7000,TOT_KWH,KWH,X_TAX,EUR,EA,2022-S1,0.1705
S,E7000,TOT_KWH,KWH,X_TAX,EUR,EA,2022-S2,0.2082
S,E7000,TOT_KWH,KWH,X_TAX,EUR,EA,2023-S1,0.1977
S,E7000,TOT_KWH,KWH,X_TAX,EUR,EA,2023-S2,0.1805
S,E7000,TOT_KWH,KWH,X_TAX,EUR,EA,2024-S1,0.1573
S,E7000,TOT_KWH,KWH,X_TAX,EUR,EA,2024-S2,0.1617
S,E7000,TOT_KWH,KWH,X_TAX,EUR,EA,2025-S1,0.1566
S,E7000,TOT_KWH,KWH,X_TAX,EUR,EA,2025-S2,0.1481
S,E7000,TOT_KWH,KWH,X_TAX,EUR,EE,2021-S2,0.1275
S,E7000,TOT_KWH,KWH,X_TAX,EUR,EE,2022-S1,0.1418
S,E7000,TOT_KWH,KWH,X_TAX,EUR,EE,2022-S2,0.2228
S,E7000,TOT_KWH,KWH,X_TAX,EUR,EE,2023-S1,0.1418
S,E7000,TOT_KWH,KWH,X_TAX,EUR,EE,2023-S2,0.1429
S,E7000,TOT_KWH,KWH,X_TAX,EUR,EE,2024-S1,0.131
S,E7000,TOT_KWH,KWH,X_TAX,EUR,EE,2024-S2,0.1363
S,E7000,TOT_KWH,KWH,X_TAX,EUR,EE,2025-S1,0.1285
S,E7000,TOT_KWH,KWH,X_TAX,EUR,EE,2025-S2,0.1199
S,E7000,TOT_KWH,KWH,X_TAX,EUR,EL,2021-S2,0.1507
S,E7000,TOT_KWH,KWH,X_TAX,EUR,EL,2022-S1,0.2191
S,E7000,TOT_KWH,KWH,X_TAX,EUR,EL,2022-S2,0.3418
S,E7000,TOT_KWH,KWH,X_TAX,EUR,EL,2023-S1,0.163
S,E7000,TOT_KWH,KWH,X_TAX,EUR,EL,2023-S2,0.1456
S,E7000,TOT_KWH,KWH,X_TAX,EUR,EL,2024-S1,0.1316
S,E7000,TOT_KWH,KWH,X_TAX,EUR,EL,2024-S2,0.1624
S,E7000,TOT_KWH,KWH,X_TAX,EUR,EL,2025-S1,0.1675
S,E7000,TOT_KWH,KWH,X_TAX,EUR,EL,2025-S2,0.1484
S,E7000,TOT_KWH,KWH,X_TAX,EUR,ES,2021-S2,0.1158
S,E7000,TOT_KWH,KWH,X_TAX,EUR,ES,2022-S1,0.197
S,E7000,TOT_KWH,KWH,X_TAX,EUR,ES,2022-S2,0.2186
S,E7000,TOT_KWH,KWH,X_TAX,EUR,ES,2023-S1,0.1515
S,E7000,TOT_KWH,KWH,X_TAX,EUR,ES,2023-S2,0.1434
S,E7000,TOT_KWH,KWH,X_TAX,EUR,ES,2024-S1,0.1169
S,E7000,TOT_KWH,KWH,X_TAX,EUR,ES,2024-S2,0.1281
S,E7000,TOT_KWH,KWH,X_TAX,EUR,ES,2025-S1,0.1238
S,E7000,TOT_KWH,KWH,X_TAX,EUR,ES,2025-S2,0.1157
S,E7000,TOT_KWH,KWH,X_TAX,EUR,EU27_2020,2017-S2,0.0609
S,E7000,TOT_KWH,KWH,X_TAX,EUR,EU27_2020,2018-S1,0.0619
S,E7000,TOT_KWH,KWH,X_TAX,EUR,EU27_2020,2018-S2,0.0735
S,E7000,TOT_KWH,KWH,X_TAX,EUR,EU27_2020,2019-S1,0.0759
S,E7000,TOT_KWH,KWH,X_TAX,EUR,EU27_2020,2019-S2,0.0705
S,E7000,TOT_KWH,KWH,X_TAX,EUR,EU27_2020,2020-S1,0.0628
S,E7000,TOT_KWH,KWH,X_TAX,EUR,EU27_2020,2020-S2,0.074
S,E7000,TOT_KWH,KWH,X_TAX,EUR,EU27_2020,2021-S1,0.0738
S,E7000,TOT_KWH,KWH,X_TAX,EUR,EU27_2020,2021-S2,0.107
S,E7000,TOT_KWH,KWH,X_TAX,EUR,EU27_2020,2022-S1,0.1634
S,E7000,TOT_KWH,KWH,X_TAX,EUR,EU27_2020,2022-S2,0.2029
S,E7000,TOT_KWH,KWH,X_TAX,EUR,EU27_2020,2023-S1,0.1893
S,E7000,TOT_KWH,KWH,X_TAX,EUR,EU27_2020,2023-S2,0.1726
S,E7000,TOT_KWH,KWH,X_TAX,EUR,EU27_2020,2024-S1,0.1512
S,E7000,TOT_KWH,KWH,X_TAX,EUR,EU27_2020,2024-S2,0.1563
S,E7000,TOT_KWH,KWH,X_TAX,EUR,EU27_2020,2025-S1,0.1514
S,E7000,TOT_KWH,KWH,X_TAX,EUR,EU27_2020,2025-S2,0.1452
S,E7000,TOT_KWH,KWH,X_TAX,EUR,FI,2021-S2,0.0828
S,E7000,TOT_KWH,KWH,X_TAX,EUR,FI,2022-S1,0.0888
S,E7000,TOT_KWH,KWH,X_TAX,EUR,FI,2022-S2,0.1365
S,E7000,TOT_KWH,KWH,X_TAX,EUR,FI,2023-S1,0.0997
S,E7000,TOT_KWH,KWH,X_TAX,EUR,FI,2023-S2,0.0853
S,E7000,TOT_KWH,KWH,X_TAX,EUR,FI,2024-S1,0.0893
S,E7000,TOT_KWH,KWH,X_TAX,EUR,FI,2024-S2,0.0732
S,E7000,TOT_KWH,KWH,X_TAX,EUR,FI,2025-S1,0.0722
S,E7000,TOT_KWH,KWH,X_TAX,EUR,FI,2025-S2,0.0678
S,E7000,TOT_KWH,KWH,X_TAX,EUR,FR,2021-S2,0.089
S,E7000,TOT_KWH,KWH,X_TAX,EUR,FR,2022-S1,0.1241
S,E7000,TOT_KWH,KWH,X_TAX,EUR,FR,2022-S2,0.1237
S,E7000,TOT_KWH,KWH,X_TAX,EUR,FR,2023-S1,0.2071
S,E7000,TOT_KWH,KWH,X_TAX,EUR,FR,2023-S2,0.1939
S,E7000,TOT_KWH,KWH,X_TAX,EUR,FR,2024-S1,0.157
S,E7000,TOT_KWH,KWH,X_TAX,EUR,FR,2024-S2,0.1469
S,E7000,TOT_KWH,KWH,X_TAX,EUR,FR,2025-S1,0.1379
S,E7000,TOT_KWH,KWH,X_TAX,EUR,FR,2025-S2,0.1228
S,E7000,TOT_KWH,KWH,X_TAX,EUR,GE,2024-S2,0.0815
S,E7000,TOT_KWH,KWH,X_TAX,EUR,GE,2025-S1,0.0864
S,E7000,TOT_KWH,KWH,X_TAX,EUR,GE,2025-S2,0.0841
S,E7000,TOT_KWH,KWH,X_TAX,EUR,HR,2021-S2,0.1024
S,E7000,TOT_KWH,KWH,X_TAX,EUR,HR,2022-S1,0.1465
S,E7000,TOT_KWH,KWH,X_TAX,EUR,HR,2022-S2,0.2292
S,E7000,TOT_KWH,KWH,X_TAX,EUR,HR,2023-S1,0.2656
S,E7000,TOT_KWH,KWH,X_TAX,EUR,HR,2023-S2,0.2105
S,E7000,TOT_KWH,KWH,X_TAX,EUR,HR,2024-S1,0.1827
S,E7000,TOT_KWH,KWH,X_TAX,EUR,HR,2024-S2,0.1621
S,E7000,TOT_KWH,KWH,X_TAX,EUR,HR,2025-S1,0.1568
S,E7000,TOT_KWH,KWH,X_TAX,EUR,HR,2025-S2,0.1421
S,E7000,TOT_KWH,KWH,X_TAX,EUR,HU,2021-S1,0.0789
S,E7000,TOT_KWH,KWH,X_TAX,EUR,HU,2021-S2,0.1043
S,E7000,TOT_KWH,KWH,X_TAX,EUR,HU,2022-S1,0.1888
S,E7000,TOT_KWH,KWH,X_TAX,EUR,HU,2022-S2,0.2527
S,E7000,TOT_KWH,KWH,X_TAX,EUR,HU,2023-S1,0.2681
S,E7000,TOT_KWH,KWH,X_TAX,EUR,HU,2023-S2,0.2307
S,E7000,TOT_KWH,KWH,X_TAX,EUR,HU,2024-S1,0.1724
S,E7000,TOT_KWH,KWH,X_TAX,EUR,HU,2024-S2,0.197
S,E7000,TOT_KWH,KWH,X_TAX,EUR,HU,2025-S1,0.1725
S,E7000,TOT_KWH,KWH,X_TAX,EUR,HU,2025-S2,0.1774
S,E7000,TOT_KWH,KWH,X_TAX,EUR,IE,2017-S2,0.1066
S,E7000,TOT_KWH,KWH,X_TAX,EUR,IE,2020-S1,0.1162
S,E7000,TOT_KWH,KWH,X_TAX,EUR,IE,2020-S2,0.117
S,E7000,TOT_KWH,KWH,X_TAX,EUR,IE,2021-S2,0.1756
S,E7000,TOT_KWH,KWH,X_TAX,EUR,IE,2022-S1,0.2139
S,E7000,TOT_KWH,KWH,X_TAX,EUR,IE,2022-S2,0.2806
S,E7000,TOT_KWH,KWH,X_TAX,EUR,IE,2023-S1,0.2823
S,E7000,TOT_KWH,KWH,X_TAX,EUR,IE,2023-S2,0.2486
S,E7000,TOT_KWH,KWH,X_TAX,EUR,IE,2024-S1,0.2294
S,E7000,TOT_KWH,KWH,X_TAX,EUR,IE,2024-S2,0.2281
S,E7000,TOT_KWH,KWH,X_TAX,EUR,IE,2025-S1,0.2321
S,E7000,TOT_KWH,KWH,X_TAX,EUR,IE,2025-S2,0.2189
S,E7000,TOT_KWH,KWH,X_TAX,EUR,IT,2021-S2,0.1497
S,E7000,TOT_KWH,KWH,X_TAX,EUR,IT,2022-S1,0.2473
S,E7000,TOT_KWH,KWH,X_TAX,EUR,IT,2022-S2,0.3291
S,E7000,TOT_KWH,KWH,X_TAX,EUR,IT,2023-S1,0.2285
S,E7000,TOT_KWH,KWH,X_TAX,EUR,IT,2023-S2,0.191
S,E7000,TOT_KWH,KWH,X_TAX,EUR,IT,2024-S1,0.1678
S,E7000,TOT_KWH,KWH,X_TAX,EUR,IT,2024-S2,0.18
S,E7000,TOT_KWH,KWH,X_TAX,EUR,IT,2025-S1,0.1903
S,E7000,TOT_KWH,KWH,X_TAX,EUR,IT,2025-S2,0.179
S,E7000,TOT_KWH,KWH,X_TAX,EUR,LT,2021-S2,0.1213
S,E7000,TOT_KWH,KWH,X_TAX,EUR,LT,2022-S1,0.1556
S,E7000,TOT_KWH,KWH,X_TAX,EUR,LT,2022-S2,0.2689
S,E7000,TOT_KWH,KWH,X_TAX,EUR,LT,2025-S2,0.1461
S,E7000,TOT_KWH,KWH,X_TAX,EUR,LU,2021-S2,0.0973
S,E7000,TOT_KWH,KWH,X_TAX,EUR,LU,2022-S1,0.139
S,E7000,TOT_KWH,KWH,X_TAX,EUR,LU,2022-S2,0.1729
S,E7000,TOT_KWH,KWH,X_TAX,EUR,LU,2023-S1,0.2049
S,E7000,TOT_KWH,KWH,X_TAX,EUR,LU,2023-S2,0.1848
S,E7000,TOT_KWH,KWH,X_TAX,EUR,LU,2024-S1,0.1552
S,E7000,TOT_KWH,KWH,X_TAX,EUR,LU,2024-S2,0.1575
S,E7000,TOT_KWH,KWH,X_TAX,EUR,LU,2025-S1,0.1517
S,E7000,TOT_KWH,KWH,X_TAX,EUR,LU,2025-S2,0.1391
S,E7000,TOT_KWH,KWH,X_TAX,EUR,LV,2024-S2,0.1499
S,E7000,TOT_KWH,KWH,X_TAX,EUR,LV,2025-S1,0.1409
S,E7000,TOT_KWH,KWH,X_TAX,EUR,LV,2025-S2,0.1404
S,E7000,TOT_KWH,KWH,X_TAX,EUR,MD,2022-S1,0.0401
S,E7000,TOT_KWH,KWH,X_TAX,EUR,ME,2025-S2,0.0865
S,E7000,TOT_KWH,KWH,X_TAX,EUR,MK,2021-S2,0.1324
S,E7000,TOT_KWH,KWH,X_TAX,EUR,MK,2022-S1,0.182
S,E7000,TOT_KWH,KWH,X_TAX,EUR,MK,2022-S2,0.2845
S,E7000,TOT_KWH,KWH,X_TAX,EUR,MK,2023-S1,0.1615
S,E7000,TOT_KWH,KWH,X_TAX,EUR,MK,2023-S2,0.1289
S,E7000,TOT_KWH,KWH,X_TAX,EUR,MK,2024-S1,0.1065
S,E7000,TOT_KWH,KWH,X_TAX,EUR,MK,2024-S2,0.145
S,E7000,TOT_KWH,KWH,X_TAX,EUR,MK,2025-S2,0.1419
S,E7000,TOT_KWH,KWH,X_TAX,EUR,NL,2017-S2,0.0597
S,E7000,TOT_KWH,KWH,X_TAX,EUR,NL,2018-S1,0.0617
S,E7000,TOT_KWH,KWH,X_TAX,EUR,NL,2018-S2,0.0722
S,E7000,TOT_KWH,KWH,X_TAX,EUR,NL,2019-S1,0.0757
S,E7000,TOT_KWH,KWH,X_TAX,EUR,NL,2019-S2,0.0723
S,E7000,TOT_KWH,KWH,X_TAX,EUR,NL,2020-S1,0.0751
S,E7000,TOT_KWH,KWH,X_TAX,EUR,NL,2020-S2,0.0735
S,E7000,TOT_KWH,KWH,X_TAX,EUR,NL,2021-S1,0.0758
S,E7000,TOT_KWH,KWH,X_TAX,EUR,NL,2021-S2,0.0969
S,E7000,TOT_KWH,KWH,X_TAX,EUR,NL,2022-S1,0.144
S,E7000,TOT_KWH,KWH,X_TAX,EUR,NL,2022-S2,0.1767
S,E7000,TOT_KWH,KWH,X_TAX,EUR,NL,2023-S1,0.2208
S,E7000,TOT_KWH,KWH,X_TAX,EUR,NL,2023-S2,0.1983
