freq,nrg_bal,siec,unit,geo,time,value
A,FC_IND_E,TOTAL,KTOE,AL,2013,281.451
A,FC_IND_E,TOTAL,KTOE,AL,2014,372.768
A,FC_IND_E,TOTAL,KTOE,AL,2015,301.176
A,FC_IND_E,TOTAL,KTOE,AL,2016,285.923
A,FC_IND_E,TOTAL,KTOE,AL,2017,405.514
A,FC_IND_E,TOTAL,KTOE,AL,2018,457.432
A,FC_IND_E,TOTAL,KTOE,AL,2019,366.407
A,FC_IND_E,TOTAL,KTOE,AL,2020,385.24
A,FC_IND_E,TOTAL,KTOE,AL,2021,446.307
A,FC_IND_E,TOTAL,KTOE,AL,2022,430.752
A,FC_IND_E,TOTAL,KTOE,AL,2023,403.808
A,FC_IND_E,TOTAL,KTOE,AL,2024,409.139
A,FC_IND_E,TOTAL,KTOE,AT,2013,7494.58
A,FC_IND_E,TOTAL,KTOE,AT,2014,7340.552
A,FC_IND_E,TOTAL,KTOE,AT,2015,7363.897
A,FC_IND_E,TOTAL,KTOE,AT,2016,7608.447
A,FC_IND_E,TOTAL,KTOE,AT,2017,7629.156
A,FC_IND_E,TOTAL,KTOE,AT,2018,7563.291
A,FC_IND_E,TOTAL,KTOE,AT,2019,7542.285
A,FC_IND_E,TOTAL,KTOE,AT,2020,7274.665
A,FC_IND_E,TOTAL,KTOE,AT,2021,7455.981
A,FC_IND_E,TOTAL,KTOE,AT,2022,7463.073
A,FC_IND_E,TOTAL,KTOE,AT,2023,6788.523
A,FC_IND_E,TOTAL,KTOE,AT,2024,6875.366
A,FC_IND_E,TOTAL,KTOE,BA,2014,717.286
A,FC_IND_E,TOTAL,KTOE,BA,2015,756.627
A,FC_IND_E,TOTAL,KTOE,BA,2016,754.104
A,FC_IND_E,TOTAL,KTOE,BA,2017,828.931
A,FC_IND_E,TOTAL,KTOE,BA,2018,863.498
A,FC_IND_E,TOTAL,KTOE,BA,2019,752.725
A,FC_IND_E,TOTAL,KTOE,BA,2020,600.61
A,FC_IND_E,TOTAL,KTOE,BA,2021,703.358
A,FC_IND_E,TOTAL,KTOE,BA,2022,664.959
A,FC_IND_E,TOTAL,KTOE,BA,2023,561.031
A,FC_IND_E,TOTAL,KTOE,BA,2024,701.397
A,FC_IND_E,TOTAL,KTOE,BE,2013,10741.364
A,FC_IND_E,TOTAL,KTOE,BE,2014,10557.372
A,FC_IND_E,TOTAL,KTOE,BE,2015,10570.537
A,FC_IND_E,TOTAL,KTOE,BE,2016,10628.386
A,FC_IND_E,TOTAL,KTOE,BE,2017,10445.991
A,FC_IND_E,TOTAL,KTOE,BE,2018,10682.546
A,FC_IND_E,TOTAL,KTOE,BE,2019,10692.196
A,FC_IND_E,TOTAL,KTOE,BE,2020,10591.235
A,FC_IND_E,TOTAL,KTOE,BE,2021,11066.441
A,FC_IND_E,TOTAL,KTOE,BE,2022,9943.224
A,FC_IND_E,TOTAL,KTOE,BE,2023,9477.604
A,FC_IND_E,TOTAL,KTOE,BE,2024,9846.714
A,FC_IND_E,TOTAL,KTOE,BG,2013,2595.527
A,FC_IND_E,TOTAL,KTOE,BG,2014,2617.523
A,FC_IND_E,TOTAL,KTOE,BG,2015,2719.641
A,FC_IND_E,TOTAL,KTOE,BG,2016,2655.459
A,FC_IND_E,TOTAL,KTOE,BG,2017,2757.516
A,FC_IND_E,TOTAL,KTOE,BG,2018,2736.144
A,FC_IND_E,TOTAL,KTOE,BG,2019,2678.806
A,FC_IND_E,TOTAL,KTOE,BG,2020,2646.35
A,FC_IND_E,TOTAL,KTOE,BG,2021,2823.82
A,FC_IND_E,TOTAL,KTOE,BG,2022,2703.532
A,FC_IND_E,TOTAL,KTOE,BG,2023,2540.266
A,FC_IND_E,TOTAL,KTOE,BG,2024,2594.815
A,FC_IND_E,TOTAL,KTOE,CY,2013,186.089
A,FC_IND_E,TOTAL,KTOE,CY,2014,225.539
A,FC_IND_E,TOTAL,KTOE,CY,2015,211.592
A,FC_IND_E,TOTAL,KTOE,CY,2016,215.369
A,FC_IND_E,TOTAL,KTOE,CY,2017,234.2
A,FC_IND_E,TOTAL,KTOE,CY,2018,227.688
A,FC_IND_E,TOTAL,KTOE,CY,2019,228.648
A,FC_IND_E,TOTAL,KTOE,CY,2020,244.584
A,FC_IND_E,TOTAL,KTOE,CY,2021,246.344
A,FC_IND_E,TOTAL,KTOE,CY,2022,250.728
A,FC_IND_E,TOTAL,KTOE,CY,2023,252.856
A,FC_IND_E,TOTAL,KTOE,CY,2024,246.834
A,FC_IND_E,TOTAL,KTOE,CZ,2013,6426.744
A,FC_IND_E,TOTAL,KTOE,CZ,2014,6331.755
A,FC_IND_E,TOTAL,KTOE,CZ,2015,6477.94
A,FC_IND_E,TOTAL,KTOE,CZ,2016,6412.09
A,FC_IND_E,TOTAL,KTOE,CZ,2017,6734.121
A,FC_IND_E,TOTAL,KTOE,CZ,2018,6699.106
A,FC_IND_E,TOTAL,KTOE,CZ,2019,6618.619
A,FC_IND_E,TOTAL,KTOE,CZ,2020,6567.069
A,FC_IND_E,TOTAL,KTOE,CZ,2021,7013.271
A,FC_IND_E,TOTAL,KTOE,CZ,2022,6564.625
A,FC_IND_E,TOTAL,KTOE,CZ,2023,5966.333
A,FC_IND_E,TOTAL,KTOE,CZ,2024,5671.87
A,FC_IND_E,TOTAL,KTOE,DE,2013,56347.486
A,FC_IND_E,TOTAL,KTOE,DE,2014,55725.644
A,FC_IND_E,TOTAL,KTOE,DE,2015,56067.59
A,FC_IND_E,TOTAL,KTOE,DE,2016,56677.082
A,FC_IND_E,TOTAL,KTOE,DE,2017,57146.089
A,FC_IND_E,TOTAL,KTOE,DE,2018,57090.092
A,FC_IND_E,TOTAL,KTOE,DE,2019,55649.346
A,FC_IND_E,TOTAL,KTOE,DE,2020,54762.64
A,FC_IND_E,TOTAL,KTOE,DE,2021,56064.099
A,FC_IND_E,TOTAL,KTOE,DE,2022,53008.103
A,FC_IND_E,TOTAL,KTOE,DE,2023,49687.05
A,FC_IND_E,TOTAL,KTOE,DE,2024,48368.387
A,FC_IND_E,TOTAL,KTOE,DK,2013,2179.385
A,FC_IND_E,TOTAL,KTOE,DK,2014,2120.55
A,FC_IND_E,TOTAL,KTOE,DK,2015,2116.284
A,FC_IND_E,TOTAL,KTOE,DK,2016,2185.46
A,FC_IND_E,TOTAL,KTOE,DK,2017,2284.643
A,FC_IND_E,TOTAL,KTOE,DK,2018,2318.685
A,FC_IND_E,TOTAL,KTOE,DK,2019,2257.662
A,FC_IND_E,TOTAL,KTOE,DK,2020,2307.445
A,FC_IND_E,TOTAL,KTOE,DK,2021,2478.016
A,FC_IND_E,TOTAL,KTOE,DK,2022,2268.129
A,FC_IND_E,TOTAL,KTOE,DK,2023,2135.92
A,FC_IND_E,TOTAL,KTOE,DK,2024,2133.981
A,FC_IND_E,TOTAL,KTOE,EE,2013,639.597
A,FC_IND_E,TOTAL,KTOE,EE,2014,555.819
A,FC_IND_E,TOTAL,KTOE,EE,2015,535.033
A,FC_IND_E,TOTAL,KTOE,EE,2016,457.757
A,FC_IND_E,TOTAL,KTOE,EE,2017,462.926
