freq,unit,nace_r2,na_item,geo,time,value
A,CLV20_MEUR,B-E,B1G,AL,1995,409.3
A,CLV20_MEUR,B-E,B1G,AL,1996,465.0
A,CLV20_MEUR,B-E,B1G,AL,1997,346.7
A,CLV20_MEUR,B-E,B1G,AL,1998,444.9
A,CLV20_MEUR,B-E,B1G,AL,1999,508.9
A,CLV20_MEUR,B-E,B1G,AL,2000,528.2
A,CLV20_MEUR,B-E,B1G,AL,2001,550.7
A,CLV20_MEUR,B-E,B1G,AL,2002,537.8
A,CLV20_MEUR,B-E,B1G,AL,2003,684.5
A,CLV20_MEUR,B-E,B1G,AL,2004,739.0
A,CLV20_MEUR,B-E,B1G,AL,2005,797.5
A,CLV20_MEUR,B-E,B1G,AL,2006,871.5
A,CLV20_MEUR,B-E,B1G,AL,2007,845.9
A,CLV20_MEUR,B-E,B1G,AL,2008,851.2
A,CLV20_MEUR,B-E,B1G,AL,2009,898.4
A,CLV20_MEUR,B-E,B1G,AL,2010,1060.3
A,CLV20_MEUR,B-E,B1G,AL,2011,1065.4
A,CLV20_MEUR,B-E,B1G,AL,2012,1043.0
A,CLV20_MEUR,B-E,B1G,AL,2013,1188.2
A,CLV20_MEUR,B-E,B1G,AL,2014,1285.1
A,CLV20_MEUR,B-E,B1G,AL,2015,1374.0
A,CLV20_MEUR,B-E,B1G,AL,2016,1470.3
A,CLV20_MEUR,B-E,B1G,AL,2017,1403.4
A,CLV20_MEUR,B-E,B1G,AL,2018,1591.8
A,CLV20_MEUR,B-E,B1G,AL,2019,1629.8
A,CLV20_MEUR,B-E,B1G,AL,2020,1510.4
A,CLV20_MEUR,B-E,B1G,AL,2021,1633.8
A,CLV20_MEUR,B-E,B1G,AL,2022,1704.7
A,CLV20_MEUR,B-E,B1G,AL,2023,1768.9
A,CLV20_MEUR,B-E,B1G,AL,2024,1688.4
A,CLV20_MEUR,B-E,B1G,AT,1995,46007.8
A,CLV20_MEUR,B-E,B1G,AT,1996,46598.7
A,CLV20_MEUR,B-E,B1G,AT,1997,47986.2
A,CLV20_MEUR,B-E,B1G,AT,1998,49374.1
A,CLV20_MEUR,B-E,B1G,AT,1999,51573.9
A,CLV20_MEUR,B-E,B1G,AT,2000,54366.0
A,CLV20_MEUR,B-E,B1G,AT,2001,56387.7
A,CLV20_MEUR,B-E,B1G,AT,2002,55798.4
A,CLV20_MEUR,B-E,B1G,AT,2003,56295.7
A,CLV20_MEUR,B-E,B1G,AT,2004,58503.6
A,CLV20_MEUR,B-E,B1G,AT,2005,60578.3
A,CLV20_MEUR,B-E,B1G,AT,2006,64100.6
A,CLV20_MEUR,B-E,B1G,AT,2007,67429.8
A,CLV20_MEUR,B-E,B1G,AT,2008,67921.4
A,CLV20_MEUR,B-E,B1G,AT,2009,60002.8
A,CLV20_MEUR,B-E,B1G,AT,2010,63815.9
A,CLV20_MEUR,B-E,B1G,AT,2011,67374.1
A,CLV20_MEUR,B-E,B1G,AT,2012,68490.6
A,CLV20_MEUR,B-E,B1G,AT,2013,69144.2
A,CLV20_MEUR,B-E,B1G,AT,2014,69778.0
A,CLV20_MEUR,B-E,B1G,AT,2015,70072.1
A,CLV20_MEUR,B-E,B1G,AT,2016,73189.2
A,CLV20_MEUR,B-E,B1G,AT,2017,75545.9
A,CLV20_MEUR,B-E,B1G,AT,2018,78288.0
A,CLV20_MEUR,B-E,B1G,AT,2019,79172.9
A,CLV20_MEUR,B-E,B1G,AT,2020,73789.8
A,CLV20_MEUR,B-E,B1G,AT,2021,80840.3
A,CLV20_MEUR,B-E,B1G,AT,2022,87990.1
A,CLV20_MEUR,B-E,B1G,AT,2023,85744.9
A,CLV20_MEUR,B-E,B1G,AT,2024,81474.8
A,CLV20_MEUR,B-E,B1G,AT,2025,81182.7
A,CLV20_MEUR,B-E,B1G,BA,2000,1722.6
A,CLV20_MEUR,B-E,B1G,BA,2001,1821.6
A,CLV20_MEUR,B-E,B1G,BA,2002,1884.7
A,CLV20_MEUR,B-E,B1G,BA,2003,1979.9
A,CLV20_MEUR,B-E,B1G,BA,2004,2142.8
A,CLV20_MEUR,B-E,B1G,BA,2005,2312.6
A,CLV20_MEUR,B-E,B1G,BA,2006,2589.0
A,CLV20_MEUR,B-E,B1G,BA,2007,2773.2
A,CLV20_MEUR,B-E,B1G,BA,2008,2969.7
A,CLV20_MEUR,B-E,B1G,BA,2009,2857.2
A,CLV20_MEUR,B-E,B1G,BA,2010,3018.7
A,CLV20_MEUR,B-E,B1G,BA,2011,3025.0
A,CLV20_MEUR,B-E,B1G,BA,2012,2940.6
A,CLV20_MEUR,B-E,B1G,BA,2013,3098.6
A,CLV20_MEUR,B-E,B1G,BA,2014,3116.5
A,CLV20_MEUR,B-E,B1G,BA,2015,3135.6
A,CLV20_MEUR,B-E,B1G,BA,2016,3306.8
A,CLV20_MEUR,B-E,B1G,BA,2017,3480.0
A,CLV20_MEUR,B-E,B1G,BA,2018,3628.5
A,CLV20_MEUR,B-E,B1G,BA,2019,3553.5
A,CLV20_MEUR,B-E,B1G,BA,2020,3413.3
A,CLV20_MEUR,B-E,B1G,BA,2021,3799.6
A,CLV20_MEUR,B-E,B1G,BA,2022,3866.4
A,CLV20_MEUR,B-E,B1G,BA,2023,3766.9
A,CLV20_MEUR,B-E,B1G,BA,2024,3692.7
A,CLV20_MEUR,B-E,B1G,BA,2025,3588.9
A,CLV20_MEUR,B-E,B1G,BE,1995,52215.4
A,CLV20_MEUR,B-E,B1G,BE,1996,54095.4
A,CLV20_MEUR,B-E,B1G,BE,1997,57508.1
A,CLV20_MEUR,B-E,B1G,BE,1998,58831.6
A,CLV20_MEUR,B-E,B1G,BE,1999,59387.1
A,CLV20_MEUR,B-E,B1G,BE,2000,62898.8
A,CLV20_MEUR,B-E,B1G,BE,2001,63137.0
A,CLV20_MEUR,B-E,B1G,BE,2002,63222.2
A,CLV20_MEUR,B-E,B1G,BE,2003,63236.1
A,CLV20_MEUR,B-E,B1G,BE,2004,65992.5
A,CLV20_MEUR,B-E,B1G,BE,2005,67183.4
A,CLV20_MEUR,B-E,B1G,BE,2006,66090.7
A,CLV20_MEUR,B-E,B1G,BE,2007,69887.9
A,CLV20_MEUR,B-E,B1G,BE,2008,67876.5
A,CLV20_MEUR,B-E,B1G,BE,2009,64455.3
A,CLV20_MEUR,B-E,B1G,BE,2010,67120.4
A,CLV20_MEUR,B-E,B1G,BE,2011,67735.3
A,CLV20_MEUR,B-E,B1G,BE,2012,65821.4
A,CLV20_MEUR,B-E,B1G,BE,2013,66785.0
A,CLV20_MEUR,B-E,B1G,BE,2014,67848.9
A,CLV20_MEUR,B-E,B1G,BE,2015,68301.5
A,CLV20_MEUR,B-E,B1G,BE,2016,67209.4
A,CLV20_MEUR,B-E,B1G,BE,2017,68271.0
A,CLV20_MEUR,B-E,B1G,BE,2018,67895.5
A,CLV20_MEUR,B-E,B1G,BE,2019,70445.1
