freq,unit,nace_r2,na_item,geo,time,value
A,PC_TOT,B-E,B1G,AL,1995,11.4
A,PC_TOT,B-E,B1G,AL,1996,11.4
A,PC_TOT,B-E,B1G,AL,1997,10.4
A,PC_TOT,B-E,B1G,AL,1998,9.6
A,PC_TOT,B-E,B1G,AL,1999,9.3
A,PC_TOT,B-E,B1G,AL,2000,9.5
A,PC_TOT,B-E,B1G,AL,2001,8.7
A,PC_TOT,B-E,B1G,AL,2002,7.8
A,PC_TOT,B-E,B1G,AL,2003,9.4
A,PC_TOT,B-E,B1G,AL,2004,10.3
A,PC_TOT,B-E,B1G,AL,2005,11.2
A,PC_TOT,B-E,B1G,AL,2006,11.3
A,PC_TOT,B-E,B1G,AL,2007,11.0
A,PC_TOT,B-E,B1G,AL,2008,10.9
A,PC_TOT,B-E,B1G,AL,2009,11.3
A,PC_TOT,B-E,B1G,AL,2010,14.1
A,PC_TOT,B-E,B1G,AL,2011,13.5
A,PC_TOT,B-E,B1G,AL,2012,13.3
A,PC_TOT,B-E,B1G,AL,2013,14.6
A,PC_TOT,B-E,B1G,AL,2014,14.9
A,PC_TOT,B-E,B1G,AL,2015,15.1
A,PC_TOT,B-E,B1G,AL,2016,14.6
A,PC_TOT,B-E,B1G,AL,2017,13.3
A,PC_TOT,B-E,B1G,AL,2018,14.3
A,PC_TOT,B-E,B1G,AL,2019,13.9
A,PC_TOT,B-E,B1G,AL,2020,13.3
A,PC_TOT,B-E,B1G,AL,2021,13.4
A,PC_TOT,B-E,B1G,AL,2022,13.9
A,PC_TOT,B-E,B1G,AL,2023,13.6
A,PC_TOT,B-E,B1G,AL,2024,12.8
A,PC_TOT,B-E,B1G,AL,2025,11.7
A,PC_TOT,B-E,B1G,AT,1995,24.7
A,PC_TOT,B-E,B1G,AT,1996,24.6
A,PC_TOT,B-E,B1G,AT,1997,24.7
A,PC_TOT,B-E,B1G,AT,1998,24.5
A,PC_TOT,B-E,B1G,AT,1999,24.6
A,PC_TOT,B-E,B1G,AT,2000,24.7
A,PC_TOT,B-E,B1G,AT,2001,24.9
A,PC_TOT,B-E,B1G,AT,2002,24.2
A,PC_TOT,B-E,B1G,AT,2003,23.9
A,PC_TOT,B-E,B1G,AT,2004,24.0
A,PC_TOT,B-E,B1G,AT,2005,24.0
A,PC_TOT,B-E,B1G,AT,2006,24.4
A,PC_TOT,B-E,B1G,AT,2007,24.4
A,PC_TOT,B-E,B1G,AT,2008,23.8
A,PC_TOT,B-E,B1G,AT,2009,22.7
A,PC_TOT,B-E,B1G,AT,2010,22.8
