freq,unit,nace_r2,na_item,geo,time,value
A,CLV20_MNAC,B-E,B1G,AL,1995,50663.1
A,CLV20_MNAC,B-E,B1G,AL,1996,57553.6
A,CLV20_MNAC,B-E,B1G,AL,1997,42910.1
A,CLV20_MNAC,B-E,B1G,AL,1998,55059.3
A,CLV20_MNAC,B-E,B1G,AL,1999,62981.7
A,CLV20_MNAC,B-E,B1G,AL,2000,65370.3
A,CLV20_MNAC,B-E,B1G,AL,2001,68162.5
A,CLV20_MNAC,B-E,B1G,AL,2002,66569.1
A,CLV20_MNAC,B-E,B1G,AL,2003,84724.5
A,CLV20_MNAC,B-E,B1G,AL,2004,91467.7
A,CLV20_MNAC,B-E,B1G,AL,2005,98709.9
A,CLV20_MNAC,B-E,B1G,AL,2006,107863.2
A,CLV20_MNAC,B-E,B1G,AL,2007,104699.4
A,CLV20_MNAC,B-E,B1G,AL,2008,105352.3
A,CLV20_MNAC,B-E,B1G,AL,2009,111190.7
A,CLV20_MNAC,B-E,B1G,AL,2010,131229.3
A,CLV20_MNAC,B-E,B1G,AL,2011,131867.2
A,CLV20_MNAC,B-E,B1G,AL,2012,129095.5
A,CLV20_MNAC,B-E,B1G,AL,2013,147065.1
A,CLV20_MNAC,B-E,B1G,AL,2014,159051.9
A,CLV20_MNAC,B-E,B1G,AL,2015,170060.3
A,CLV20_MNAC,B-E,B1G,AL,2016,181981.4
A,CLV20_MNAC,B-E,B1G,AL,2017,173704.8
A,CLV20_MNAC,B-E,B1G,AL,2018,197023.3
A,CLV20_MNAC,B-E,B1G,AL,2019,201717.3
A,CLV20_MNAC,B-E,B1G,AL,2020,186947.2
A,CLV20_MNAC,B-E,B1G,AL,2021,202214.3
A,CLV20_MNAC,B-E,B1G,AL,2022,210996.9
A,CLV20_MNAC,B-E,B1G,AL,2023,218932.7
A,CLV20_MNAC,B-E,B1G,AL,2024,208977.4
A,CLV20_MNAC,B-E,B1G,AT,1995,46007.8
A,CLV20_MNAC,B-E,B1G,AT,1996,46598.7
