freq,ipc,unit,geo,time,value
A,A,NR,AT,1977,2.27
A,A,NR,AT,1978,19.96
A,A,NR,AT,1979,35.83
A,A,NR,AT,1980,36.45
A,A,NR,AT113,1979,1.0
A,A,NR,AT113,1980,1.0
A,A,NR,AT121,1979,1.0
A,A,NR,AT122,1980,1.0
A,A,NR,AT124,1979,0.17
A,A,NR,AT124,1980,4.0
A,A,NR,AT126,1979,1.1
A,A,NR,AT127,1977,0.06
A,A,NR,AT127,1979,0.61
A,A,NR,AT127,1980,0.25
A,A,NR,AT130,1977,2.22
A,A,NR,AT130,1978,10.1
A,A,NR,AT130,1979,9.96
A,A,NR,AT130,1980,11.84
A,A,NR,AT211,1980,1.83
A,A,NR,AT213,1979,1.0
A,A,NR,AT221,1978,2.86
A,A,NR,AT221,1979,1.47
A,A,NR,AT221,1980,4.29
A,A,NR,AT223,1979,0.33
A,A,NR,AT223,1980,0.5
A,A,NR,AT224,1979,1.0
A,A,NR,AT225,1978,0.33
A,A,NR,AT225,1979,1.0
A,A,NR,AT311,1979,2.08
A,A,NR,AT311,1980,1.0
A,A,NR,AT312,1978,3.08
A,A,NR,AT312,1979,5.25
A,A,NR,AT312,1980,2.7
A,A,NR,AT314,1979,0.53
A,A,NR,AT314,1980,1.0
A,A,NR,AT315,1979,0.5
A,A,NR,AT315,1980,2.5
A,A,NR,AT323,1979,2.83
A,A,NR,AT323,1980,1.1
A,A,NR,AT331,1978,0.83
A,A,NR,AT331,1979,1.0
A,A,NR,AT332,1979,4.0
A,A,NR,AT332,1980,2.12
A,A,NR,AT334,1980,1.0
A,A,NR,AT335,1978,1.75
A,A,NR,AT335,1979,1.0
A,A,NR,AT335,1980,0.31
A,A,NR,AT342,1978,1.0
A,A,NR,BE,1977,2.6
A,A,NR,BE,1978,22.32
A,A,NR,BE,1979,27.12
A,A,NR,BE,1980,32.43
A,A,NR,BE100,1978,1.03
A,A,NR,BE100,1979,2.96
A,A,NR,BE100,1980,3.78
A,A,NR,BE211,1977,0.22
A,A,NR,BE211,1978,2.6
A,A,NR,BE211,1979,2.65
A,A,NR,BE211,1980,1.39
A,A,NR,BE212,1978,0.61
A,A,NR,BE212,1979,0.22
A,A,NR,BE213,1978,2.31
A,A,NR,BE213,1979,0.46
A,A,NR,BE213,1980,2.28
A,A,NR,BE221,1980,1.0
A,A,NR,BE222,1979,0.5
A,A,NR,BE222,1980,2.0
A,A,NR,BE223,1978,0.09
A,A,NR,BE232,1978,1.22
A,A,NR,BE233,1978,1.0
A,A,NR,BE234,1977,0.71
A,A,NR,BE234,1978,1.0
A,A,NR,BE234,1979,1.0
A,A,NR,BE234,1980,1.21
A,A,NR,BE236,1977,0.5
A,A,NR,BE236,1978,0.44
A,A,NR,BE236,1979,1.0
A,A,NR,BE236,1980,1.0
A,A,NR,BE241,1978,0.33
A,A,NR,BE241,1979,1.44
A,A,NR,BE241,1980,2.61
A,A,NR,BE242,1979,0.72
A,A,NR,BE242,1980,1.33
A,A,NR,BE254,1978,0.1
A,A,NR,BE254,1980,2.5
A,A,NR,BE256,1978,1.1
A,A,NR,BE256,1979,5.4
A,A,NR,BE256,1980,1.5
A,A,NR,BE310,1978,2.81
A,A,NR,BE310,1979,2.79
A,A,NR,BE310,1980,3.33
A,A,NR,BE321,1979,0.17
A,A,NR,BE321,1980,1.0
A,A,NR,BE322,1978,1.0
A,A,NR,BE322,1980,1.0
A,A,NR,BE323,1980,0.17
A,A,NR,BE324,1977,0.5
A,A,NR,BE324,1980,1.0
A,A,NR,BE325,1978,0.33
A,A,NR,BE325,1980,1.0
A,A,NR,BE326,1978,1.0
A,A,NR,BE326,1979,1.0
A,A,NR,BE331,1979,1.0
A,A,NR,BE331,1980,0.1
A,A,NR,BE332,1977,0.67
A,A,NR,BE332,1978,3.01
A,A,NR,BE332,1979,4.6
A,A,NR,BE332,1980,2.48
A,A,NR,BE335,1978,1.0
A,A,NR,BE335,1980,1.0
A,A,NR,BE351,1978,1.0
A,A,NR,BE352,1978,0.33
A,A,NR,BE352,1979,0.21
A,A,NR,BE352,1980,0.42
A,A,NR,BE353,1979,1.0
A,A,NR,BEXXX,1980,0.33
A,A,NR,CH,1977,33.61
A,A,NR,CH,1978,104.27
A,A,NR,CH,1979,132.92
A,A,NR,CH,1980,149.11
A,A,NR,CH011,1977,1.33
A,A,NR,CH011,1978,4.15
A,A,NR,CH011,1979,8.83
A,A,NR,CH011,1980,17.42
A,A,NR,CH012,1978,0.5
A,A,NR,CH012,1979,1.0
A,A,NR,CH012,1980,3.0
A,A,NR,CH013,1977,0.48
A,A,NR,CH013,1978,9.72
A,A,NR,CH013,1979,14.69
A,A,NR,CH013,1980,10.09
A,A,NR,CH021,1977,3.52
A,A,NR,CH021,1978,7.48
A,A,NR,CH021,1979,11.92
A,A,NR,CH021,1980,10.3
A,A,NR,CH022,1977,0.29
A,A,NR,CH022,1978,2.11
A,A,NR,CH022,1979,4.65
A,A,NR,CH022,1980,1.88
A,A,NR,CH023,1978,3.8
A,A,NR,CH023,1979,2.3
A,A,NR,CH023,1980,2.42
A,A,NR,CH024,1978,1.0
A,A,NR,CH024,1979,4.83
A,A,NR,CH024,1980,1.5
A,A,NR,CH025,1979,0.2
A,A,NR,CH025,1980,0.11
A,A,NR,CH031,1977,4.67
A,A,NR,CH031,1978,13.23
A,A,NR,CH031,1979,11.21
A,A,NR,CH031,1980,18.98
A,A,NR,CH032,1977,12.21
A,A,NR,CH032,1978,29.92
A,A,NR,CH032,1979,33.71
A,A,NR,CH032,1980,30.29
A,A,NR,CH033,1977,1.34
A,A,NR,CH033,1978,5.69
A,A,NR,CH033,1979,5.12
A,A,NR,CH033,1980,7.32
A,A,NR,CH040,1977,6.94
A,A,NR,CH040,1978,15.91
A,A,NR,CH040,1979,12.28
A,A,NR,CH040,1980,23.71
A,A,NR,CH051,1977,0.5
A,A,NR,CH052,1978,0.33
A,A,NR,CH052,1979,0.5
A,A,NR,CH052,1980,0.25
A,A,NR,CH053,1978,2.5
A,A,NR,CH053,1979,0.5
A,A,NR,CH053,1980,2.13
A,A,NR,CH055,1977,0.33
A,A,NR,CH055,1978,2.0
A,A,NR,CH055,1979,6.17
A,A,NR,CH055,1980,4.39
A,A,NR,CH056,1980,2.1
A,A,NR,CH057,1979,3.11
A,A,NR,CH057,1980,3.0
A,A,NR,CH061,1977,0.33
A,A,NR,CH061,1978,1.0
A,A,NR,CH061,1979,5.0
A,A,NR,CH061,1980,6.83
A,A,NR,CH063,1980,0.33
A,A,NR,CH065,1980,0.1
A,A,NR,CH066,1977,1.0
A,A,NR,CH066,1978,1.0
A,A,NR,CH066,1979,2.7
A,A,NR,CH066,1980,0.67
A,A,NR,CH070,1978,0.61
A,A,NR,CH070,1979,1.15
A,A,NR,CH070,1980,1.0
A,A,NR,CHXXX,1977,0.6
A,A,NR,CHXXX,1978,0.17
A,A,NR,CHXXX,1979,1.33
A,A,NR,CHXXX,1980,1.29
A,A,NR,CHZZZ,1977,0.07
A,A,NR,CHZZZ,1978,3.14
A,A,NR,CHZZZ,1979,1.7
A,A,NR,DE,1977,129.03
A,A,NR,DE,1978,376.38
A,A,NR,DE,1979,530.38
A,A,NR,DE,1980,634.17
A,A,NR,DE111,1978,1.33
A,A,NR,DE111,1979,3.33
A,A,NR,DE111,1980,3.22
A,A,NR,DE112,1977,0.33
A,A,NR,DE112,1978,1.5
A,A,NR,DE112,1979,1.83
A,A,NR,DE112,1980,3.72
A,A,NR,DE113,1977,0.5
A,A,NR,DE113,1978,1.25
A,A,NR,DE113,1979,6.94
A,A,NR,DE113,1980,5.95
A,A,NR,DE114,1978,1.5
A,A,NR,DE114,1979,4.63
A,A,NR,DE114,1980,10.44
A,A,NR,DE115,1977,1.5
A,A,NR,DE115,1978,0.58
A,A,NR,DE115,1979,3.17
A,A,NR,DE115,1980,2.58
A,A,NR,DE116,1977,0.5
A,A,NR,DE116,1978,2.0
A,A,NR,DE116,1979,0.6
A,A,NR,DE116,1980,1.0
A,A,NR,DE117,1978,0.75
A,A,NR,DE117,1979,0.83
A,A,NR,DE118,1978,0.75
A,A,NR,DE118,1979,2.25
A,A,NR,DE118,1980,0.25
A,A,NR,DE119,1977,0.5
A,A,NR,DE119,1980,1.5
A,A,NR,DE11B,1979,1.5
A,A,NR,DE11B,1980,1.8
A,A,NR,DE11C,1979,3.52
A,A,NR,DE11C,1980,0.94
A,A,NR,DE11D,1979,4.0
A,A,NR,DE11D,1980,3.75
A,A,NR,DE121,1977,0.25
A,A,NR,DE121,1978,1.0
A,A,NR,DE121,1979,0.44
A,A,NR,DE122,1977,0.2
A,A,NR,DE122,1978,0.5
A,A,NR,DE122,1979,3.5
A,A,NR,DE122,1980,4.14
A,A,NR,DE123,1978,0.58
A,A,NR,DE123,1979,2.29
A,A,NR,DE123,1980,5.59
A,A,NR,DE124,1977,0.65
A,A,NR,DE124,1978,0.5
A,A,NR,DE124,1979,1.0
A,A,NR,DE124,1980,1.86
A,A,NR,DE125,1977,0.71
A,A,NR,DE125,1978,2.98
A,A,NR,DE125,1979,2.89
A,A,NR,DE125,1980,1.88
A,A,NR,DE126,1977,1.99
A,A,NR,DE126,1978,5.29
A,A,NR,DE126,1979,3.47
A,A,NR,DE126,1980,4.86
A,A,NR,DE127,1979,0.08
