freq,unit,geo,time,value
A,NR,AT,1977,30.67
A,NR,AT,1978,152.45
A,NR,AT,1979,267.25
A,NR,AT,1980,263.97
A,NR,AT,1981,307.08
A,NR,AT,1982,374.5
A,NR,AT,1983,397.82
A,NR,AT,1984,512.35
A,NR,AT,1985,576.66
A,NR,AT,1986,533.76
A,NR,AT,1987,610.3
A,NR,AT,1988,648.81
A,NR,AT,1989,665.87
A,NR,AT,1990,643.88
A,NR,AT,1991,655.95
A,NR,AT,1992,617.98
A,NR,AT,1993,657.98
A,NR,AT,1994,681.45
A,NR,AT,1995,672.35
A,NR,AT,1996,763.01
A,NR,AT,1997,969.24
A,NR,AT,1998,953.73
A,NR,AT,1999,1074.04
A,NR,AT,2000,1183.42
A,NR,AT,2001,1204.54
A,NR,AT,2002,1290.22
A,NR,AT,2003,1392.74
A,NR,AT,2004,1446.29
A,NR,AT,2005,1529.31
A,NR,AT,2006,1753.68
A,NR,AT,2007,1722.64
A,NR,AT,2008,1628.33
A,NR,AT,2009,1705.28
A,NR,AT,2010,1760.07
A,NR,AT,2011,1794.27
A,NR,AT,2012,1604.89
A,NR,AT1,1977,9.67
A,NR,AT1,1978,56.37
A,NR,AT1,1979,94.62
A,NR,AT1,1980,89.4
A,NR,AT1,1981,119.92
A,NR,AT1,1982,122.55
A,NR,AT1,1983,151.4
A,NR,AT1,1984,219.31
A,NR,AT1,1985,224.27
A,NR,AT1,1986,207.71
A,NR,AT1,1987,250.93
A,NR,AT1,1988,246.67
A,NR,AT1,1989,234.57
A,NR,AT1,1990,254.18
A,NR,AT1,1991,269.17
A,NR,AT1,1992,222.54
A,NR,AT1,1993,257.28
A,NR,AT1,1994,267.71
A,NR,AT1,1995,235.42
A,NR,AT1,1996,280.01
A,NR,AT1,1997,321.35
A,NR,AT1,1998,335.96
A,NR,AT1,1999,380.56
A,NR,AT1,2000,380.86
A,NR,AT1,2001,417.92
A,NR,AT1,2002,462.23
A,NR,AT1,2003,542.91
A,NR,AT1,2004,544.31
A,NR,AT1,2005,564.05
A,NR,AT1,2006,689.81
A,NR,AT1,2007,619.3
A,NR,AT1,2008,510.51
A,NR,AT1,2009,496.32
A,NR,AT1,2010,490.68
A,NR,AT1,2011,509.56
A,NR,AT1,2012,475.59
A,NR,AT11,1978,2.5
A,NR,AT11,1979,4.0
A,NR,AT11,1980,2.33
A,NR,AT11,1981,3.0
A,NR,AT11,1982,6.0
A,NR,AT11,1983,6.95
A,NR,AT11,1984,2.67
A,NR,AT11,1985,1.75
A,NR,AT11,1986,2.2
A,NR,AT11,1987,6.4
A,NR,AT11,1988,7.5
A,NR,AT11,1989,4.25
A,NR,AT11,1990,8.5
A,NR,AT11,1991,9.91
A,NR,AT11,1992,5.17
A,NR,AT11,1993,3.64
A,NR,AT11,1994,5.67
A,NR,AT11,1995,7.17
A,NR,AT11,1996,6.2
A,NR,AT11,1997,15.9
A,NR,AT11,1998,11.27
A,NR,AT11,1999,15.16
A,NR,AT11,2000,18.87
A,NR,AT11,2001,13.42
A,NR,AT11,2002,13.77
A,NR,AT11,2003,23.79
A,NR,AT11,2004,20.73
A,NR,AT11,2005,16.93
A,NR,AT11,2006,28.41
A,NR,AT11,2007,28.53
A,NR,AT11,2008,21.39
A,NR,AT11,2009,25.88
A,NR,AT11,2010,23.87
A,NR,AT11,2011,17.57
A,NR,AT11,2012,17.93
A,NR,AT111,1979,1.0
A,NR,AT111,1982,0.2
A,NR,AT111,1983,0.83
A,NR,AT111,1984,0.33
A,NR,AT111,1985,0.5
A,NR,AT111,1989,0.5
A,NR,AT111,1990,1.0
A,NR,AT111,1996,0.17
A,NR,AT111,1999,2.67
A,NR,AT111,2001,1.0
A,NR,AT111,2003,2.83
A,NR,AT111,2004,2.5
A,NR,AT111,2006,1.0
A,NR,AT111,2007,0.17
A,NR,AT111,2008,1.75
A,NR,AT111,2009,1.0
A,NR,AT111,2010,0.5
A,NR,AT111,2011,2.7
A,NR,AT111,2012,0.83
A,NR,AT112,1978,2.5
A,NR,AT112,1979,2.0
A,NR,AT112,1980,1.0
A,NR,AT112,1981,3.0
A,NR,AT112,1982,3.8
A,NR,AT112,1983,5.78
A,NR,AT112,1984,1.33
A,NR,AT112,1985,1.25
A,NR,AT112,1986,2.2
A,NR,AT112,1987,6.4
A,NR,AT112,1988,7.5
A,NR,AT112,1989,3.75
A,NR,AT112,1990,7.5
A,NR,AT112,1991,8.83
A,NR,AT112,1992,4.67
A,NR,AT112,1993,3.64
A,NR,AT112,1994,5.42
A,NR,AT112,1995,6.42
A,NR,AT112,1996,3.64
A,NR,AT112,1997,11.67
A,NR,AT112,1998,9.44
A,NR,AT112,1999,11.37
A,NR,AT112,2000,15.04
A,NR,AT112,2001,7.83
A,NR,AT112,2002,9.1
A,NR,AT112,2003,12.38
A,NR,AT112,2004,14.08
A,NR,AT112,2005,14.67
A,NR,AT112,2006,18.63
A,NR,AT112,2007,20.0
A,NR,AT112,2008,8.44
A,NR,AT112,2009,14.1
A,NR,AT112,2010,14.25
A,NR,AT112,2011,9.62
A,NR,AT112,2012,11.48
A,NR,AT113,1979,1.0
A,NR,AT113,1980,1.33
A,NR,AT113,1982,2.0
A,NR,AT113,1983,0.33
A,NR,AT113,1984,1.0
A,NR,AT113,1991,1.08
A,NR,AT113,1992,0.5
A,NR,AT113,1994,0.25
A,NR,AT113,1995,0.75
A,NR,AT113,1996,2.39
A,NR,AT113,1997,4.23
A,NR,AT113,1998,1.83
A,NR,AT113,1999,1.13
A,NR,AT113,2000,3.84
A,NR,AT113,2001,4.58
A,NR,AT113,2002,4.67
A,NR,AT113,2003,8.58
A,NR,AT113,2004,4.14
A,NR,AT113,2005,2.26
A,NR,AT113,2006,8.78
A,NR,AT113,2007,8.37
A,NR,AT113,2008,11.2
A,NR,AT113,2009,10.78
A,NR,AT113,2010,9.12
A,NR,AT113,2011,5.25
A,NR,AT113,2012,5.62
A,NR,AT12,1977,1.42
A,NR,AT12,1978,10.08
A,NR,AT12,1979,31.87
A,NR,AT12,1980,30.0
A,NR,AT12,1981,41.25
A,NR,AT12,1982,37.87
A,NR,AT12,1983,52.67
A,NR,AT12,1984,76.4
A,NR,AT12,1985,81.89
A,NR,AT12,1986,69.58
A,NR,AT12,1987,90.63
A,NR,AT12,1988,95.72
A,NR,AT12,1989,98.68
A,NR,AT12,1990,119.01
A,NR,AT12,1991,98.84
A,NR,AT12,1992,89.07
A,NR,AT12,1993,112.89
A,NR,AT12,1994,116.06
A,NR,AT12,1995,110.57
A,NR,AT12,1996,123.06
A,NR,AT12,1997,145.72
A,NR,AT12,1998,178.95
A,NR,AT12,1999,154.39
A,NR,AT12,2000,177.62
A,NR,AT12,2001,174.48
A,NR,AT12,2002,176.94
A,NR,AT12,2003,206.25
A,NR,AT12,2004,212.7
A,NR,AT12,2005,237.52
A,NR,AT12,2006,262.65
A,NR,AT12,2007,217.85
A,NR,AT12,2008,219.3
A,NR,AT12,2009,234.83
A,NR,AT12,2010,236.96
A,NR,AT12,2011,229.06
A,NR,AT12,2012,234.68
A,NR,AT121,1977,0.5
A,NR,AT121,1978,1.0
A,NR,AT121,1979,4.33
A,NR,AT121,1980,5.67
A,NR,AT121,1981,7.5
A,NR,AT121,1982,6.58
A,NR,AT121,1983,7.78
A,NR,AT121,1984,7.0
A,NR,AT121,1985,15.54
A,NR,AT121,1986,12.37
A,NR,AT121,1987,23.68
A,NR,AT121,1988,18.67
A,NR,AT121,1989,17.87
A,NR,AT121,1990,29.83
A,NR,AT121,1991,14.83
A,NR,AT121,1992,15.64
A,NR,AT121,1993,18.01
A,NR,AT121,1994,30.7
A,NR,AT121,1995,26.53
