freq,unit,geo,time,value
A,P_MHAB,AT11,2000,68.314
A,P_MHAB,AT11,2001,48.631
A,P_MHAB,AT11,2002,49.77
A,P_MHAB,AT11,2003,86.027
A,P_MHAB,AT11,2004,74.894
A,P_MHAB,AT11,2005,60.892
A,P_MHAB,AT11,2006,101.782
A,P_MHAB,AT11,2007,101.87
A,P_MHAB,AT11,2008,76.127
A,P_MHAB,AT11,2009,91.521
A,P_MHAB,AT11,2010,84.139
A,P_MHAB,AT11,2011,61.74
A,P_MHAB,AT11,2012,62.74
A,P_MHAB,AT111,2001,26.503
A,P_MHAB,AT111,2003,75.06
A,P_MHAB,AT111,2004,66.419
A,P_MHAB,AT111,2006,26.729
A,P_MHAB,AT111,2007,4.536
A,P_MHAB,AT111,2008,46.744
A,P_MHAB,AT111,2009,26.687
A,P_MHAB,AT111,2010,13.324
A,P_MHAB,AT111,2011,71.99
A,P_MHAB,AT111,2012,22.097
A,P_MHAB,AT112,2001,55.761
A,P_MHAB,AT112,2002,64.516
A,P_MHAB,AT112,2003,87.577
A,P_MHAB,AT112,2004,99.181
A,P_MHAB,AT112,2005,102.52
A,P_MHAB,AT112,2006,129.191
A,P_MHAB,AT112,2007,137.819
A,P_MHAB,AT112,2008,57.698
A,P_MHAB,AT112,2009,95.506
A,P_MHAB,AT112,2010,95.911
A,P_MHAB,AT112,2011,64.338
A,P_MHAB,AT112,2012,76.279
A,P_MHAB,AT113,2001,46.829
A,P_MHAB,AT113,2002,47.729
A,P_MHAB,AT113,2003,88.02
A,P_MHAB,AT113,2004,42.597
A,P_MHAB,AT113,2005,23.199
A,P_MHAB,AT113,2006,90.043
A,P_MHAB,AT113,2007,85.879
A,P_MHAB,AT113,2008,115.155
A,P_MHAB,AT113,2009,110.371
A,P_MHAB,AT113,2010,93.447
A,P_MHAB,AT113,2011,53.816
A,P_MHAB,AT113,2012,57.511
A,P_MHAB,AT12,2000,115.707
A,P_MHAB,AT12,2001,113.342
A,P_MHAB,AT12,2002,114.549
A,P_MHAB,AT12,2003,133.127
A,P_MHAB,AT12,2004,136.583
A,P_MHAB,AT12,2005,151.388
A,P_MHAB,AT12,2006,166.181
A,P_MHAB,AT12,2007,137.136
A,P_MHAB,AT12,2008,137.449
A,P_MHAB,AT12,2009,146.498
A,P_MHAB,AT12,2010,147.556
A,P_MHAB,AT12,2011,142.32
A,P_MHAB,AT12,2012,145.362
A,P_MHAB,AT121,2001,85.294
A,P_MHAB,AT121,2002,141.289
A,P_MHAB,AT121,2003,185.558
A,P_MHAB,AT121,2004,159.846
A,P_MHAB,AT121,2005,176.792
A,P_MHAB,AT121,2006,188.355
A,P_MHAB,AT121,2007,154.225
A,P_MHAB,AT121,2008,101.575
A,P_MHAB,AT121,2009,146.987
A,P_MHAB,AT121,2010,223.674
A,P_MHAB,AT121,2011,215.314
A,P_MHAB,AT121,2012,271.268
A,P_MHAB,AT122,2001,59.265
A,P_MHAB,AT122,2002,65.402
A,P_MHAB,AT122,2003,117.761
A,P_MHAB,AT122,2004,102.756
A,P_MHAB,AT122,2005,138.188
A,P_MHAB,AT122,2006,122.855
A,P_MHAB,AT122,2007,103.169
A,P_MHAB,AT122,2008,88.531
A,P_MHAB,AT122,2009,132.609
A,P_MHAB,AT122,2010,133.405
A,P_MHAB,AT122,2011,110.302
A,P_MHAB,AT122,2012,111.58
A,P_MHAB,AT123,2001,113.509
A,P_MHAB,AT123,2002,138.048
A,P_MHAB,AT123,2003,118.217
A,P_MHAB,AT123,2004,156.519
A,P_MHAB,AT123,2005,140.584
A,P_MHAB,AT123,2006,150.212
A,P_MHAB,AT123,2007,97.596
A,P_MHAB,AT123,2008,186.88
A,P_MHAB,AT123,2009,181.491
A,P_MHAB,AT123,2010,126.486
A,P_MHAB,AT123,2011,125.806
A,P_MHAB,AT123,2012,65.517
A,P_MHAB,AT124,2001,80.019
A,P_MHAB,AT124,2002,65.045
A,P_MHAB,AT124,2003,65.779
A,P_MHAB,AT124,2004,79.106
A,P_MHAB,AT124,2005,144.455
A,P_MHAB,AT124,2006,96.814
A,P_MHAB,AT124,2007,72.365
A,P_MHAB,AT124,2008,118.601
A,P_MHAB,AT124,2009,116.809
A,P_MHAB,AT124,2010,87.889
A,P_MHAB,AT124,2011,64.612
A,P_MHAB,AT124,2012,91.769
A,P_MHAB,AT125,2001,70.669
A,P_MHAB,AT125,2002,39.896
A,P_MHAB,AT125,2003,29.53
A,P_MHAB,AT125,2004,73.155
A,P_MHAB,AT125,2005,53.985
A,P_MHAB,AT125,2006,123.284
A,P_MHAB,AT125,2007,127.576
A,P_MHAB,AT125,2008,46.291
A,P_MHAB,AT125,2009,56.329
A,P_MHAB,AT125,2010,30.709
A,P_MHAB,AT125,2011,61.609
A,P_MHAB,AT125,2012,59.575
A,P_MHAB,AT126,2001,152.251
A,P_MHAB,AT126,2002,127.578
A,P_MHAB,AT126,2003,163.188
A,P_MHAB,AT126,2004,145.789
A,P_MHAB,AT126,2005,175.989
A,P_MHAB,AT126,2006,198.402
A,P_MHAB,AT126,2007,171.106
A,P_MHAB,AT126,2008,203.743
A,P_MHAB,AT126,2009,135.411
A,P_MHAB,AT126,2010,135.833
A,P_MHAB,AT126,2011,137.718
A,P_MHAB,AT126,2012,173.653
A,P_MHAB,AT127,2001,188.356
A,P_MHAB,AT127,2002,179.294
A,P_MHAB,AT127,2003,176.48
A,P_MHAB,AT127,2004,196.765
A,P_MHAB,AT127,2005,168.807
A,P_MHAB,AT127,2006,228.873
A,P_MHAB,AT127,2007,188.061
A,P_MHAB,AT127,2008,167.376
A,P_MHAB,AT127,2009,207.737
A,P_MHAB,AT127,2010,209.025
A,P_MHAB,AT127,2011,209.471
A,P_MHAB,AT127,2012,156.88
A,P_MHAB,AT13,2000,119.061
A,P_MHAB,AT13,2001,148.022
A,P_MHAB,AT13,2002,172.825
A,P_MHAB,AT13,2003,196.422
A,P_MHAB,AT13,2004,193.044
A,P_MHAB,AT13,2005,189.646
A,P_MHAB,AT13,2006,241.309
A,P_MHAB,AT13,2007,224.476
A,P_MHAB,AT13,2008,161.445
A,P_MHAB,AT13,2009,140.233
A,P_MHAB,AT13,2010,136.012
A,P_MHAB,AT13,2011,154.405
A,P_MHAB,AT13,2012,129.86
A,P_MHAB,AT130,2000,119.061
A,P_MHAB,AT130,2001,148.022
A,P_MHAB,AT130,2002,172.825
A,P_MHAB,AT130,2003,196.422
A,P_MHAB,AT130,2004,193.044
A,P_MHAB,AT130,2005,189.646
A,P_MHAB,AT130,2006,241.309
A,P_MHAB,AT130,2007,224.476
A,P_MHAB,AT130,2008,161.445
A,P_MHAB,AT130,2009,140.233
A,P_MHAB,AT130,2010,136.012
A,P_MHAB,AT130,2011,154.405
A,P_MHAB,AT130,2012,129.86
A,P_MHAB,AT21,2000,102.836
A,P_MHAB,AT21,2001,82.599
A,P_MHAB,AT21,2002,148.482
A,P_MHAB,AT21,2003,103.63
A,P_MHAB,AT21,2004,94.978
A,P_MHAB,AT21,2005,133.596
A,P_MHAB,AT21,2006,111.662
A,P_MHAB,AT21,2007,113.927
A,P_MHAB,AT21,2008,119.632
