freq,unit,wstatus,nace_r2,geo,time,value
A,THS,EMP,B-E,AT,2000,708.5
A,THS,EMP,B-E,AT,2001,708.4
A,THS,EMP,B-E,AT,2002,692.5
A,THS,EMP,B-E,AT,2003,686.0
A,THS,EMP,B-E,AT,2004,682.0
A,THS,EMP,B-E,AT,2005,682.6
A,THS,EMP,B-E,AT,2006,685.5
A,THS,EMP,B-E,AT,2007,700.1
A,THS,EMP,B-E,AT,2008,706.2
A,THS,EMP,B-E,AT,2009,682.1
A,THS,EMP,B-E,AT,2010,672.0
A,THS,EMP,B-E,AT,2011,681.2
A,THS,EMP,B-E,AT,2012,688.1
A,THS,EMP,B-E,AT,2013,689.0
A,THS,EMP,B-E,AT,2014,690.8
A,THS,EMP,B-E,AT,2015,693.1
A,THS,EMP,B-E,AT,2016,699.6
A,THS,EMP,B-E,AT,2017,705.1
A,THS,EMP,B-E,AT,2018,722.0
A,THS,EMP,B-E,AT,2019,734.9
A,THS,EMP,B-E,AT,2020,729.3
A,THS,EMP,B-E,AT,2021,733.2
A,THS,EMP,B-E,AT,2022,750.1
A,THS,EMP,B-E,AT,2023,760.3
A,THS,EMP,B-E,AT,2024,750.4
A,THS,EMP,B-E,AT1,2000,234.2
A,THS,EMP,B-E,AT1,2001,233.2
A,THS,EMP,B-E,AT1,2002,227.6
A,THS,EMP,B-E,AT1,2003,222.4
A,THS,EMP,B-E,AT1,2004,217.9
A,THS,EMP,B-E,AT1,2005,216.5
A,THS,EMP,B-E,AT1,2006,215.2
A,THS,EMP,B-E,AT1,2007,220.4
A,THS,EMP,B-E,AT1,2008,220.8
A,THS,EMP,B-E,AT1,2009,213.3
A,THS,EMP,B-E,AT1,2010,207.9
A,THS,EMP,B-E,AT1,2011,207.9
A,THS,EMP,B-E,AT1,2012,207.8
A,THS,EMP,B-E,AT1,2013,208.5
A,THS,EMP,B-E,AT1,2014,207.2
A,THS,EMP,B-E,AT1,2015,206.5
A,THS,EMP,B-E,AT1,2016,207.1
A,THS,EMP,B-E,AT1,2017,205.1
A,THS,EMP,B-E,AT1,2018,207.7
A,THS,EMP,B-E,AT1,2019,210.7
A,THS,EMP,B-E,AT1,2020,209.1
A,THS,EMP,B-E,AT1,2021,209.2
A,THS,EMP,B-E,AT1,2022,213.4
A,THS,EMP,B-E,AT1,2023,215.1
A,THS,EMP,B-E,AT1,2024,213.8
A,THS,EMP,B-E,AT11,2000,18.1
A,THS,EMP,B-E,AT11,2001,17.9
A,THS,EMP,B-E,AT11,2002,17.2
A,THS,EMP,B-E,AT11,2003,17.6
A,THS,EMP,B-E,AT11,2004,17.4
A,THS,EMP,B-E,AT11,2005,16.8
A,THS,EMP,B-E,AT11,2006,17.2
A,THS,EMP,B-E,AT11,2007,17.8
A,THS,EMP,B-E,AT11,2008,18.1
A,THS,EMP,B-E,AT11,2009,17.5
A,THS,EMP,B-E,AT11,2010,17.2
A,THS,EMP,B-E,AT11,2011,17.8
A,THS,EMP,B-E,AT11,2012,17.9
A,THS,EMP,B-E,AT11,2013,18.1
A,THS,EMP,B-E,AT11,2014,18.2
A,THS,EMP,B-E,AT11,2015,17.8
A,THS,EMP,B-E,AT11,2016,17.6
