freq,unit,nace_r2,geo,time,value
A,CP_MEUR,B-E,AL,2008,824.54
A,CP_MEUR,B-E,AL,2009,828.02
A,CP_MEUR,B-E,AL,2010,1066.48
A,CP_MEUR,B-E,AL,2011,1055.46
A,CP_MEUR,B-E,AL,2012,1070.77
A,CP_MEUR,B-E,AL,2013,1190.25
A,CP_MEUR,B-E,AL,2014,1239.4
A,CP_MEUR,B-E,AL,2015,1312.15
A,CP_MEUR,B-E,AL,2016,1328.34
A,CP_MEUR,B-E,AL,2017,1289.63
A,CP_MEUR,B-E,AL,2018,1562.74
A,CP_MEUR,B-E,AL,2019,1627.48
A,CP_MEUR,B-E,AL,2020,1510.44
A,CP_MEUR,B-E,AL,2021,1674.22
A,CP_MEUR,B-E,AL,2022,2069.79
A,CP_MEUR,B-E,AL,2023,2502.4
A,CP_MEUR,B-E,AL0,2008,824.54
A,CP_MEUR,B-E,AL0,2009,828.02
A,CP_MEUR,B-E,AL0,2010,1066.48
A,CP_MEUR,B-E,AL0,2011,1055.46
A,CP_MEUR,B-E,AL0,2012,1070.77
A,CP_MEUR,B-E,AL0,2013,1190.25
A,CP_MEUR,B-E,AL0,2014,1239.4
A,CP_MEUR,B-E,AL0,2015,1312.15
A,CP_MEUR,B-E,AL0,2016,1328.34
A,CP_MEUR,B-E,AL0,2017,1289.63
A,CP_MEUR,B-E,AL0,2018,1562.74
A,CP_MEUR,B-E,AL0,2019,1627.48
A,CP_MEUR,B-E,AL0,2020,1510.44
A,CP_MEUR,B-E,AL0,2021,1674.22
A,CP_MEUR,B-E,AL0,2022,2069.79
A,CP_MEUR,B-E,AL0,2023,2502.4
A,CP_MEUR,B-E,AT,2000,46837.0
A,CP_MEUR,B-E,AT,2001,48794.0
A,CP_MEUR,B-E,AT,2002,48587.0
A,CP_MEUR,B-E,AT,2003,49240.0
A,CP_MEUR,B-E,AT,2004,51338.0
A,CP_MEUR,B-E,AT,2005,53898.0
A,CP_MEUR,B-E,AT,2006,57833.0
A,CP_MEUR,B-E,AT,2007,61447.0
A,CP_MEUR,B-E,AT,2008,62100.0
A,CP_MEUR,B-E,AT,2009,57816.0
A,CP_MEUR,B-E,AT,2010,59772.0
A,CP_MEUR,B-E,AT,2011,62914.0
A,CP_MEUR,B-E,AT,2012,64873.0
A,CP_MEUR,B-E,AT,2013,65332.0
A,CP_MEUR,B-E,AT,2014,66621.0
A,CP_MEUR,B-E,AT,2015,68437.0
A,CP_MEUR,B-E,AT,2016,72508.0
A,CP_MEUR,B-E,AT,2017,73898.0
A,CP_MEUR,B-E,AT,2018,76480.0
A,CP_MEUR,B-E,AT,2019,78099.0
A,CP_MEUR,B-E,AT,2020,73790.0
A,CP_MEUR,B-E,AT,2021,79973.0
A,CP_MEUR,B-E,AT,2022,89718.0
A,CP_MEUR,B-E,AT,2023,96275.0
A,CP_MEUR,B-E,AT,2024,93028.0
A,CP_MEUR,B-E,AT1,2000,16647.0
A,CP_MEUR,B-E,AT1,2001,16547.0
A,CP_MEUR,B-E,AT1,2002,16505.0
A,CP_MEUR,B-E,AT1,2003,16415.0
A,CP_MEUR,B-E,AT1,2004,17241.0
A,CP_MEUR,B-E,AT1,2005,17877.0
A,CP_MEUR,B-E,AT1,2006,18926.0
A,CP_MEUR,B-E,AT1,2007,19908.0
A,CP_MEUR,B-E,AT1,2008,20270.0
A,CP_MEUR,B-E,AT1,2009,19489.0
A,CP_MEUR,B-E,AT1,2010,19485.0
A,CP_MEUR,B-E,AT1,2011,19683.0
A,CP_MEUR,B-E,AT1,2012,20072.0
A,CP_MEUR,B-E,AT1,2013,20712.0
A,CP_MEUR,B-E,AT1,2014,20738.0
A,CP_MEUR,B-E,AT1,2015,20963.0
A,CP_MEUR,B-E,AT1,2016,22859.0
A,CP_MEUR,B-E,AT1,2017,22787.0
A,CP_MEUR,B-E,AT1,2018,22845.0
A,CP_MEUR,B-E,AT1,2019,22832.0
A,CP_MEUR,B-E,AT1,2020,21834.0
A,CP_MEUR,B-E,AT1,2021,23690.0
A,CP_MEUR,B-E,AT1,2022,25937.0
A,CP_MEUR,B-E,AT1,2023,28831.0
A,CP_MEUR,B-E,AT1,2024,27886.0
A,CP_MEUR,B-E,AT11,2000,1045.0
A,CP_MEUR,B-E,AT11,2001,1096.0
A,CP_MEUR,B-E,AT11,2002,1121.0
A,CP_MEUR,B-E,AT11,2003,1043.0
A,CP_MEUR,B-E,AT11,2004,1068.0
A,CP_MEUR,B-E,AT11,2005,1013.0
A,CP_MEUR,B-E,AT11,2006,1054.0
A,CP_MEUR,B-E,AT11,2007,1113.0
A,CP_MEUR,B-E,AT11,2008,1075.0
A,CP_MEUR,B-E,AT11,2009,1133.0
A,CP_MEUR,B-E,AT11,2010,1236.0
A,CP_MEUR,B-E,AT11,2011,1247.0
A,CP_MEUR,B-E,AT11,2012,1252.0
A,CP_MEUR,B-E,AT11,2013,1342.0
A,CP_MEUR,B-E,AT11,2014,1345.0
A,CP_MEUR,B-E,AT11,2015,1388.0
A,CP_MEUR,B-E,AT11,2016,1409.0
A,CP_MEUR,B-E,AT11,2017,1440.0
A,CP_MEUR,B-E,AT11,2018,1445.0
A,CP_MEUR,B-E,AT11,2019,1488.0
A,CP_MEUR,B-E,AT11,2020,1372.0
A,CP_MEUR,B-E,AT11,2021,1407.0
A,CP_MEUR,B-E,AT11,2022,1681.0
A,CP_MEUR,B-E,AT11,2023,1912.0
A,CP_MEUR,B-E,AT11,2024,1791.0
A,CP_MEUR,B-E,AT111,2000,107.0
A,CP_MEUR,B-E,AT111,2001,127.0
A,CP_MEUR,B-E,AT111,2002,120.0
A,CP_MEUR,B-E,AT111,2003,121.0
A,CP_MEUR,B-E,AT111,2004,124.0
A,CP_MEUR,B-E,AT111,2005,137.0
A,CP_MEUR,B-E,AT111,2006,141.0
A,CP_MEUR,B-E,AT111,2007,139.0
A,CP_MEUR,B-E,AT111,2008,131.0
A,CP_MEUR,B-E,AT111,2009,146.0
A,CP_MEUR,B-E,AT111,2010,148.0
A,CP_MEUR,B-E,AT111,2011,154.0
A,CP_MEUR,B-E,AT111,2012,164.0
A,CP_MEUR,B-E,AT111,2013,177.0
A,CP_MEUR,B-E,AT111,2014,156.0
A,CP_MEUR,B-E,AT111,2015,172.0
A,CP_MEUR,B-E,AT111,2016,192.0
A,CP_MEUR,B-E,AT111,2017,200.0
A,CP_MEUR,B-E,AT111,2018,184.0
A,CP_MEUR,B-E,AT111,2019,188.0
A,CP_MEUR,B-E,AT111,2020,182.0
A,CP_MEUR,B-E,AT111,2021,183.0
A,CP_MEUR,B-E,AT111,2022,205.0
A,CP_MEUR,B-E,AT111,2023,216.0
A,CP_MEUR,B-E,AT112,2000,441.0
A,CP_MEUR,B-E,AT112,2001,456.0
A,CP_MEUR,B-E,AT112,2002,476.0
A,CP_MEUR,B-E,AT112,2003,462.0
A,CP_MEUR,B-E,AT112,2004,520.0
A,CP_MEUR,B-E,AT112,2005,494.0
A,CP_MEUR,B-E,AT112,2006,555.0
A,CP_MEUR,B-E,AT112,2007,582.0
A,CP_MEUR,B-E,AT112,2008,582.0
A,CP_MEUR,B-E,AT112,2009,624.0
A,CP_MEUR,B-E,AT112,2010,680.0
A,CP_MEUR,B-E,AT112,2011,652.0
A,CP_MEUR,B-E,AT112,2012,675.0
A,CP_MEUR,B-E,AT112,2013,746.0
A,CP_MEUR,B-E,AT112,2014,765.0
A,CP_MEUR,B-E,AT112,2015,777.0
A,CP_MEUR,B-E,AT112,2016,761.0
A,CP_MEUR,B-E,AT112,2017,792.0
A,CP_MEUR,B-E,AT112,2018,794.0
A,CP_MEUR,B-E,AT112,2019,835.0
A,CP_MEUR,B-E,AT112,2020,782.0
A,CP_MEUR,B-E,AT112,2021,790.0
A,CP_MEUR,B-E,AT112,2022,1040.0
A,CP_MEUR,B-E,AT112,2023,1260.0
A,CP_MEUR,B-E,AT113,2000,497.0
A,CP_MEUR,B-E,AT113,2001,513.0
A,CP_MEUR,B-E,AT113,2002,526.0
A,CP_MEUR,B-E,AT113,2003,460.0
A,CP_MEUR,B-E,AT113,2004,424.0
A,CP_MEUR,B-E,AT113,2005,382.0
A,CP_MEUR,B-E,AT113,2006,358.0
A,CP_MEUR,B-E,AT113,2007,391.0
A,CP_MEUR,B-E,AT113,2008,362.0
A,CP_MEUR,B-E,AT113,2009,363.0
A,CP_MEUR,B-E,AT113,2010,408.0
A,CP_MEUR,B-E,AT113,2011,441.0
A,CP_MEUR,B-E,AT113,2012,412.0
A,CP_MEUR,B-E,AT113,2013,419.0
A,CP_MEUR,B-E,AT113,2014,424.0
A,CP_MEUR,B-E,AT113,2015,439.0
A,CP_MEUR,B-E,AT113,2016,457.0
A,CP_MEUR,B-E,AT113,2017,448.0
A,CP_MEUR,B-E,AT113,2018,467.0
A,CP_MEUR,B-E,AT113,2019,465.0
A,CP_MEUR,B-E,AT113,2020,408.0
A,CP_MEUR,B-E,AT113,2021,434.0
A,CP_MEUR,B-E,AT113,2022,436.0
A,CP_MEUR,B-E,AT113,2023,435.0
A,CP_MEUR,B-E,AT12,2000,8908.0
A,CP_MEUR,B-E,AT12,2001,8670.0
A,CP_MEUR,B-E,AT12,2002,8346.0
A,CP_MEUR,B-E,AT12,2003,8324.0
A,CP_MEUR,B-E,AT12,2004,9140.0
A,CP_MEUR,B-E,AT12,2005,9417.0
A,CP_MEUR,B-E,AT12,2006,9945.0
A,CP_MEUR,B-E,AT12,2007,10676.0
A,CP_MEUR,B-E,AT12,2008,10683.0
A,CP_MEUR,B-E,AT12,2009,9897.0
A,CP_MEUR,B-E,AT12,2010,9891.0
A,CP_MEUR,B-E,AT12,2011,10519.0
A,CP_MEUR,B-E,AT12,2012,10985.0
A,CP_MEUR,B-E,AT12,2013,10952.0
A,CP_MEUR,B-E,AT12,2014,11168.0
A,CP_MEUR,B-E,AT12,2015,11332.0
A,CP_MEUR,B-E,AT12,2016,12033.0
A,CP_MEUR,B-E,AT12,2017,12393.0
A,CP_MEUR,B-E,AT12,2018,12607.0
A,CP_MEUR,B-E,AT12,2019,13244.0
A,CP_MEUR,B-E,AT12,2020,11904.0
A,CP_MEUR,B-E,AT12,2021,12763.0
A,CP_MEUR,B-E,AT12,2022,14806.0
A,CP_MEUR,B-E,AT12,2023,15485.0
A,CP_MEUR,B-E,AT12,2024,14740.0
A,CP_MEUR,B-E,AT121,2000,1352.0
A,CP_MEUR,B-E,AT121,2001,1442.0
A,CP_MEUR,B-E,AT121,2002,1426.0
A,CP_MEUR,B-E,AT121,2003,1431.0
A,CP_MEUR,B-E,AT121,2004,1478.0
A,CP_MEUR,B-E,AT121,2005,1573.0
A,CP_MEUR,B-E,AT121,2006,1761.0
A,CP_MEUR,B-E,AT121,2007,2012.0
A,CP_MEUR,B-E,AT121,2008,1938.0
A,CP_MEUR,B-E,AT121,2009,1791.0
A,CP_MEUR,B-E,AT121,2010,1715.0
A,CP_MEUR,B-E,AT121,2011,1873.0
A,CP_MEUR,B-E,AT121,2012,1924.0
A,CP_MEUR,B-E,AT121,2013,2051.0
A,CP_MEUR,B-E,AT121,2014,2035.0
A,CP_MEUR,B-E,AT121,2015,2219.0
A,CP_MEUR,B-E,AT121,2016,2412.0
A,CP_MEUR,B-E,AT121,2017,2607.0
A,CP_MEUR,B-E,AT121,2018,2564.0
A,CP_MEUR,B-E,AT121,2019,2634.0
A,CP_MEUR,B-E,AT121,2020,2451.0
A,CP_MEUR,B-E,AT121,2021,2450.0
A,CP_MEUR,B-E,AT121,2022,2723.0
A,CP_MEUR,B-E,AT121,2023,2740.0
A,CP_MEUR,B-E,AT122,2000,1477.0
A,CP_MEUR,B-E,AT122,2001,1507.0
A,CP_MEUR,B-E,AT122,2002,1505.0
A,CP_MEUR,B-E,AT122,2003,1547.0
A,CP_MEUR,B-E,AT122,2004,1551.0
A,CP_MEUR,B-E,AT122,2005,1562.0
A,CP_MEUR,B-E,AT122,2006,1770.0
A,CP_MEUR,B-E,AT122,2007,1866.0
A,CP_MEUR,B-E,AT122,2008,1836.0
A,CP_MEUR,B-E,AT122,2009,1618.0
A,CP_MEUR,B-E,AT122,2010,1656.0
A,CP_MEUR,B-E,AT122,2011,1751.0
A,CP_MEUR,B-E,AT122,2012,1804.0
A,CP_MEUR,B-E,AT122,2013,1803.0
A,CP_MEUR,B-E,AT122,2014,1925.0
A,CP_MEUR,B-E,AT122,2015,1929.0
A,CP_MEUR,B-E,AT122,2016,2018.0
A,CP_MEUR,B-E,AT122,2017,2002.0
A,CP_MEUR,B-E,AT122,2018,2117.0
A,CP_MEUR,B-E,AT122,2019,2142.0
A,CP_MEUR,B-E,AT122,2020,2030.0
A,CP_MEUR,B-E,AT122,2021,1984.0
A,CP_MEUR,B-E,AT122,2022,2227.0
A,CP_MEUR,B-E,AT122,2023,2390.0
A,CP_MEUR,B-E,AT123,2000,815.0
A,CP_MEUR,B-E,AT123,2001,812.0
A,CP_MEUR,B-E,AT123,2002,772.0
A,CP_MEUR,B-E,AT123,2003,777.0
A,CP_MEUR,B-E,AT123,2004,787.0
A,CP_MEUR,B-E,AT123,2005,831.0
A,CP_MEUR,B-E,AT123,2006,825.0
A,CP_MEUR,B-E,AT123,2007,904.0
A,CP_MEUR,B-E,AT123,2008,876.0
A,CP_MEUR,B-E,AT123,2009,889.0
A,CP_MEUR,B-E,AT123,2010,907.0
A,CP_MEUR,B-E,AT123,2011,967.0
A,CP_MEUR,B-E,AT123,2012,968.0
A,CP_MEUR,B-E,AT123,2013,988.0
A,CP_MEUR,B-E,AT123,2014,944.0
A,CP_MEUR,B-E,AT123,2015,1016.0
A,CP_MEUR,B-E,AT123,2016,1039.0
A,CP_MEUR,B-E,AT123,2017,986.0
A,CP_MEUR,B-E,AT123,2018,974.0
